field,value
region,Africa
subregion,Southern Africa
languages,Lozi; Herero; Kwangali; German; English; Afrikaans; Khoekhoe; Ndonga; Tswana
currencies,NAD; ZAR
population,3022401
capital,Windhoek
gdp_per_capita,4876
gdp_year,2025
