hostname,score,sources,label,level,http_status,mx
city.choshi.chiba.jp,7,wikidata;wikidata,Chōshi,,HttpConnectTimeoutException: HTTP connect timed out,20 mx2.securitycloud.city.choshi.chiba.jp.
city.chuo.lg.jp,7,wikidata;wikidata,Chūō,,HttpConnectTimeoutException: HTTP connect timed out,10 mail-ex.tokyo-isc.jp.; 100 purify.attnet.ne.jp.
city.daisen.lg.jp,7,wikidata;wikidata,Daisen,,ConnectException,10 sc05-mail01.sbt-isc.jp.
city.daito.lg.jp,7,wikidata;wikidata,Daitō-shi,,ConnectException,10 osakasc-fml3.utility.optage.co.jp.
city.date.hokkaido.jp,7,wikidata;wikidata,Date,,ConnectException,10 mail.city.date.hokkaido.jp.
city.dazaifu.lg.jp,7,wikidata;wikidata,Dazaifu,,ConnectException: Host is unreachable,10 fsec-mta.city.dazaifu.lg.jp.
city.ebetsu.hokkaido.jp,7,wikidata;wikidata,Ebetsu,,ConnectException,10 ns1.city.ebetsu.hokkaido.jp.
city.ebino.lg.jp,7,wikidata;wikidata,Ebino,,ConnectException,10 msc2-osk-ml.miyazakisc.miyazaki.jp.
city.echizen.lg.jp,7,wikidata;wikidata,Echizen,,ConnectException,10 mail2in.s-cloud.pref.fukui.lg.jp.
city.edogawa.tokyo.jp,7,wikidata;wikidata,Edogawa,,ConnectException,10 mail-ex.tokyo-isc.jp.
city.ena.lg.jp,7,wikidata;wikidata,Ena,,ConnectException,10 mail01.gifu-sc2.jp.; 10 mail02.gifu-sc2.jp.
city.eniwa.hokkaido.jp,7,wikidata;wikidata,Eniwa,,ConnectException,10 mail.city.eniwa.hokkaido.jp.
city.etajima.hiroshima.jp,7,wikidata;wikidata,Etajima,,ConnectException,10 ns.city.etajima.hiroshima.jp.
city.fuchu.hiroshima.jp,7,wikidata;wikidata,Fuchū-shi,,ConnectException,0 mail.city.fuchu.hiroshima.jp.
city.fujieda.shizuoka.jp,7,wikidata;wikidata,Fujieda,,ConnectException,10 mailgwsc.oneoffice.jp.
city.fujiidera.lg.jp,7,wikidata;wikidata,Fujiidera,,ConnectException,10 osakasc-fml3.utility.optage.co.jp.
city.fujimi.saitama.jp,7,wikidata;wikidata,Fujimi,,ConnectException,1 sc11-mail01.sbt-isc.jp.
city.fujinomiya.lg.jp,7,wikidata;wikidata,Fujinomiya,,ConnectException,10 mailgwsc.oneoffice.jp.
city.fujioka.gunma.jp,7,wikidata;wikidata,Fujioka,,200,0 city-fujioka-gunma-jp.mail.protection.outlook.com.
city.fujisawa.kanagawa.jp,7,wikidata;wikidata,Fujisawa,,ConnectException,10 fml01.sc-kanagawa.jp.
city.fujiyoshida.yamanashi.jp,7,wikidata;wikidata,Fujiyoshida,,ConnectException,10 mlv.ypisc.jp.
city.fukagawa.lg.jp,7,wikidata;wikidata,Fukagawa,,HttpConnectTimeoutException: HTTP connect timed out,10 ns.city.fukagawa.lg.jp.
city.fukaya.saitama.jp,7,wikidata;wikidata,Fukaya,,HttpConnectTimeoutException: HTTP connect timed out,10 sc11-mail01.sbt-isc.jp.
city.fukuchiyama.lg.jp,7,wikidata;wikidata,Fukuchiyama,,ConnectException,10 smtp1.security.pref.kyoto.jp.; 10 smtp2.security.pref.kyoto.jp.
city.fukui-sakai.lg.jp,7,wikidata;wikidata,Sakai,,ConnectException,20 mx-1.cloudz.jp.; 10 mx.cloudz.jp.; 20 mx-0.cloudz.jp.
city.fukuroi.shizuoka.jp,7,wikidata;wikidata,Fukuroi,,ConnectException,10 mailgwsc.oneoffice.jp.
city.fukushima-date.lg.jp,7,wikidata;wikidata,Date,,ConnectException,10 sc07-mail01.sbt-isc.jp.
city.fukuyama.hiroshima.jp,7,wikidata;wikidata,Fukuyama,,ConnectException,10 hsc-mail.city.fukuyama.hiroshima.jp.
city.furano.hokkaido.jp,7,wikidata;wikidata,Furano,,ConnectException,10 mail.city.furano.hokkaido.jp.
city.fussa.tokyo.jp,7,wikidata;wikidata,Fussa,,ConnectException,10 mail-ex.tokyo-isc.jp.
city.futtsu.lg.jp,7,wikidata;wikidata,Futtsu,,ConnectException: Host is unreachable,20 mx2.securitycloud.city.futtsu.lg.jp.
city.gero.lg.jp,7,wikidata;wikidata,Gero,,ConnectException,10 mail01.gifu-sc2.jp.; 10 mail02.gifu-sc2.jp.
city.ginowan.lg.jp,7,wikidata;wikidata,Ginowan,,ConnectException,10 mail2.city.ginowan.lg.jp.; 20 mail1.city.ginowan.lg.jp.
city.gobo.lg.jp,7,wikidata;wikidata,Gobō-shi,,ConnectException,10 mail1.wirp.jp.; 10 mail2.wirp.jp.
city.gojo.lg.jp,7,wikidata;wikidata,Gojō,,ConnectException,10 narasc-fml2.utility.optage.co.jp.
city.gose.nara.jp,7,wikidata;wikidata,Gose,,HttpConnectTimeoutException: HTTP connect timed out,10 narasc-fml2.utility.optage.co.jp.
city.gosen.lg.jp,7,wikidata;wikidata,Gosen,,HttpConnectTimeoutException: HTTP connect timed out,10 sc15-mail01.sbt-isc.jp.
city.goshogawara.lg.jp,7,wikidata;wikidata,Goshogawara,,ConnectException,10 sc02-mail01.sbt-isc.jp.
city.gotemba.lg.jp,7,wikidata;wikidata,Gotemba,,ConnectException,10 mailgwsc.oneoffice.jp.
city.goto.nagasaki.jp,7,wikidata;wikidata,Goto,,ConnectException,100 sc42-mail01.sbt-isc.jp.
city.gotsu.lg.jp,7,wikidata;wikidata,Gōtsu-shi,,ConnectException,10 mx.ssc.pref.shimane.jp.
city.gujo.gifu.jp,7,wikidata;wikidata,Gujō-shi,,ConnectException,none
city.gyoda.lg.jp,7,wikidata;wikidata,Gyōda-shi,,ConnectException,10 sc11-mail01.sbt-isc.jp.
city.habikino.lg.jp,7,wikidata;wikidata,Habikino,,ConnectException,10 osakasc-fml3.utility.optage.co.jp.
city.hachimantai.lg.jp,7,wikidata;wikidata,Hachimantai,,HttpConnectTimeoutException: HTTP connect timed out,10 sc03-mail01.sbt-isc.jp.
city.hadano.kanagawa.jp,7,wikidata;wikidata,Hadano,,200,10 fml01.sc-kanagawa.jp.
city.hagi.lg.jp,7,wikidata;wikidata,Hagi,,ConnectException,10 city-hagi-lg-jp.mail.protection.outlook.com.
city.hakui.lg.jp,7,wikidata;wikidata,Hakui,,ConnectException,10 mx-i8.htcn.ne.jp.
city.hakusan.lg.jp,7,wikidata;wikidata,Hakusan,,ConnectException,10 mx-i10.htcn.ne.jp.
city.hamada.shimane.jp,7,wikidata;wikidata,Hamada,,ConnectException,10 dmail.kagoya.net.
city.hamura.tokyo.jp,7,wikidata;wikidata,Hamura,,ConnectException,10 mail-ex.tokyo-isc.jp.
city.hanamaki.iwate.jp,7,wikidata;wikidata,Hanamaki,,ConnectException,30 sc03-mail01.sbt-isc.jp.
city.hannan.lg.jp,7,wikidata;wikidata,Hannan,,ConnectException,10 osakasc-fml3.utility.optage.co.jp.
city.hanno.lg.jp,7,wikidata;wikidata,Hannō,,ConnectException,10 sc11-mail01.sbt-isc.jp.
city.hashima.lg.jp,7,wikidata;wikidata,Hashima,,ConnectException,10 mail01.gifu-sc2.jp.; 10 mail02.gifu-sc2.jp.
city.hashimoto.lg.jp,7,wikidata;wikidata,Hashimoto,,ConnectException,10 mail1.wirp.jp.; 10 mail2.wirp.jp.
city.hasuda.saitama.jp,7,wikidata;wikidata,Hasuda,,ConnectException,none
city.hatsukaichi.hiroshima.jp,7,wikidata;wikidata,Hatsukaichi,,ConnectException,0 hscmta.city.hatsukaichi.lg.jp.
city.hekinan.lg.jp,7,wikidata;wikidata,Hekinan,,ConnectException,20 alt1.ap.email.fireeyecloud.com.; 40 alt3.ap.email.fireeyecloud.com.; 30 alt2.ap.email.fireeyecloud.com.; 10 primary.ap.email.fireeyecloud.com.
city.hida.gifu.jp,7,wikidata;wikidata,Hida,,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching city.hida.gifu.jp found.,10 mail01.gifu-sc2.jp.; 10 mail02.gifu-sc2.jp.
city.hidaka.lg.jp,7,wikidata;wikidata,Hidaka,,ConnectException,5 sc11-mail01.sbt-isc.jp.
city.higashimatsushima.miyagi.jp,7,wikidata;wikidata,Higashimatsushima,,ConnectException,10 sc04-mail01.sbt-isc.jp.
city.higashine.yamagata.jp,7,wikidata;wikidata,Higashine,,HttpConnectTimeoutException: HTTP connect timed out,10 sc06-mail01.sbt-isc.jp.
city.higashiomi.shiga.jp,7,wikidata;wikidata,Higashiōmi-shi,,ConnectException,10 ssc2-osk-mllim.shigasc.jp.
city.higashiosaka.lg.jp,7,wikidata;wikidata,Higashiōsaka-shi,,ConnectException,10 osakasc-fml3.utility.optage.co.jp.
city.hikari.lg.jp,7,wikidata;wikidata,Hikari,,ConnectException,none
city.himi.toyama.jp,7,wikidata;wikidata,Himi,,ConnectException,10 mx-ts1.htcn.ne.jp.
city.hioki.kagoshima.jp,7,wikidata;wikidata,Hioki,,ConnectException,10 mx.city.hioki.kagoshima.jp.
city.hirado.nagasaki.jp,7,wikidata;wikidata,Hirado,,200,none
city.hirakata.osaka.jp,7,wikidata;wikidata,Hirakata,,ConnectException,10 osakasc-fml3.utility.optage.co.jp.
city.hita.oita.jp,7,wikidata;wikidata,Hita,,ConnectException,none
city.hitachi.lg.jp,7,wikidata;wikidata,Hitachi,,ConnectException,none
city.hitachinaka.lg.jp,7,wikidata;wikidata,Hitachinaka,,ConnectException,none
