subdomain,http_status,mx
app.bandes.gob.ve,Could not resolve host: app.bandes.gob.ve,none
app.cadivi.gob.ve,Could not resolve host: app.cadivi.gob.ve,none
app.dirsaludbarinas.gob.ve,Resolving timed out after 3002 milliseconds,none
app.sicad.cencoex.gob.ve,Could not resolve host: app.sicad.cencoex.gob.ve,none
app.sinco.gob.ve,Connection timed out after 3001 milliseconds,none
app.siscad.cadivi.gob.ve,Could not resolve host: app.siscad.cadivi.gob.ve,none
appext.tsj.gob.ve,Could not resolve host: appext.tsj.gob.ve,none
apps.ona.gob.ve,Could not resolve host: apps.ona.gob.ve,none
ar.fii.gob.ve,Could not resolve host: ar.fii.gob.ve,none
asambleanacional.gob.ve,Could not resolve host: asambleanacional.gob.ve,10 correo.asambleanacional.gob.ve.
asesores.ona.gob.ve,Could not resolve host: asesores.ona.gob.ve,none
asistencias.conalot.gob.ve,Could not resolve host: asistencias.conalot.gob.ve,none
asl.fundacite-barinas.gob.ve,Could not resolve host: asl.fundacite-barinas.gob.ve,none
aucc.gob.ve,Resolving timed out after 3000 milliseconds,none
aula.anzoategui.gob.ve,SSL: no alternative certificate subject name matches target hostname 'aula.anzoategui.gob.ve',none
aula.zecarabobo.gob.ve,403,none
austria.gob.ve,301,10 mail.austria.gob.ve.
autodiscover.alcaldiadebaralt-zulia.gob.ve,Could not resolve host: autodiscover.alcaldiadebaralt-zulia.gob.ve,none
autodiscover.alcaldiadecamatagua.gob.ve,Could not resolve host: autodiscover.alcaldiadecamatagua.gob.ve,none
autodiscover.alcaldiadiegoibarra.gob.ve,Could not resolve host: autodiscover.alcaldiadiegoibarra.gob.ve,none
autodiscover.alcaldiaromulogallegoscojedes.gob.ve,Could not resolve host: autodiscover.alcaldiaromulogallegoscojedes.gob.ve,none
autodiscover.aucc.gob.ve,Resolving timed out after 3000 milliseconds,none
autodiscover.bsr.gob.ve,Resolving timed out after 3000 milliseconds,dig error
autodiscover.carrizal-miranda.gob.ve,Could not resolve host: autodiscover.carrizal-miranda.gob.ve,none
autodiscover.cmblcaracas.gob.ve,Could not resolve host: autodiscover.cmblcaracas.gob.ve,none
autodiscover.cmjjm.gob.ve,Could not resolve host: autodiscover.cmjjm.gob.ve,none
autodiscover.codetaragua.gob.ve,Could not resolve host: autodiscover.codetaragua.gob.ve,none
autodiscover.contraloriadezamora-miranda.gob.ve,Could not resolve host: autodiscover.contraloriadezamora-miranda.gob.ve,none
autodiscover.contraloriaestadobarinas.gob.ve,Failed to connect to autodiscover.contraloriaestadobarinas.gob.ve port 443 after 316 ms: Could not connect to server,none
autodiscover.contralorialossalias.gob.ve,Could not resolve host: autodiscover.contralorialossalias.gob.ve,none
autodiscover.contraloriamunicipaldepuertocabello.gob.ve,Resolving timed out after 3000 milliseconds,dig error
autodiscover.fundapatrimonio.gob.ve,Could not resolve host: autodiscover.fundapatrimonio.gob.ve,none
autodiscover.fundarte.gob.ve,Could not resolve host: autodiscover.fundarte.gob.ve,none
autodiscover.imgrad.caracas.gob.ve,Could not resolve host: autodiscover.imgrad.caracas.gob.ve,none
autodiscover.imjc.gob.ve,Could not resolve host: autodiscover.imjc.gob.ve,none
autodiscover.ipsopol.gob.ve,Could not resolve host: autodiscover.ipsopol.gob.ve,none
autodiscover.municipioacevedo.gob.ve,Could not resolve host: autodiscover.municipioacevedo.gob.ve,none
autodiscover.parquehugochavez.gob.ve,Could not resolve host: autodiscover.parquehugochavez.gob.ve,none
autodiscover.policiadecaracas.gob.ve,Could not resolve host: autodiscover.policiadecaracas.gob.ve,none
autodiscover.sedebats.gob.ve,Could not resolve host: autodiscover.sedebats.gob.ve,none
autodiscover.seguroshorizonte.gob.ve,Could not resolve host: autodiscover.seguroshorizonte.gob.ve,none
autodiscover.sindicaturaccs.gob.ve,Could not resolve host: autodiscover.sindicaturaccs.gob.ve,none
autodiscover.sumat.gob.ve,Could not resolve host: autodiscover.sumat.gob.ve,none
avp.gob.ve,SSL certificate problem: certificate has expired,none
bandes.gob.ve,SSL certificate problem: unable to get local issuer certificate,10 mta.bandes.gob.ve.; 15 mx1.bandes.gob.ve.
bauche.cojedes.gob.ve,Resolving timed out after 3000 milliseconds,dig error
bauches.cojedes.gob.ve,Resolving timed out after 3000 milliseconds,dig error
bbb3.mppeuct.gob.ve,Could not resolve host: bbb3.mppeuct.gob.ve,dig error
bbbprueba.minvih.gob.ve,Could not resolve host: bbbprueba.minvih.gob.ve,none
bermudez.cgesucre.gob.ve,Could not resolve host: bermudez.cgesucre.gob.ve,none
bibliotecayacucho.gob.ve,Could not resolve host: bibliotecayacucho.gob.ve,none
