qid,label
Q123934,Muğla Province
Q125506,Iğdır Province
Q126874,Kütahya Province
Q128978,Kilis Province
Q129387,Tekirdağ Province
Q130553,Manisa Province
Q131293,Mardin Province
Q131384,Malatya Province
Q131387,Muş Province
Q131597,Kırklareli Province
Q132637,Mersin Province
Q134187,Kırşehir Province
Q134413,Sinop Province
Q155219,Niğde Province
Q219956,Zonguldak Province
Q2297724,Ankara Province
Q268043,Isparta Province
Q272662,Çankırı Province
Q272947,Çorum Province
Q281206,Osmaniye Province
Q344490,İzmir Province
Q376797,Erzurum Province
Q388469,Şanlıurfa Province
Q388995,Trabzon Province
Q40249,Antalya Province
Q40549,Adana Province
Q430693,Nevşehir Province
Q432391,Düzce Province
Q43690,Bursa Province
Q43745,Artvin Province
Q43924,Adıyaman Province
Q45220,Afyonkarahisar Province
Q46763,Bilecik Province
Q47117,Balıkesir Province
Q47813,Çanakkale Province
Q482779,Giresun Province
Q482788,Gümüşhane Province
Q482825,Siirt Province
Q482834,Kahramanmaraş Province
Q482975,Karaman Province
Q483040,Samsun Province
Q483053,Eskişehir Province
Q483063,Bayburt Province
Q483078,Uşak Province
Q483083,Yalova Province
Q483091,Elazığ Province
Q483100,Sivas Province
Q483154,Gaziantep Province
Q483168,Karabük Province
Q483173,Erzincan Province
Q483180,Ordu Province
Q483191,Kastamonu Province
Q483195,Tokat Province
Q483472,Kayseri Province
Q483481,Rize Province
Q484392,Kırıkkale Province
Q534799,Istanbul Province
Q620742,Tunceli Province
Q647378,Şırnak Province
Q75445,Yozgat Province
Q79760,Bingöl Province
Q79840,Ardahan Province
Q79846,Aydın Province
Q80036,Amasya Province
Q80051,Ağrı Province
Q80088,Burdur Province
Q80370,Batman Province
Q80550,Van Province
Q81551,Konya Province
Q82089,Bolu Province
Q82096,Denizli Province
Q83069,Sakarya Province
Q83073,Aksaray Province
Q83077,Kars Province
Q83081,Diyarbakır Province
Q83102,Edirne Province
Q83239,Bitlis Province
Q83274,Hatay Province
Q83342,Bartın Province
Q83965,Kocaeli Province
Q93209,Hakkâri Province
