qid,label
Q1004666,Fars Province
Q1105893,Qazvin Province
Q1131727,Lorestan Province
Q131664,Qom Province
Q132945,Bushehr Province
Q134228,Ardabil Province
Q134386,Kurdistan Province
Q134411,West Azarbaijan Province
Q134417,Markazi Province
Q1367759,Isfahan Province
Q146726,Zanjan Province
Q165352,Kerman Province
Q168949,Semnan Province
Q170041,Golestan Province
Q170568,Yazd Province
Q170570,Ilam Province
Q171551,South Khorasan Province
Q171702,Chaharmahal and Bakhtiari Province
Q174010,Kermanshah Province
Q176081,East Azarbaijan Province
Q180068,Kohgiluyeh and Boyer-Ahmad Province
Q180075,North Khorasan Province
Q187373,Hamadan Province
Q241119,Khuzestan Province
Q308864,Mazandaran Province
Q392522,Alborz Province
Q587090,Razavi Khorasan Province
Q590866,Tehran Province
Q633659,Hormozgan Province
Q928828,Gilan Province
Q939575,Sistan and Baluchestan Province
