subdomain,http_status
cpanel.helpdesk.mlmr.gov.fj,"TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure"
oldsite.commcomm.gov.fj,"Could not resolve host: oldsite.commcomm.gov.fj"
autodiscover.fijianmade.gov.fj,"400"
app.fijianmade.gov.fj,"200"
autodiscover.youthawards.gov.fj,"400"
cpanel.fijianmade.gov.fj,"500"
cpanel.youthawards.gov.fj,"500"
cloudserver.fccc.gov.fj,"406"
cpanel.mcttt.gov.fj,"500"
cpcontacts.rise.gov.fj,"500"
cpcalendars.fijianmade.gov.fj,"500"
cpcalendars.rise.gov.fj,"500"
cpcalendars.mcttt.gov.fj,"500"
demo.fijianmade.gov.fj,"200"
cpcontacts.mcttt.gov.fj,"500"
cpcontacts.youthawards.gov.fj,"500"
cpanel.rise.gov.fj,"500"
cpanel.fccc.gov.fj,"200"
cpcalendars.fccc.gov.fj,"401"
cpcontacts.fccc.gov.fj,"401"
mail.mitt.gov.fj,"Could not resolve host: mail.mitt.gov.fj"
met.gov.fj,"Could not resolve host: met.gov.fj"
covidpass.mcttt.gov.fj,"200"
pcm.fccc.gov.fj,"526"
cpcontacts.fijianmade.gov.fj,"500"
rbf.gov.fj,"307"
site3.mcttt.gov.fj,"Could not resolve host: site3.mcttt.gov.fj"
epricing.fccc.gov.fj,"406"
stats.rbf.gov.fj,"Could not resolve host: stats.rbf.gov.fj"
server.fccc.gov.fj,"526"
necregistration.gov.fj,"Could not resolve host: necregistration.gov.fj"
cpcalendars.youthawards.gov.fj,"500"
autodiscover.rise.gov.fj,"400"
autodiscover.mcttt.gov.fj,"400"
testing.gov.fj,"Could not resolve host: testing.gov.fj"
mdm.met.gov.fj,"Failed to connect to mdm.met.gov.fj port 443 after 882 ms: Could not connect to server"
cpanel.education.gov.fj,"Could not resolve host: cpanel.education.gov.fj"
cpcontacts.ag.gov.fj,"Could not resolve host: cpcontacts.ag.gov.fj"
mail.judgments.ag.gov.fj,"Could not resolve host: mail.judgments.ag.gov.fj"
webdisk.dns.fccc.gov.fj,"Could not resolve host: webdisk.dns.fccc.gov.fj"
mcttt.gov.fj,"301"
webmail.fisheries.gov.fj,"Could not resolve host: webmail.fisheries.gov.fj"
cpcalendars.hris.mitt.gov.fj,"Could not resolve host: cpcalendars.hris.mitt.gov.fj"
registryportal.economy.gov.fj,"Could not resolve host: registryportal.economy.gov.fj"
simoli.met.gov.fj,"Could not resolve host: simoli.met.gov.fj"
ag.gov.fj,"200"
msme.mitt.gov.fj,"Could not resolve host: msme.mitt.gov.fj"
mail.mcttt.gov.fj,"301"
submission.mitt.gov.fj,"Could not resolve host: submission.mitt.gov.fj"
whm.fccc.gov.fj,"Could not resolve host: whm.fccc.gov.fj"
whm.dns.fccc.gov.fj,"Could not resolve host: whm.dns.fccc.gov.fj"
webdisk.hris.mitt.gov.fj,"Could not resolve host: webdisk.hris.mitt.gov.fj"
testsite.fccc.gov.fj,"406"
webdisk.mitt.gov.fj,"Could not resolve host: webdisk.mitt.gov.fj"
survey.mcttt.gov.fj,"200"
www.bpec.mcttt.gov.fj,"Could not resolve host: www.bpec.mcttt.gov.fj"
test.gov.fj,"Could not resolve host: test.gov.fj"
www.cloudserver.fccc.gov.fj,"Could not resolve host: www.cloudserver.fccc.gov.fj"
checkin.digitalfiji.gov.fj,"SSL: no alternative certificate subject name matches target hostname 'checkin.digitalfiji.gov.fj'"
mail.hris.mitt.gov.fj,"Could not resolve host: mail.hris.mitt.gov.fj"
vp.tab.gov.fj,"Could not resolve host: vp.tab.gov.fj"
webdisk.fijianmade.gov.fj,"500"
survey.mitt.gov.fj,"Could not resolve host: survey.mitt.gov.fj"
vanuainfo.lands.gov.fj,"Could not resolve host: vanuainfo.lands.gov.fj"
webmail.dns.fccc.gov.fj,"Could not resolve host: webmail.dns.fccc.gov.fj"
webdisk.fccc.gov.fj,"401"
web04.met.gov.fj,"Could not resolve host: web04.met.gov.fj"
carefijiportal.digitalfiji.gov.fj,"Could not resolve host: carefijiportal.digitalfiji.gov.fj"
vps.fccc.gov.fj,"526"
webdisk.ag.gov.fj,"Could not resolve host: webdisk.ag.gov.fj"
www.demo.fccc.gov.fj,"TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure"
webdisk.mcttt.gov.fj,"500"
www.dev.fccc.gov.fj,"TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure"
www.dns.fccc.gov.fj,"Could not resolve host: www.dns.fccc.gov.fj"
webdisk.commcomm.gov.fj,"Could not resolve host: webdisk.commcomm.gov.fj"
www.elearn.fccc.gov.fj,"TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure"
www.elearning.fccc.gov.fj,"TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure"
test.rbf.gov.fj,"Could not resolve host: test.rbf.gov.fj"
site2.mcttt.gov.fj,"404"
webmail.mitt.gov.fj,"Could not resolve host: webmail.mitt.gov.fj"
www.ep2.fccc.gov.fj,"TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure"
nes.mcttt.gov.fj,"500"
test.mcttt.gov.fj,"302"
www.eservices.gov.fj,"Could not resolve host: www.eservices.gov.fj"
www.epricing.fccc.gov.fj,"TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure"
www.epricingtest.fccc.gov.fj,"TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure"
www.epricingpilotrun.fccc.gov.fj,"TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure"
www.feedback.fccc.gov.fj,"TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure"
webmail.fijianmade.gov.fj,"500"
webmail.mcttt.gov.fj,"500"
vp2.tab.gov.fj,"Could not resolve host: vp2.tab.gov.fj"
vrs2.digitalfiji.gov.fj,"Failed to connect to vrs2.digitalfiji.gov.fj port 443 after 879 ms: Could not connect to server"
odds.fijifiu.gov.fj,"200"
www.economy.gov.fj,"Could not resolve host: www.economy.gov.fj"
webdisk.education.gov.fj,"Could not resolve host: webdisk.education.gov.fj"
webmail.hris.mitt.gov.fj,"Could not resolve host: webmail.hris.mitt.gov.fj"
webdisk.youthawards.gov.fj,"500"
webdisk.fisheries.gov.fj,"Could not resolve host: webdisk.fisheries.gov.fj"
www.hris.mcttt.gov.fj,"Could not resolve host: www.hris.mcttt.gov.fj"
www.commcomm.gov.fj,"Could not resolve host: www.commcomm.gov.fj"
www.demo.fijianmade.gov.fj,"200"
www.agriculture.gov.fj,"Could not resolve host: www.agriculture.gov.fj"
webmail.fccc.gov.fj,"308"
www.covidpass.mcttt.gov.fj,"200"
site1.mcttt.gov.fj,"500"
www.edoc.mcttt.gov.fj,"302"
