hostname,indegree,indegree_tech
diavgeia.gov.gr,148,0
www.gov.gr,97,10
ypen.gov.gr,40,0
greece20.gov.gr,33,0
moh.gov.gr,28,1
ypes.gr,28,0
gsis.gr,27,0
eody.gov.gr,18,0
et.gr,18,0
kep.gov.gr,17,0
government.gov.gr,16,0
services.gov.gr,16,0
civilprotection.gov.gr,14,1
mindev.gov.gr,13,0
ypergasias.gov.gr,13,0
gov.gr,12,0
minedu.gov.gr,12,0
mitos.gov.gr,11,0
support.gov.gr,11,0
data.gov.gr,10,0
dpa.gr,9,0
eprocurement.gov.gr,9,0
ermis.gov.gr,9,0
syzefxis.gov.gr,9,0
efka.gov.gr,8,0
eopyy.gov.gr,8,0
solon.gov.gr,8,0
aade.gr,7,0
migration.gov.gr,7,0
areiospagos.gr,6,0
brexit.gov.gr,6,0
mfa.gr,6,0
minfin.gov.gr,6,0
minfin.gr,6,0
howto.gov.gr,5,0
ncris.gov.gr,5,0
patt.gov.gr,5,0
ppel.gov.gr,5,0
apdhp-dm.gov.gr,4,0
apografi.gov.gr,4,0
crete.gov.gr,4,0
enterprisegreece.gov.gr,4,0
gslegal.gov.gr,4,0
kinoumeilektrika.gov.gr,4,0
minscfa.gov.gr,4,0
pamth.gov.gr,4,0
pdm.gov.gr,4,0
pnai.gov.gr,4,0
prasinataxi.gov.gr,4,1
pste.gov.gr,4,0
pvaigaiou.gov.gr,4,0
ypes.gov.gr,4,0
apd-depin.gov.gr,3,0
digitalplan.gov.gr,3,0
dypa.gov.gr,3,0
e-astypalea.gov.gr,3,0
eugo.gov.gr,3,0
finddoctors.gov.gr,3,0
gga.gov.gr,3,0
hellenicparliament.gr,3,0
kinoumeilektrika2.gov.gr,3,0
live.gov.gr,3,0
minagric.gr,3,0
mintour.gov.gr,3,0
myhealth.gov.gr,3,0
pde.gov.gr,3,0
pin.gov.gr,3,0
pkm.gov.gr,3,0
politis.gov.gr,3,0
thessaly.gov.gr,3,0
ypakp.gr,3,0
1566.gov.gr,2,0
apps.gov.gr,2,0
bankofgreece.gr,2,0
covid19.gov.gr,2,0
digitalstrategy.gov.gr,2,0
dimossouliou.gov.gr,2,0
e-efka.gov.gr,2,0
e-katanalotis.gov.gr,2,0
edit.gov.gr,2,0
efeteio-ioanninon.gov.gr,2,0
ehealth.gov.gr,2,0
eisaggeliaefeton-larisas.gov.gr,2,0
ekapy.gov.gr,2,0
empedu.gov.gr,2,0
epa.gov.gr,2,0
epan.gov.gr,2,0
epathla.gov.gr,2,0
exoikonomo2020.gov.gr,2,0
fortizopantou.gov.gr,2,0
gsri.gov.gr,2,0
healthatlas.gov.gr,2,0
immigration.gov.gr,2,0
innovation.gov.gr,2,0
ioannina.gr,2,0
justice.gov.gr,2,0
keyd.gov.gr,2,0
mastografia.gov.gr,2,0
media.gov.gr,2,0
minadmin.gov.gr,2,0
moj.gov.gr,2,0
mopocp.gov.gr,2,0
nationaldigitalacademy.gov.gr,2,0
