domain,level,name
abana-bld.gov.tr,local,Abana Belediyesi
aydin-bld.gov.tr,local,Aydın Belediyesi
babaeski-bld.gov.tr,local,Babaeski Belediyesi
bandirma-bld.gov.tr,local,Bandırma Belediyesi
bartin-bld.gov.tr,local,Bartın Belediyesi
bartinozelidare.gov.tr,central-1,Bartın İl Özel İdaresi
burdur-bld.gov.tr,local,Burdur Belediyesi
corlu-bld.gov.tr,local,Çorlu Belediyesi
demirci-bld.gov.tr,local,Demirci Belediyesi
erdek-bld.gov.tr,local,Erdek Belediyesi
erzincan-bld.gov.tr,local,Erzincan Belediyesi
eskisehir-bld.gov.tr,local,Eskişehir Belediyesi
gaziantep-bld.gov.tr,local,Gaziantep Belediyesi
gaziantepozelidare.gov.tr,central-1,Gaziantep İl Özel İdaresi
gov.tr,central,
incesu-bld.gov.tr,local,İncesu Belediyesi
ispartaozelidare.gov.tr,central-1,Isparta İl Özel İdaresi
kalkan-bld.gov.tr,local,Kalkan Belediyesi
karabukozelidare.gov.tr,central-1,Karabük İl Özel İdaresi
karsozelidarecbs.gov.tr,central-1,Kars İl Özel İdaresi (CBS)
kepez-bld.gov.tr,local,Kepez Belediyesi
kirikkale-bld.gov.tr,local,Kırıkkale Belediyesi
kiziltepe-bld.gov.tr,local,Kızıltepe Belediyesi
mustafakemalpasa-bld.gov.tr,local,Mustafakemalpaşa Belediyesi
narlidere-bld.gov.tr,local,Narlıdere Belediyesi
omerli-bld.gov.tr,local,Ömerli Belediyesi
oren-bld.gov.tr,local,Ören Belediyesi
osmaniyeozelidare.gov.tr,central-1,Osmaniye İl Özel İdaresi
piraziz-bld.gov.tr,local,Piraziz Belediyesi
rizeozelidare.gov.tr,central-1,Rize İl Özel İdaresi
sahinbey-bld.gov.tr,local,Şahinbey Belediyesi
silifke-bld.gov.tr,local,Silifke Belediyesi
sivasilozelidaresi.gov.tr,central-1,Sivas İl Özel İdaresi
sivasozelidare.gov.tr,central-1,Sivas İl Özel İdaresi (variante)
toroslar-bld.gov.tr,local,Toroslar Belediyesi
uskudar-bld.gov.tr,local,Üsküdar Belediyesi
yenisehir-bld.gov.tr,local,Yenişehir Belediyesi
yildirim-bld.gov.tr,local,Yıldırım Belediyesi
