domain,name
abana-bld.gov.tr,Abana Belediyesi
aydin-bld.gov.tr,Aydın Belediyesi
babaeski-bld.gov.tr,Babaeski Belediyesi
bandirma-bld.gov.tr,Bandırma Belediyesi
bartin-bld.gov.tr,Bartın Belediyesi
burdur-bld.gov.tr,Burdur Belediyesi
corlu-bld.gov.tr,Çorlu Belediyesi
demirci-bld.gov.tr,Demirci Belediyesi
erdek-bld.gov.tr,Erdek Belediyesi
erzincan-bld.gov.tr,Erzincan Belediyesi
eskisehir-bld.gov.tr,Eskişehir Belediyesi
gaziantep-bld.gov.tr,Gaziantep Belediyesi
incesu-bld.gov.tr,İncesu Belediyesi
kalkan-bld.gov.tr,Kalkan Belediyesi
kepez-bld.gov.tr,Kepez Belediyesi
kirikkale-bld.gov.tr,Kırıkkale Belediyesi
kiziltepe-bld.gov.tr,Kızıltepe Belediyesi
mustafakemalpasa-bld.gov.tr,Mustafakemalpaşa Belediyesi
narlidere-bld.gov.tr,Narlıdere Belediyesi
omerli-bld.gov.tr,Ömerli Belediyesi
oren-bld.gov.tr,Ören Belediyesi
piraziz-bld.gov.tr,Piraziz Belediyesi
sahinbey-bld.gov.tr,Şahinbey Belediyesi
silifke-bld.gov.tr,Silifke Belediyesi
toroslar-bld.gov.tr,Toroslar Belediyesi
uskudar-bld.gov.tr,Üsküdar Belediyesi
yenisehir-bld.gov.tr,Yenişehir Belediyesi
yildirim-bld.gov.tr,Yıldırım Belediyesi
