hostname,score,sources,label,level,http_status,mx
mofaic.gov.ae,7,wikidata;wikidata,"Embassy of the United Arab Emirates, Ankara | Consulate General of the United Arab Emirates, Istanbul",central,IOException: HTTP/1.1 header parser received no bytes,10 smartmail1.fednet.gov.ae.; 20 smartmail2.fednet.gov.ae.
iski.istanbul,6,wikidata;wikidata,İSKİ,,HttpConnectTimeoutException: HTTP connect timed out,10 mail1.iski.istanbul.; 10 mail2.iski.istanbul.
roc-taiwan.org,6,wikidata;wikidata,Taipei Economic and Cultural Mission in Ankara,,302,none
ankara.mfa.gov.ct.tr,5,wikidata,"Embassy of Northern Cyprus, Ankara",central,200,none
ankara.mfa.gov.hu,4,wikidata,"Hungarian embassy, Ankara",central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
aso.org.tr,4,wikidata,Ankara Chamber of Industry,,200,0 aso-org-tr.mail.protection.outlook.com.
bddk.org.tr,4,wikidata,Banking Regulation and Supervision Agency,,ConnectException,10 mail.bddk.org.tr.
consulateofpalestine.com.tr,4,wikidata,"Consulate General of Palestine, Istanbul",,403,none
embassyofpalestine.org.tr,4,wikidata,Embassy of Palestine in Ankara,central,200,10 mail.embassyofpalestine.org.tr.
epdk.org.tr,4,wikidata,Energy Market Regulatory Authority,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 mail.epdk.gov.tr.
esb.org.tr,4,wikidata,Association of Access Providers (Turkey),,301,1 antispam.esb.org.tr.
ibg.edu.tr,4,wikidata,Izmir Biomedicine and Genome Center,,200,1 aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.
istihbarat.pol.tr,4,wikidata,Intelligence Presidency of General Directorate of Security,,302,none
istka.org.tr,4,wikidata,İstanbul Kalkınma Ajansı,,200,0 istka-org-tr.mail.protection.outlook.com.
isztambul.mfa.gov.hu,4,wikidata,"Consulate General of Hungary, Istanbul",,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
itfaiye.izmir.bel.tr,4,wikidata,İzmir Fire Department,central-1,302,none
izto.org.tr,4,wikidata,İzmir Chamber of Commerce,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 mail.izto.org.tr.
kardelen.baglar.bel.tr,4,wikidata,Q131170119,,ConnectException,none
kenyaembassy.org.tr,4,wikidata,"Embassy of Kenya, Ankara",central,200,10 mx.yandex.net.
kuwaitembassy.org.tr,4,wikidata,Embassy of Kuwait in Ankara,central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 mx02.ofis.net.; 15 mxbackup01.ofis.net.; 5 mx01.ofis.net.
mongolianembassy.com.tr,4,wikidata,"Embassy of Mongolia, Ankara",central,HttpConnectTimeoutException: HTTP connect timed out,10 _dc-mx.2e2e76325947.mongolianembassy.com.tr.
sierraleoneembassy.org.tr,4,wikidata,Embassy of Sierra Leone in Ankara,central,HttpConnectTimeoutException: HTTP connect timed out,0 mx1.teknobay.com.
southafrica.org.tr,4,wikidata,Embassy of South Africa in Ankara,central,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching southafrica.org.tr found.,0 s0.protection.alastyr.com.; 10 mail.southafrica.org.tr.
srilanka.org.tr,4,wikidata,Embassy of Sri Lanka in Ankara,central,200,10 mail.srilanka.org.tr.
tarimkredi.org.tr,4,wikidata,The Agricultural Credit Cooperatives of Turkey,,404,10 mail.tarimkredi.org.tr.
