domain,level,source,name
bartinozelidare.gov.tr,central-1,manual,Bartın İl Özel İdaresi
gaziantepozelidare.gov.tr,central-1,manual,Gaziantep İl Özel İdaresi
gov.tr,central,manual,
ispartaozelidare.gov.tr,central-1,manual,Isparta İl Özel İdaresi
karabukozelidare.gov.tr,central-1,manual,Karabük İl Özel İdaresi
karsozelidarecbs.gov.tr,central-1,manual,Kars İl Özel İdaresi (CBS)
osmaniyeozelidare.gov.tr,central-1,manual,Osmaniye İl Özel İdaresi
rizeozelidare.gov.tr,central-1,manual,Rize İl Özel İdaresi
sivasilozelidaresi.gov.tr,central-1,manual,Sivas İl Özel İdaresi
sivasozelidare.gov.tr,central-1,manual,Sivas İl Özel İdaresi (variante)
