qid,label
Q142258,Kampong Cham Province
Q1850,Phnom Penh
Q220966,Sihanoukville Province
Q3817,Banteay Meanchey Province
Q466000,Koh Kong Province
Q466031,Kandal Province
Q502148,Kampong Thom Province
Q502151,Preah Vihear Province
Q506646,Pailin Province
Q613345,Takéo Province
Q629538,Oddar Meanchey Province
Q652818,Siem Reap Province
Q652830,Mondulkiri Province
Q652867,Kampong Speu Province
Q747846,Ratanakiri Province
Q748470,Kampot Province
Q751864,Svay Rieng Province
Q785896,Kratié Province
Q810923,Battambang Province
Q834464,Pursat Province
Q837889,Stung Treng Province
Q852089,Kep Province
Q856788,Prey Veng Province
Q877468,Kampong Chhnang Province
