hostname,mentions,evidence
aan.gov.pl,1,ARCHIWUM AKT NOWYCH
abm.gov.pl,1,AGENCJA BADAŃ MEDYCZNYCH W WARSZAWIE
abw.gov.pl,1,AGENCJA BEZPIECZEŃSTWA WEWNĘTRZNEGO
adwokatura.pl,1,NACZELNA RADA ADWOKACKA
agad.gov.pl,1,ARCHIWUM GŁÓWNE AKT DAWNYCH
aids.gov.pl,1,KRAJOWE CENTRUM DO SPRAW AIDS
antydoping.pl,1,POLSKA AGENCJA ANTYDOPINGOWA
aotm.gov.pl,1,AGENCJA OCENY TECHNOLOGII MEDYCZNYCH I TARYFIKACJI
archiwa.gov.pl,1,NACZELNA DYREKCJA ARCHIWÓW PAŃSTWOWYCH
arimr.gov.pl,1,AGENCJA RESTRUKTURYZACJI I MODERNIZACJI ROLNICTWA
aw.gov.pl,1,AGENCJA WYWIADU
beowp.wp.mil.pl,1,BIURO EWIDENCJI OSOBOWEJ WOJSKA POLSKIEGO
bfg.pl,1,BANKOWY FUNDUSZ GWARANCYJNY
bgk.pl,1,BANK GOSPODARSTWA KRAJOWEGO
bialystok.sa.gov.pl,1,SĄD APELACYJNY W BIAŁYMSTOKU
biswarszawa.wp.mil.pl,1,BIURO INFRASTRUKTURY SPECJALNEJ
bkd.wp.mil.pl,1,BIURO KONWENTU DZIEKANÓW
bn.org.pl,1,BIBLIOTEKA NARODOWA
bnl.gov.pl,1,BIURO NASIENNICTWA LEŚNEGO
brpd.gov.pl,1,BIURO RZECZNIKA PRAW DZIECKA
bsw.starzgraniczna.pl,1,BIURO SPRAW WEWNĘTRZNYCH STRAŻY GRANICZNEJ
buligl.pl,1,BIURO URZĄDZANIA LASU I GEODEZJI LEŚNEJ
cadz.gov.pl,1,CENTRALNY AZYL DLA ZWIERZĄT
cba.gov.pl,1,CENTRALNE BIURO ANTYKORUPCYJNE
cbsp.policja.pl,1,CENTRALNE BIURO ŚLEDCZE POLICJI
cbzc.policja.gov.pl,1,CENTRALNE BIURO ZWALCZANIA CYBERPRZESTĘPCZOŚCI
cdissz.wp.mil.pl,1,DOWÓDZTWO TRANSFORMACJI I SZKOLENIA SIŁ ZBROJNYCH W BYDGOSZCZY
cdr.gov.pl,1,CENTRUM DORADZTWA ROLNICZEGO W BRWINOWIE
cem.edu.pl,1,CENTRUM EGZAMINÓW MEDYCZNYCH
centralna.gov.pl,1,CENTRALNA BAZA REZERW SANITARNO-PRZECIWEPIDEMICZNYCH W PORĘBACH
centrum.gov.pl,1,CENTRUM OBSŁUGI ADMINISTRACJI RZĄDOWEJ
cez.gov.pl,1,CENTRUM E-ZDROWIA
cirf.gov.pl,1,CENTRUM INFORMATYKI RESORTU FINANSÓW
cis.stat.gov.pl,1,CENTRUM INFORMATYKI STATYSTYCZNEJ
cke.gov.pl,1,CENTRALNA KOMISJA EGZAMINACYJNA W WARSZAWIE
ckps.lasy.gov.pl,1,CENTRUM KOORDYNACJI PROJEKTÓW ŚRODOWISKOWYCH
co.kprp.pl,1,CENTRUM OBSŁUGI KANCELARII PREZYDENTA RZECZYPOSPOLITEJ POLSKIEJ
coaz.wp.mil.pl,1,CENTRALNY OŚRODEK AKTYWIZACJI ZAWODOWEJ W WARSZAWIE
cobjwdl.lodz.pl,1,CENTRALNY OŚRODEK BADAŃ JAKOŚCI W DIAGNOSTYCE LABORATORYJNEJ
coboru.gov.pl,1,CENTRALNY OŚRODEK BADANIA ODMIAN ROŚLIN UPRAWNYCH
coi.gov.pl,1,CENTRALNY OŚRODEK INFORMATYKI W WARSZAWIE
copemswia.gov.pl,1,CENTRUM OBSŁUGI PROJEKTÓW EUROPEJSKICH MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI
cpd.mswia.gov.pl,1,CENTRUM PERSONALIZACJI DOKUMENTÓW MINISTERSTWA SPRAW WEWNĘTRZNYCH I ADMINISTRACJI
cpe.gov.pl,1,CENTRUM PROJEKTÓW EUROPEJSKICH
cul.com.pl,1,CENTRUM USŁUG LOGISTYCZNYCH
cupt.gov.pl,1,CENTRUM UNIJNYCH PROJEKTÓW TRANSPORTOWYCH
cwkl.wp.mil.pl,1,CENTRALNA WOJSKOWA KOMISJA LEKARSKA W WARSZAWIE
czcsz.wp.mil.pl,1,CENTRUM ZASOBÓW CYBERPRZESTRZENI SIŁ ZBROJNYCH
czdsigb.gov.pl,1,CENTRUM ZAKUPÓW DLA SĄDOWNICTWA INSTYTUCJA GOSPODARKI BUDŻETOWEJ
dew.wp.mil.pl,1,DOM EMERYTA WOJSKOWEGO W WARSZAWIE
ecsc.mil.pl,1,EKSPERCKIE CENTRUM SZKOLENIA CYBERBEZPIECZEŃSTWA
fsusr.gov.pl,1,FUNDUSZ SKŁADKOWY UBEZPIECZENIA SPOŁECZNEGO ROLNIKÓW
gdansk.sa.gov.pl,1,SĄD APELACYJNY W GDAŃSKU
gios.gov.pl,1,GŁÓWNY INSPEKTORAT OCHRONY ŚRODOWISKA
gov.pl,45,BIURO DO SPRAW SUBSTANCJI CHEMICZNYCH | BIURO RZECZNIKA PRAW PACJENTA | CENTRALNA KOMISJA LEKARSKA PODLEGŁA MINISTROWI WŁAŚCIWEMU DO SPRAW WEWNĘTRZ...
gugik.gov.pl,1,GŁÓWNY URZĄD GEODEZJI I KARTOGRAFII
gum.gov.pl,1,GŁÓWNY URZĄD MIAR
gunb.gov.pl,1,GŁÓWNY URZĄD NADZORU BUDOWLANEGO
ipn.gov.pl,1,INSTYTUT PAMIĘCI NARODOWEJ - KOMISJA ŚCIGANIA ZBRODNI PRZECIWKO NARODOWI POLSKIEMU - CENTRALA
izbaarchitektow.pl,1,IZBA ARCHITEKTÓW RZECZYPOSPOLITEJ POLSKIEJ
kbpn.gov.pl,1,KRAJOWE CENTRUM PRZECIWDZIAŁANIA UZALEŻNIENIOM
kbw.gov.pl,1,KRAJOWE BIURO WYBORCZE
kcbtik.pl,1,KRAJOWE CENTRUM BANKOWANIA TKANEK I KOMÓREK
kchz.argo.pl,1,KRAJOWE CENTRUM HODOWLI ZWIERZĄT
kcor.gov.pl,1,KRAJOWE CENTRUM OCHRONY RADIOLOGICZNEJ W OCHRONIE ZDROWIA
kidl.org.pl,1,KRAJOWA IZBA DIAGNOSTÓW LABORATORYJNYCH
kidp.pl,1,KRAJOWA IZBA DORADCÓW PODATKOWYCH
kif.info.pl,1,KRAJOWA IZBA FIZJOTERAPEUTÓW
kim.gov.pl,1,KRAJOWY INSTYTUT MEDIÓW W LIKWIDACJI
kirp.pl,1,KRAJOWA IZBA RADCÓW PRAWNYCH
kis.gov.pl,1,KRAJOWA INFORMACJA SKARBOWA
klubdgrsz.wp.mil.pl,1,KLUB DOWÓDZTWA GENERALNEGO RODZAJÓW SIŁ ZBROJNYCH
klubdorsz.wp.mil.pl,1,KLUB DOWÓDZTWA OPERACYJNEGO RODZAJÓW SIŁ ZBROJNYCH
klubiwspsz.wp.mil.pl,1,KLUB INSPEKTORATU WSPARCIA SIŁ ZBROJNYCH
knfgov.pl,1,URZĄD KOMISJI NADZORU FINANSOWEGO
kombatanci.gov.pl,1,URZĄD DO SPRAW KOMBATANTÓW I OSÓB REPRESJONOWANYCH
komornik.pl,1,KRAJOWA RADA KOMORNICZA
kopsn.pl,1,KRAJOWY OŚRODEK PSYCHIATRII SĄDOWEJ DLA NIELETNICH W GARWOLINIE
kozzd-gostynin.pl,1,KRAJOWY OŚRODEK ZAPOBIEGANIA ZACHOWANIOM DYSSOCJALNYM W GOSTYNINIE
krakow.wsa.gov.pl,1,WOJEWÓDZKI SĄD ADMINISTRACYJNY W KRAKOWIE
krir.pl,1,KRAJOWA RADA IZB ROLNICZYCH
krn.org.pl,1,KRAJOWA RADA NOTARIALNA
