field,text
country_name,"Islamic Republic of Mauritania"
government_type,"presidential republic"
capital,"Nouakchott"
chief_of_state,"President Mohamed Ould Cheikh el GHAZOUANI (since 1 August 2019)"
head_of_government,"Prime Minister Moctar Ould DIAY (since 2 August 2024)"
judicial_highest_courts,"Supreme Court or Cour Suprême (subdivided into 7 chambers: 2 civil, 2 labor, 1 commercial, 1 administrative, and 1 criminal, each with a chamber president and 2 councilors); Constitutional Council (consists of 9 members); High Court of Justice (consists of 9 members)"
constitution_history,"previous 1964; latest adopted 12 July 1991"
