field,text
country_name,"Republic of Cyprus"
government_type,"Republic of Cyprus - presidential republic; self-declared ""Turkish Republic of Northern Cyprus"" (TRNC) - parliamentary republic with enhanced presidency"
capital,"Nicosia (Lefkosia/Lefkosa)"
chief_of_state,"President Nikos CHRISTODOULIDIS (since 28 February 2023)"
head_of_government,"President Nikos CHRISTODOULIDIS (since 28 February 2023)"
judicial_highest_courts,"Supreme Court of Cyprus (consists of 13 judges, including the court president)"
constitution_history,"ratified 16 August 1960"
