type,label,website,hostname
ministry,"Dicastery for Laity, Family and Life","http://www.laityfamilylife.va",laityfamilylife.va
ministry,"Secretariat of State","http://www.vatican.va/roman_curia/secretariat_state/index_sp.htm",vatican.va
ministry,"Roman Rota","http://www.rotaromana.va/",rotaromana.va
ministry,"Dicastery for Promoting Integral Human Development","https://www.humandevelopment.va/it.html",humandevelopment.va
ministry,"Dicastery for Promoting Integral Human Development","https://www.vatican.va/content/romancuria/es/dicasteri/dicastero-per-il-servizio-dello-sviluppo-umano-integrale.index.html",vatican.va
ministry,"Dicastery for Culture and Education","https://www.dce.va/it.html",dce.va
ministry,"Dicastery for Bishops","http://www.congregazionevescovi.va/",congregazionevescovi.va
ministry,"Dicastery for the Clergy","http://www.clerus.va/content/clerus/en.html",clerus.va
ministry,"Office of Papal Charities","https://www.elemosineria.va/",elemosineria.va
ministry,"Office of Papal Charities","https://www.elemosineria.va/?lang=es",elemosineria.va
ministry,"Office of Papal Charities","https://www.vatican.va/content/romancuria/it/dicasteri/elemosineria-apostolica.html",vatican.va
ministry,"Dicastery for the Doctrine of the Faith","https://www.doctrinafidei.va/",doctrinafidei.va
ministry,"Secretariat for the Economy","http://www.vatican.va/roman_curia/segreterie/segreteria-economia/index_en.htm",vatican.va
ministry,"Secretariat for the Economy","http://www.vatican.va/roman_curia/segreterie/segreteria-economia/index_fr.htm",vatican.va
ministry,"Dicastery for Interreligious Dialogue","https://www.dicasteryinterreligious.va/",dicasteryinterreligious.va
parliament,"Pontifical Commission for the Vatican City State","https://www.vaticanstate.va/",vaticanstate.va
constitutional_court,"Roman Curia","http://www.vatican.va/roman_curia/index.htm",vatican.va
constitutional_court,"Governorate of Vatican City State","https://www.vaticanstate.va/en/state-and-government/structure-of-the-government/governatorate.html",vaticanstate.va
constitutional_court,"Governorate of Vatican City State","https://www.vaticanstate.va/it/stato-governo/struttura-del-governatorato/governatorato.html",vaticanstate.va
supreme_court,"Pontifical Commission for the Vatican City State","https://www.vaticanstate.va/",vaticanstate.va
