hostname,score,sources,label,level,http_status,mx
ivass.it,8,wikidata;directory,Istituto per la Vigilanza sulle Assicurazioni,,ConnectException,20 mail02.bancaditalia.it.; 20 mail04.bancaditalia.it.; 20 mail03.bancaditalia.it.; 20 mail01.bancaditalia.it.
poliziadistato.it,8,wikidata;directory,Polizia di Stato,,301,5 poliziadistato-it.mail.protection.outlook.com.
regione.lazio.it,8,wikidata;linkgraph,Lazio,,200,0 regione-lazio-it.mail.protection.outlook.com.
regione.piemonte.it,8,wikidata;linkgraph,Piedmont,,ConnectException,10 zmbmtain.csi.it.
ahk-italien.it,7,wikidata;wikidata,German-Italian Chamber of Commerce,,404,0 ahkitalien-it0i.mail.eo.outlook.com.
arpalombardia.it,7,wikidata;wikidata,Regional Environmental Protection Agency - Lombardy,central-1,ConnectException,none
ars.sicilia.it,7,wikidata;wikidata,Sicilian Regional Assembly,central-1,HttpConnectTimeoutException: HTTP connect timed out,10 mail.ars.sicilia.it.
asst-crema.it,7,wikidata;wikidata,ASST Crema,,HttpConnectTimeoutException: HTTP connect timed out,20 mx.aria.aruba.it.; 127 mail.asst-crema.it.
asst-valcamonica.it,7,wikidata;wikidata,ASST Valcamonica,,HttpConnectTimeoutException: HTTP connect timed out,0 asstvalcamonica-it01b.mail.protection.outlook.com.
braidense.it,7,wikidata;wikidata,Biblioteca nazionale Braidense,,HttpConnectTimeoutException: HTTP connect timed out,none
consiglio.basilicata.it,7,wikidata;wikidata,Regional Council of Basilicata,central-1,200,5 gwetrust.rete.basilicata.it.
consiglio.marche.it,7,wikidata;wikidata,Regional Council of Marche,central-1,HttpConnectTimeoutException: HTTP connect timed out,5 consiglio-marche-it.mail.protection.outlook.com.
consiglio.puglia.it,7,wikidata;wikidata,Regional Council of Apulia,central-1,HttpConnectTimeoutException: HTTP connect timed out,10 mail.consiglio.puglia.it.
consiglio.regione.abruzzo.it,7,wikidata;wikidata,Regional Council of Abruzzo,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
consiglio.regione.fvg.it,7,wikidata;wikidata,Regional Council of Friuli-Venezia Giulia,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
consiglio.regione.lazio.it,7,wikidata;wikidata,Regional Council of Lazio,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
consiglio.regione.lombardia.it,7,wikidata;wikidata,Regional Council of Lombardy,central-1,HttpConnectTimeoutException: HTTP connect timed out,50 consiglio-regione-lombardia-it.mail.protection.outlook.com.
consiglio.regione.molise.it,7,wikidata;wikidata,Regional Council of Molise,central-1,HttpConnectTimeoutException: HTTP connect timed out,10 smtp-in-1.consiglio.regione.molise.it.; 10 smtp-in-3.molisedati.it.; 10 smtp-in-2.consiglio.regione.molise.it.
consiglio.regione.sardegna.it,7,wikidata;wikidata,Regional Council of Sardinia,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
consiglio.regione.toscana.it,7,wikidata;wikidata,Regional Council of Tuscany,central-1,HttpConnectTimeoutException: HTTP connect timed out,20 mail.consiglio.regione.toscana.it.; 10 email.consiglio.regione.toscana.it.
consiglio.regione.umbria.it,7,wikidata;wikidata,Regional Council of Umbria,central-1,200,none
consiglio.regione.vda.it,7,wikidata;wikidata,Regional Council of the Aosta Valley,central-1,ConnectException: Host is unreachable,10 consprim.consiglio.regione.vda.it.
consiglioregionale.calabria.it,7,wikidata;wikidata,Regional Council of Calabria,central-1,ConnectException: Host is unreachable,10 mx.impresasemplice.it.
consiglioveneto.it,7,wikidata;wikidata,Regional Council of Veneto,central-1,301,none
cr.campania.it,7,wikidata;wikidata,Regional Council of Campania,central-1,200,10 cr-campania-it.mail.protection.outlook.com.
cr.piemonte.it,7,wikidata;wikidata,Regional Council of Piedmont,central-1,ConnectException,10 zmbmtain.csi.it.
fisiocritici.it,7,wikidata;wikidata,Accademia dei Fisiocritici,,301,10 mx.fisiocritici.it.
garanteinfanzia.org,7,wikidata;directory,Autorità Garante per l'Infanzia e l'Adolescenza,central,HttpConnectTimeoutException: HTTP connect timed out,10 garanteinfanzia-org.mail.protection.outlook.com.
gesuiti.it,7,wikidata;wikidata,Euromediterranean Province of the Jesuits,,HttpConnectTimeoutException: HTTP connect timed out,none
ofmsalu.it,7,wikidata;wikidata,Q113365774,,HttpConnectTimeoutException: HTTP connect timed out,10 mx.ofmsalu.it.
regionalrat.tnst.it,7,wikidata;wikidata,Regional council of Trentino-Alto Adige/Südtirol,central-1,HttpConnectTimeoutException: HTTP connect timed out,0 regionalrat-tnst-it.mail.protection.outlook.com.
regione.campania.it,7,wikidata;linkgraph,Campania,,HttpConnectTimeoutException: HTTP connect timed out,0 regione-campania-it.mail.protection.outlook.com.
regione.liguria.it,7,wikidata;wikidata;wikidata,Regional Council of Liguria | Liguria,central-1,HttpConnectTimeoutException: HTTP connect timed out,5 esva02.regione.liguria.it.; 5 esva01.regione.liguria.it.
regione.marche.it,7,wikidata;wikidata;wikidata,Government of Marche | Marche,central-1,HttpConnectTimeoutException: HTTP connect timed out,none
roma.mfa.gov.ct.tr,7,wikidata;wikidata,"Representative office of Northern Cyprus, Rome",central,HttpConnectTimeoutException: HTTP connect timed out,none
sbn.it,7,wikidata;wikidata,Italian National Libraries,,HttpConnectTimeoutException: HTTP connect timed out,10 mail.sbn.it.
scolopi.it,7,wikidata;wikidata,Piarist province of Italy,,HttpConnectTimeoutException: HTTP connect timed out,none
vigilfuoco.it,7,wikidata;wikidata,National Fire-watchers' Corps | Q20165147,central,HttpConnectTimeoutException: HTTP connect timed out,10 esg.vigilfuoco.it.
bibliotecabraidense.org,6,wikidata;wikidata,Biblioteca nazionale Braidense,,HttpConnectTimeoutException: HTTP connect timed out,10 _dc-mx.87197795731d.bibliotecabraidense.org.
