subdomain,http_status,mx
accrediti.giustizia.it,200,none
albielenchictutest.giustizia.it,Could not resolve host: albielenchictutest.giustizia.it,none
alboctuelenchi.giustizia.it,301,none
alboctuelenchitest.giustizia.it,301,none
apps.giustizia.it,Could not resolve host: apps.giustizia.it,none
auth01.giustizia.it,Connection timed out after 5002 milliseconds,none
auth01coll.giustizia.it,Connection timed out after 5002 milliseconds,none
autodiscover.giustizia.it,SSL certificate problem: unable to get local issuer certificate,none
ca.palermo.giustizia.it,Could not resolve host: ca.palermo.giustizia.it,none
concorsi.giustizia.it,200,none
concorsipersonale.giustizia.it,302,none
concorsipersonaledap.giustizia.it,Connection timed out after 5002 milliseconds,none
concorsipersonaledgmc.giustizia.it,Connection timed out after 5002 milliseconds,none
concorsipersonaledog.giustizia.it,Connection timed out after 5002 milliseconds,none
concorsispccoll.giustizia.it,Connection timed out after 5002 milliseconds,none
documenti.perugia.giustizia.it,Connection timed out after 5003 milliseconds,none
gdp.giustizia.it,SSL certificate problem: unable to get local issuer certificate,none
gestionemobiledap.giustizia.it,SSL certificate problem: unable to get local issuer certificate,none
giuskcloakcoll.giustizia.it,Connection timed out after 5002 milliseconds,none
giuskcloakprod.giustizia.it,Connection timed out after 5002 milliseconds,none
giustizia.it,301,0 giustizia-it.mail.protection.outlook.com.
idp.perugia.giustizia.it,Connection timed out after 5002 milliseconds,none
imap.giustizia.it,Could not resolve host: imap.giustizia.it,none
interoperabilitaspc.giustizia.it,SSL certificate problem: unable to get local issuer certificate,none
italgiure.giustizia.it,Could not resolve host: italgiure.giustizia.it,none
mx1.giustizia.it,Connection timed out after 5003 milliseconds,none
mx2.giustizia.it,Connection timed out after 5002 milliseconds,none
pg-laquila.giustizia.it,200,none
pg.bologna.giustizia.it,Could not resolve host: pg.bologna.giustizia.it,none
piattaformaconcorsicoll.giustizia.it,301,none
pop.giustizia.it,Could not resolve host: pop.giustizia.it,none
portalevenditepubbliche.giustizia.it,301,none
posta.giustizia.it,Could not resolve host: posta.giustizia.it,none
postaweb.giustizia.it,SSL certificate problem: unable to get local issuer certificate,none
procedureconcorsuali.giustizia.it,SSL certificate problem: unable to get local issuer certificate,none
processotelematico.giustizia.it,Could not resolve host: processotelematico.giustizia.it,10 mx.processotelematico.giustizia.it.
procura-pescara.giustizia.it,Could not resolve host: procura-pescara.giustizia.it,none
