subdomain,http_status,mx
pdftemplatord2p.covid19.difesa.it,SSL certificate problem: self-signed certificate,none
pdftemplatord2ptest.covid19.difesa.it,SSL certificate problem: self-signed certificate,none
persociv.difesa.it,Could not resolve host: persociv.difesa.it,none
personalevaccini.covid19.difesa.it,SSL: no alternative certificate subject name matches target hostname 'personalevaccini.covid19.difesa.it',none
pmfa.esercito.difesa.it,200,none
portale.elearning.marina.difesa.it,Connection timed out after 5002 milliseconds,none
posta.marina.difesa.it,Could not resolve host: posta.marina.difesa.it,none
pradeo.difesa.it,Could not resolve host: pradeo.difesa.it,none
questionnaire.aeronautica.difesa.it,Connection timed out after 5002 milliseconds,none
registrationcovid.covid19.difesa.it,SSL certificate problem: certificate has expired,none
resetpasswordmm.marina.difesa.it,Connection timed out after 5002 milliseconds,none
reteospedaliera.covid19.difesa.it,SSL certificate problem: certificate has expired,none
sam.difesa.it,200,
selene.esercito.difesa.it,SSL certificate problem: unable to get local issuer certificate,none
servizi.difesa.it,Could not resolve host: servizi.difesa.it,none
sharefile.marina.difesa.it,Connection timed out after 5002 milliseconds,none
sisdantest.elearning.marina.difesa.it,Connection timed out after 5002 milliseconds,none
smtp.marina.difesa.it,Could not resolve host: smtp.marina.difesa.it,none
spikad-ng.difesa.it,200,
sso.comc4ei.esercito.difesa.it,200,none
sso.difesa.it,Could not resolve host: sso.difesa.it,none
streaming1.elearning.esercito.difesa.it,404,none
stun.spikad-ng.difesa.it,HttpTimeoutException: request timed out,
ticket.elearning.esercito.difesa.it,SSL certificate problem: unable to get local issuer certificate,none
trstscs1.difesa.it,Could not resolve host: trstscs1.difesa.it,none
trstscs2.difesa.it,Could not resolve host: trstscs2.difesa.it,none
tstreteospedaliera.covid19.difesa.it,Could not resolve host: tstreteospedaliera.covid19.difesa.it,none
ucms1c.difesa.it,Could not resolve host: ucms1c.difesa.it,none
ucms2c.difesa.it,Could not resolve host: ucms2c.difesa.it,none
vc.difesa.it,Could not resolve host: vc.difesa.it,none
vc1.difesa.it,Connection timed out after 5002 milliseconds,none
vc1.marina.difesa.it,400,none
vc2.difesa.it,Connection timed out after 5002 milliseconds,none
vc2.marina.difesa.it,400,none
vc3.marina.difesa.it,400,none
vccluster.marina.difesa.it,400,none
vdi.marina.difesa.it,Connection timed out after 5002 milliseconds,none
vdimdm.marina.difesa.it,Could not resolve host: vdimdm.marina.difesa.it,none
video.elearning.esercito.difesa.it,SSL certificate problem: unable to get local issuer certificate,none
voip.aeronautica.difesa.it,Could not resolve host: voip.aeronautica.difesa.it,none
vpn.marina.difesa.it,Could not resolve host: vpn.marina.difesa.it,none
vtc-cor.difesa.it,Connection timed out after 5002 milliseconds,none
wavenoc.esercito.difesa.it,Could not resolve host: wavenoc.esercito.difesa.it,none
