type,label,website,hostname,provenance
parliament,Congress of Deputies,https://www.congreso.es/,congreso.es,suggestions.org:2026-06-18;replaces-dead:cortesgenerales.es
parliament,Senate of Spain,https://www.senado.es/,senado.es,suggestions.org:2026-06-18;replaces-dead:cortesgenerales.es
