hostname,score,sources,label
egov.sy,6,un_desa,UN/DESA national portal
mosy.sy,4,wikidata,Ministry of Youth and Sports
custodia.org,3,wikidata,Custodian of the Holy Land
syriaig.org,3,wikidata,Syrian Interim Government
