subdomain,http_status
cpcalendars.minetatminider.gouv.cd,"Could not resolve host: cpcalendars.minetatminider.gouv.cd"
cpcalendars.jeunesse-inc.gouv.cd,"Could not resolve host: cpcalendars.jeunesse-inc.gouv.cd"
cpcalendars.minfin.gouv.cd,"Could not resolve host: cpcalendars.minfin.gouv.cd"
cpcalendars.nordubangi.gouv.cd,"SSL certificate problem: certificate has expired"
autodiscover.kongocentral.gouv.cd,"Could not resolve host: autodiscover.kongocentral.gouv.cd"
bpea.gouv.cd,"Could not resolve host: bpea.gouv.cd"
cpanel.vc.gouv.cd,"200"
bensoft.ptntic.kongocentral.gouv.cd,"Could not resolve host: bensoft.ptntic.kongocentral.gouv.cd"
budget.gouv.cd,"Could not resolve host: budget.gouv.cd"
cpcalendars.minptntic.gouv.cd,"Could not resolve host: cpcalendars.minptntic.gouv.cd"
cpcalendars.policejudiciaire.gouv.cd,"Could not resolve host: cpcalendars.policejudiciaire.gouv.cd"
autodiscover.minaffet.gouv.cd,"Could not resolve host: autodiscover.minaffet.gouv.cd"
cpcalendars.energie.gouv.cd,"401"
cpcalendars.vc.gouv.cd,"Could not resolve host: cpcalendars.vc.gouv.cd"
cpanel.minesu.gouv.cd,"SSL: no alternative certificate subject name matches target hostname 'cpanel.minesu.gouv.cd'"
cpanel.kongocentral.gouv.cd,"Could not resolve host: cpanel.kongocentral.gouv.cd"
cpanel.arptc.gouv.cd,"Could not resolve host: cpanel.arptc.gouv.cd"
autodiscover.itpr.gouv.cd,"400"
audio.maniema.gouv.cd,"301"
archives.maniema.gouv.cd,"200"
cpcalendars.kongocentral.gouv.cd,"Could not resolve host: cpcalendars.kongocentral.gouv.cd"
cpanel.policejudiciaire.gouv.cd,"Could not resolve host: cpanel.policejudiciaire.gouv.cd"
cpcalendars.hydrocarbures.gouv.cd,"301"
cpanel.minepst.gouv.cd,"200"
cpcontacts.dgi.gouv.cd,"Could not resolve host: cpcontacts.dgi.gouv.cd"
autodiscover.medd.gouv.cd,"400"
cpcalendars.villedegoma.gouv.cd,"Could not resolve host: cpcalendars.villedegoma.gouv.cd"
cpanel.minindustrie.gouv.cd,"Could not resolve host: cpanel.minindustrie.gouv.cd"
