qid,label
Q15966495,Republic of Crimea
Q1697,Moscow Oblast
Q1727,Samara Oblast
Q1749,Kaliningrad Oblast
Q1759,Murmansk Oblast
Q1875,Arkhangelsk Oblast
Q1914,Karelia
Q2015,Vologda Oblast
Q2073,Komi Republic
Q2164,Nenets Autonomous District
Q2191,Leningrad Oblast
Q2218,Pskov Oblast
Q2240,Novgorod Oblast
Q2246,Nizhny Novgorod Oblast
Q2292,Tver Oblast
Q2347,Smolensk Oblast
Q2448,Yaroslavl Oblast
Q2596,Kostroma Oblast
Q2654,Ivanovo Oblast
Q2702,Vladimir Oblast
Q2753,Ryazan Oblast
Q2792,Tula Oblast
Q2810,Bryansk Oblast
Q2842,Kaluga Oblast
Q3129,Oryol Oblast
Q3178,Kursk Oblast
Q3329,Belgorod Oblast
Q3447,Voronezh Oblast
Q3510,Lipetsk Oblast
Q3550,Tambov Oblast
Q3573,Rostov Oblast
Q3680,Krasnodar Krai
Q3734,Adygea
Q3819,Volgograd Oblast
Q3941,Astrakhan Oblast
Q3953,Kalmykia
Q4341,Primorsky Krai
Q5118,Dagestan
Q5187,Chechnya
Q5207,Stavropol Krai
Q5219,Ingushetia
Q5237,North Ossetia–Alania
Q5267,Kabardino-Balkaria
Q5328,Karachay-Cherkessia
Q5334,Saratov Oblast
Q5338,Orenburg Oblast
Q5340,Mordovia
Q5387,Kirov Oblast
Q5400,Perm Krai
Q5422,Udmurtia
Q5446,Mari El
Q5462,Sverdlovsk Oblast
Q5466,Chuvashia
Q5481,Tatarstan
Q5545,Penza Oblast
Q5634,Ulyanovsk Oblast
Q5710,Bashkortostan
Q5714,Chelyabinsk Oblast
Q5741,Kurgan Oblast
Q5824,Tyumen Oblast
Q5835,Omsk Oblast
Q5851,Novosibirsk Oblast
Q5884,Tomsk Oblast
Q5942,Altai Krai
Q5971,Altai Republic
Q6076,Kemerovo Oblast
Q6320,Khanty-Mansi Autonomous District
Q6407,Yamalo-Nenets Autonomous District
Q649,Moscow
Q6543,Khakassia
Q656,Saint Petersburg
Q6563,Krasnoyarsk Krai
Q6585,Irkutsk Oblast
Q6605,Sakha
Q6809,Buryatia
Q6838,Zabaykalsky Krai
Q6886,Amur Oblast
Q7525,Sevastopol
Q7730,Jewish Autonomous Oblast
Q7788,Khabarovsk Krai
Q7797,Sakhalin Oblast
Q7948,Kamchatka Krai
Q7971,Magadan Oblast
Q7984,Chukotka Autonomous District
Q960,Tuva
