hostname,http_status,mx
citizen.egov.mv,200,none
ganairport.com,403,10 mailstore1.secureserver.net.; 0 smtp.secureserver.net.
mofaic.gov.ae,IOException: HTTP/1.1 header parser received no bytes,10 smartmail1.fednet.gov.ae.; 20 smartmail2.fednet.gov.ae.
