domain,http_status,mx
18f.gov,ConnectException,none
250.gov,HttpConnectTimeoutException: HTTP connect timed out,none
400yaahc.gov,ConnectException,5 alt1.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 1 aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.
9-11commission.gov,200,10 us.etp.fireeyegov.com.
911.gov,302,none
911commission.gov,200,none
988.gov,301,none
aanhpiheritage.gov,301,none
abd.gov,HttpConnectTimeoutException: HTTP connect timed out,none
abilityone.gov,200,0 abilityone-gov.mail.protection.outlook.com.
abmc.gov,403,10 abmc-gov.mail.protection.outlook.com.
accedeainternet.gov,403,none
access-board.gov,HttpConnectTimeoutException: HTTP connect timed out,0 accessboard-gov01e.mail.protection.outlook.com.
acf.gov,202,20 smtp.ees.hhs.gov.; 10 smtp2.ees.hhs.gov.
achp.gov,HttpConnectTimeoutException: HTTP connect timed out,20 alt1.us.etp.fireeyegov.com.; 30 alt2.us.etp.fireeyegov.com.; 10 primary.us.etp.fireeyegov.com.; 40 alt3.us.etp.fireeyegov.com.; 50 achp-gov.mail.protection.outlook.com.
acl.gov,403,20 smtp.ees.hhs.gov.; 10 smtp2.ees.hhs.gov.; 5 acl.gov.
acquisition.gov,301,none
acquisitiongateway.gov,200,none
acus.gov,403,5 acus-gov.mail.protection.outlook.com.
acwi.gov,301,none
ada.gov,301,none
adams.gov,200,5 alt2.aspmx.l.google.com.; 1 aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.
adf.gov,HttpConnectTimeoutException: HTTP connect timed out,0 adf-gov.mail.protection.outlook.com.
adlnet.gov,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching adlnet.gov found.,0 adlnet-gov.mail.protection.outlook.com.
adr.gov,HttpConnectTimeoutException: HTTP connect timed out,none
afadvantage.gov,200,none
aff.gov,301,none
afrh.gov,ConnectException,0 afrh-gov.mail.protection.outlook.com.
africanamericanhistorymonth.gov,302,none
aftac.gov,ConnectException,5 sxht-esa-001u.aftac.gov.; 5 sxht-esa-002u.aftac.gov.
ag.gov,HttpConnectTimeoutException: HTTP connect timed out,none
aging.gov,301,none
agingstats.gov,200,none
aha.gov,ConnectException,none
ahcpr.gov,301,20 smtp.ees.hhs.gov.; 10 smtp2.ees.hhs.gov.
ahrq.gov,301,10 primary.us.etp.fireeyegov.com.; 30 alt2.us.etp.fireeyegov.com.; 40 alt3.us.etp.fireeyegov.com.; 20 alt1.us.etp.fireeyegov.com.
ai.gov,301,none
aicenter.gov,401,none
aids.gov,301,20 smtp.ees.hhs.gov.; 10 smtp2.ees.hhs.gov.
aiexports.gov,200,0 aiexports-gov.mail.protection.outlook.com.
airknowledge.gov,200,none
airnow.gov,ConnectException,none
aiworkforcehub.gov,301,0 aiworkforcehub-gov.mail.protection.outlook.com.
alertaenlinea.gov,403,none
alien.gov,301,none
aliens.gov,301,none
altusandc.gov,ConnectException,10 sxht-esa-001u.aftac.gov.; 10 sxht-esa-002u.aftac.gov.; 5 mnsa-esa-001azu.altusandc.gov.
alzheimers.gov,301,10 nihcesxway6.hub.nih.gov.; 10 nihcesxwayst04.hub.nih.gov.; 10 nihcesxwayst02.hub.nih.gov.; 10 nihcesxway3.hub.nih.gov.; 10 nihcesxwayst03.hub.nih.gov.; 10 nihcesxwayst06.hub.nih.gov.; 10 nihcesxway.hub.nih.gov.; 10 nihcesxwayst05.hub.nih.gov.; 10 nihcesxway5.hub.nih.gov.; 10 nihcesxway2.hub.nih.gov.; 10 nihcesxwayst01.hub.nih.gov.; 10 nihcesxway4.hub.nih.gov.
ama.gov,ConnectException,none
amberalert.gov,ConnectException,none
america.gov,HttpConnectTimeoutException: HTTP connect timed out,1 aspmx.l.google.com.; 10 aspmx2.googlemail.com.; 10 aspmx3.googlemail.com.; 5 alt2.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.
america250.gov,301,10 alt3.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 1 aspmx.l.google.com.
americabydesign.gov,200,none
americanmemory.gov,HttpTimeoutException: request timed out,none
americaslibrary.gov,301,none
americorps.gov,403,10 americorps-gov.mail.protection.outlook.com.
americorpsoig.gov,301,0 americorpsoig-gov.mail.protection.outlook.com.
ameslab.gov,ConnectException,10 alt3.aspmx.l.google.com.; 1 aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.
amtrakoig.gov,200,0 amtrakoig-gov.mail.protection.outlook.com.
anchorit.gov,301,none
anl.gov,ConnectException,10 mailgateway.anl.gov.; 10 mailgateway-bak.anl.gov.
anstaskforce.gov,301,none
aoa.gov,301,20 smtp.ees.hhs.gov.; 10 smtp2.ees.hhs.gov.
aoc.gov,301,5 mx07.aoc.gov.; 5 mx06.aoc.gov.; 5 mx04.aoc.gov.; 5 mx05.aoc.gov.; 5 mx08.aoc.gov.; 5 mx03.aoc.gov.
aocoig.gov,302,none
ap.gov,301,none
applicationmanager.gov,ConnectException,none
apprenticeship.gov,301,0 apprenticeship-gov.mail.protection.outlook.com.
apprenticeships.gov,301,none
arc.gov,200,0 arc-gov.mail.protection.outlook.com.
arcade.gov,301,
arcades.gov,301,
archives.gov,ConnectException,10 us.etp.fireeyegov.com.
arctic.gov,200,10 alt3.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 1 aspmx.l.google.com.
arm.gov,200,10 mxb-00689501.gslb.gpphosted.com.; 10 mxa-00689501.gslb.gpphosted.com.
arpa-h.gov,200,10 arpah-gov01b.mail.protection.outlook.com.
arpah.gov,301,10 arpah-gov.mail.protection.outlook.com.
ars-grin.gov,404,5 usda-gov.mail.protection.outlook.com.
arsusda.gov,ConnectException,none
arts.gov,301,0 arts-gov.mail.eo.outlook.com.
asap.gov,301,none
asc.gov,200,0 asc-gov.mail.protection.outlook.com.
asianpacificheritage.gov,200,none
aspr.gov,301,0 aspr-gov.mail.protection.outlook.com.
assistantdemocraticleader.gov,ConnectException,none
ata.gov,HttpConnectTimeoutException: HTTP connect timed out,none
atf.gov,301,10 mx-dc2.usdoj.gov.; 10 mx-da6.usdoj.gov.
atvsafety.gov,301,none
aviationweather.gov,200,none
ayudaconmibanco.gov,301,none
bam.gov,ConnectException,none
bankanswers.gov,301,none
bankcustomer.gov,301,none
bankcustomerassistance.gov,301,none
bankhelp.gov,301,none
banknet.gov,302,10 cwmailhub1in.treasury.gov.; 10 cemailhub1in.treasury.gov.
bankruptcy.gov,ConnectException,none
bats.gov,301,none
bbg.gov,301,0 bbg-gov.mail.protection.outlook.com.
bcfp.gov,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching bcfp.gov found.,none
bea.gov,200,10 bea-gov.mail.protection.outlook.com.
bebest.gov,302,none
benefeds.gov,301,0 benefeds-gov.mail.protection.outlook.com.
benefits.gov,301,none
bep.gov,302,10 cemailhub1in.treasury.gov.; 10 cwmailhub1in.treasury.gov.
betobaccofree.gov,301,10 smtp.ees.hhs.gov.; 10 smtp2.ees.hhs.gov.
bia.gov,301,0 bia-gov.mail.protection.outlook.com.
bidenlibrary.gov,ConnectException,none
bidenwhitehouse.gov,ConnectException,none
billetes.gov,301,none
bioethics.gov,HttpConnectTimeoutException: HTTP connect timed out,40 alt3.us.etp.fireeyegov.com.; 20 alt1.us.etp.fireeyegov.com.; 10 primary.us.etp.fireeyegov.com.; 30 alt2.us.etp.fireeyegov.com.
biomassboard.gov,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
biometriccoe.gov,301,none
biometrics.gov,301,none
biopreferred.gov,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching biopreferred.gov found.,none
birthcontrol.gov,301,none
bis.gov,HttpConnectTimeoutException: HTTP connect timed out,0 bis-gov.mail.protection.office365.us.
bjs.gov,301,none
blackhistorymonth.gov,302,none
bldrdoc.gov,ConnectException,none
blm.gov,301,0 blm-gov.mail.protection.outlook.com.
bls.gov,302,10 bls-gov.mail.protection.outlook.com.
bluecampaign.gov,301,none
blueroof.gov,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching blueroof.gov found.,none
bnl.gov,301,10 mxa-00008201.gslb.pphosted.com.; 10 mxb-00008201.gslb.pphosted.com.
boem.gov,301,1 boem-gov.mail.protection.outlook.com.
boemre.gov,ConnectException,1 boemre-gov.mail.protection.outlook.com.
bondpro.gov,200,10 cemailhub1in.treasury.gov.; 10 cwmailhub1in.treasury.gov.
bop.gov,ConnectException,10 mx-da6.usdoj.gov.; 10 mx-jdcw.usdoj.gov.
bor.gov,ConnectException,none
bpa.gov,301,0 bpa-gov.mail.protection.outlook.com.
brain.gov,301,none
broadbandmap.gov,301,none
bsee.gov,301,1 bsee-gov.mail.protection.outlook.com.
btfa.gov,302,0 btfa-gov.mail.protection.outlook.com.
bts.gov,ConnectException,1 bts-dot-gov.mail.protection.outlook.com.
budget.gov,301,none
budgetlob.gov,HttpConnectTimeoutException: HTTP connect timed out,none
bush41library.gov,ConnectException,none
business.gov,301,none
businessdefense.gov,ConnectException,none
buyamerican.gov,301,none
campusdrugprevention.gov,403,none
cancer.gov,301,10 nihcesxwayst04.hub.nih.gov.; 10 nihcesxway3.hub.nih.gov.; 10 nihcesxway4.hub.nih.gov.; 10 nihcesxway2.hub.nih.gov.; 10 nihcesxwayst02.hub.nih.gov.; 10 nihcesxwayst01.hub.nih.gov.; 10 nihcesxway5.hub.nih.gov.; 10 nihcesxway.hub.nih.gov.; 10 nihcesxwayst03.hub.nih.gov.; 10 nihcesxwayst06.hub.nih.gov.; 10 nihcesxwayst05.hub.nih.gov.
cao.gov,ConnectException,none
cap.gov,301,dig error
capital.gov,301,5 mx04.aoc.gov.; 5 mx03.aoc.gov.
capitalgiftshop.gov,ConnectException,none
capitol.gov,301,5 mx03.aoc.gov.; 5 mx04.aoc.gov.
capitolgiftshop.gov,ConnectException,none
capnhq.gov,302,0 capnhq-gov.mail.protection.outlook.com.
casl.gov,"ProtocolException: Invalid header name ""Strict-Transport-Security""""",10 mxa-00689501.gslb.gpphosted.com.; 10 mxb-00689501.gslb.gpphosted.com.
cavc.gov,ConnectException,none
cbca.gov,HttpConnectTimeoutException: HTTP connect timed out,5 alt2.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 1 aspmx.l.google.com.
cbi-epa.gov,ConnectException,none
cbo.gov,403,10 mxa-001ec201.gslb.pphosted.com.; 10 mxb-001ec201.gslb.pphosted.com.
cbonews.gov,HttpConnectTimeoutException: HTTP connect timed out,10 mxa-001ec201.gslb.pphosted.com.; 20 mxb-001ec201.gslb.pphosted.com.
cbp.gov,301,none
ccac.gov,302,10 cwmailhub1in.treasury.gov.; 10 cemailhub1in.treasury.gov.
ccb.gov,200,10 mxa-00026101.gslb.gpphosted.com.; 10 mxb-00026101.gslb.gpphosted.com.
cdc.gov,301,20 alt1.us.etp.fireeyegov.com.; 10 primary.us.etp.fireeyegov.com.; 30 alt2.us.etp.fireeyegov.com.; 40 alt3.us.etp.fireeyegov.com.
cdcpartners.gov,ConnectException,none
cdfifund.gov,302,none
cdo.gov,301,none
ce-ncsc.gov,ConnectException,10 inbound-smtp.us-east-1.amazonaws.com.
cebaf.gov,ConnectException,10 mxb-0027ee01.gslb.pphosted.com.; 10 mxa-0027ee01.gslb.pphosted.com.
cecc.gov,302,none
cendi.gov,200,10 mxb-001d2d01.gslb.gpphosted.com.; 10 mxa-001d2d01.gslb.gpphosted.com.
census.gov,302,50 mail1.census.gov.; 50 mail2.census.gov.
cfa.gov,200,30 cfa-gov.mail.protection.outlook.com.; 20 sacca-smtp007.verizon.net.; 10 rlymd-smtp007.verizon.net.
cfius.gov,200,none
cfo.gov,301,none
cfpa.gov,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching cfpa.gov found.,5 cfpa-gov.mail.protection.outlook.com.
cfpb.gov,301,15 cec-mtpe-01-03-p.inet.qwest.net.; 5 cfpb-gov.mail.protection.outlook.com.; 10 stn-mtpe-01-03-p.inet.qwest.net.
cftc.gov,301,0 cftc-gov.mail.protection.outlook.com.
challenge.gov,301,1 aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.
changeofaddress.gov,ConnectException,none
chcoc.gov,301,10 cust45693-1.in.mailcontrol.com.; 10 cust45693-2.in.mailcontrol.com.
childcare.gov,200,10 smtp2.ees.hhs.gov.; 20 smtp.ees.hhs.gov.
childreninadversity.gov,HttpConnectTimeoutException: HTTP connect timed out,none
childstats.gov,HttpConnectTimeoutException: HTTP connect timed out,none
childwelfare.gov,HttpConnectTimeoutException: HTTP connect timed out,5 childwelfare-gov.mail.protection.outlook.com.
chips.gov,HttpConnectTimeoutException: HTTP connect timed out,10 chips-gov.mail.protection.outlook.com.
choosemyplate.gov,HttpConnectTimeoutException: HTTP connect timed out,none
cia.gov,HttpConnectTimeoutException: HTTP connect timed out,10 mail4.cia.gov.; 10 mail3.cia.gov.
cigie.gov,HttpConnectTimeoutException: HTTP connect timed out,0 cigie-gov.mail.protection.outlook.com.
