field,text
country_name,"Republic of Kiribati"
government_type,"presidential republic"
capital,"Tarawa"
chief_of_state,"President Taneti MAAMAU (since 11 March 2016)"
head_of_government,"President Taneti MAAMAU (since 11 March 2016)"
judicial_highest_courts,"High Court (consists of a chief justice and other judges as prescribed by the president)"
constitution_history,"The Gilbert and Ellice Islands Order in Council 1915, The Gilbert Islands Order in Council 1975 (pre-independence); latest promulgated 12 July 1979 (at independence)"
