field,text
country_name,"none"
government_type,"federal parliamentary republic"
capital,"Kathmandu"
chief_of_state,"President Ram Chandra POUDEL (since 13 March 2023)"
head_of_government,"Prime Minister Sushila KARKI (since 12 September 2025)"
judicial_highest_courts,"Supreme Court (consists of the chief justice and up to 20 judges)"
constitution_history,"several previous; latest approved by the Second Constituent Assembly 16 September 2015, signed by the president and effective 20 September 2015"
