subdomain,http_status,mx
www.ebulletin.impots.gouv.ne,Could not resolve host: www.ebulletin.impots.gouv.ne,none
www.energie.gouv.ne,200,none
www.environnement.gouv.ne,301,none
www.epetrole.gouv.ne,Operation timed out after 3001 milliseconds with 0 bytes received,none
www.fonctionpublique.gouv.ne,Could not resolve host: www.fonctionpublique.gouv.ne,none
www.garde-nationale.interieur.gouv.ne,SSL: no alternative certificate subject name matches target hostname 'www.garde-nationale.interieur.gouv.ne',none
www.ged.mcnti.gouv.ne,Connection timed out after 3001 milliseconds,none
www.gouv.ne,Operation timed out after 3002 milliseconds with 0 bytes received,none
www.hanea.gouv.ne,Could not resolve host: www.hanea.gouv.ne,none
www.hydraulique.gouv.ne,301,none
www.impots.gouv.ne,Could not resolve host: www.impots.gouv.ne,none
www.infosniger.commerce.gouv.ne,404,none
www.mcnti.gouv.ne,Operation timed out after 3000 milliseconds with 0 bytes received,none
www.mfpte.gouv.ne,301,none
www.mines.gouv.ne,200,none
www.police-nationale.interieur.gouv.ne,SSL: no alternative certificate subject name matches target hostname 'www.police-nationale.interieur.gouv.ne',none
www.population.gouv.ne,200,none
www.provani.environnement.gouv.ne,200,none
www.sante.gouv.ne,SSL certificate problem: certificate has expired,none
www.sase.commerce.gouv.ne,Operation timed out after 3000 milliseconds with 0 bytes received,none
www.stat.education.gouv.ne,Failed to connect to www.stat.education.gouv.ne port 443 after 346 ms: Could not connect to server,none
www.transports.gouv.ne,200,none
www.urbanisme.gouv.ne,301,none
