qid,label
Q102377,Blekinge County
Q103093,Västra Götaland County
Q103659,Skåne County
Q103672,Jönköping County
Q103679,Jämtland County
Q103686,Norrbotten County
Q103691,Halland County
Q103699,Gävleborg County
Q103707,Kalmar County
Q103732,Dalarna County
Q103738,Gotland County
Q104231,Stockholm County
Q104257,Örebro County
Q104746,Kronoberg County
Q104877,Västerbotten County
Q104891,Västernorrland County
Q104926,Uppsala County
Q104940,Östergötland County
Q105075,Västmanland County
Q106789,Värmland County
Q106915,Södermanland County
