subdomain,parent_domain,http_status
caleta.distritomunicipallacaleta.gob.do,gob.do,Could not resolve host: caleta.distritomunicipallacaleta.gob.do
camaradecuentas.gob.do,gob.do,200
camaradediputados.gob.do,gob.do,200
cambioclimatico.gob.do,gob.do,200
capasantiago.gob.do,gob.do,Could not resolve host: capasantiago.gob.do
castanuelas.gob.do,gob.do,Could not resolve host: castanuelas.gob.do
cdc.gob.do,gob.do,200
cdn.santiagodeloscaballeros.gob.do,gob.do,Could not resolve host: cdn.santiagodeloscaballeros.gob.do
cei-rd.gob.do,gob.do,Could not resolve host: cei-rd.gob.do
cep.digeig.gob.do,gob.do,Could not resolve host: cep.digeig.gob.do
certv.gob.do,gob.do,Could not resolve host: certv.gob.do
chat.republicadigital.gob.do,gob.do,Could not resolve host: chat.republicadigital.gob.do
cidjc.gob.do,gob.do,Could not resolve host: cidjc.gob.do
cne.gob.do,gob.do,200
coe.gob.do,gob.do,200
comisionbarrial.gob.do,gob.do,Could not resolve host: comisionbarrial.gob.do
comisiondecompetencia.gob.do,gob.do,Could not resolve host: comisiondecompetencia.gob.do
comunidad.comprasdominicana.gob.do,gob.do,Could not resolve host: comunidad.comprasdominicana.gob.do
comunidadrai.gob.do,gob.do,Could not resolve host: comunidadrai.gob.do
conabios.gob.do,gob.do,200
conape.gob.do,gob.do,Could not resolve host: conape.gob.do
conavihsida.gob.do,gob.do,200
conf.digecog.gob.do,gob.do,Recv failure: Connexion ré-initialisée par le correspondant
conferencia.siv.gob.do,gob.do,Could not resolve host: conferencia.siv.gob.do
confirmate.jce.gob.do,gob.do,200
congresoimv.siv.gob.do,gob.do,Could not resolve host: congresoimv.siv.gob.do
connect.comprasdominicana.gob.do,gob.do,Could not resolve host: connect.comprasdominicana.gob.do
constanza.gob.do,gob.do,Could not resolve host: constanza.gob.do
consultas.contraloria.gob.do,gob.do,200
consultas.fiscaliadeldistrito.gob.do,gob.do,Could not resolve host: consultas.fiscaliadeldistrito.gob.do
consumoseguro.gob.do,gob.do,Operation timed out after 3002 milliseconds with 0 bytes received
coopol.gob.do,gob.do,Could not resolve host: coopol.gob.do
correo.ambiente.gob.do,gob.do,Could not resolve host: correo.ambiente.gob.do
correo.caid.gob.do,gob.do,Could not resolve host: correo.caid.gob.do
correo.cemadoja.gob.do,gob.do,SSL certificate problem: unable to get local issuer certificate
correo.mopc.gob.do,gob.do,Could not resolve host: correo.mopc.gob.do
correo.mt.gob.do,gob.do,Could not resolve host: correo.mt.gob.do
cpadb.gob.do,gob.do,200
cpadp.gob.do,gob.do,Could not resolve host: cpadp.gob.do
cpanel.ajanico.gob.do,gob.do,Resolving timed out after 3000 milliseconds
cpanel.alcaldialomadecabrera.gob.do,gob.do,Could not resolve host: cpanel.alcaldialomadecabrera.gob.do
cpanel.amcastanuelas.gob.do,gob.do,Could not resolve host: cpanel.amcastanuelas.gob.do
cpanel.ayuntamientolasclavellinasbahoruco.gob.do,gob.do,Could not resolve host: cpanel.ayuntamientolasclavellinasbahoruco.gob.do
cpanel.bancasolidaria.gob.do,gob.do,Could not resolve host: cpanel.bancasolidaria.gob.do
cpanel.bndh.gob.do,gob.do,Could not resolve host: cpanel.bndh.gob.do
cpanel.bomberossanluis.gob.do,gob.do,Could not resolve host: cpanel.bomberossanluis.gob.do
cpanel.bonao.gob.do,gob.do,Could not resolve host: cpanel.bonao.gob.do
cpanel.cdc.gob.do,gob.do,Operation timed out after 3001 milliseconds with 0 bytes received
cpanel.certv.gob.do,gob.do,Could not resolve host: cpanel.certv.gob.do
cpanel.constanza.gob.do,gob.do,Could not resolve host: cpanel.constanza.gob.do
cpanel.dajabon.gob.do,gob.do,Could not resolve host: cpanel.dajabon.gob.do
cpanel.dgdc.gob.do,gob.do,Connection timed out after 3002 milliseconds
cpanel.embdomhonduras.gob.do,gob.do,Could not resolve host: cpanel.embdomhonduras.gob.do
cpanel.gobernaciondesanchezramirez.gob.do,gob.do,Could not resolve host: cpanel.gobernaciondesanchezramirez.gob.do
cpanel.hospitallagunasalada.gob.do,gob.do,Could not resolve host: cpanel.hospitallagunasalada.gob.do
cpanel.hospitalmarcelinovelez.gob.do,gob.do,Could not resolve host: cpanel.hospitalmarcelinovelez.gob.do
cpanel.hospitalsemmasd.gob.do,gob.do,Could not resolve host: cpanel.hospitalsemmasd.gob.do
cpanel.hospmorilloking.gob.do,gob.do,Could not resolve host: cpanel.hospmorilloking.gob.do
cpanel.ideice.gob.do,gob.do,200
cpanel.inabima.gob.do,gob.do,Could not resolve host: cpanel.inabima.gob.do
cpanel.jmsl.gob.do,gob.do,200
cpanel.judimha.gob.do,gob.do,Could not resolve host: cpanel.judimha.gob.do
cpanel.lagunasalada.gob.do,gob.do,Could not resolve host: cpanel.lagunasalada.gob.do
cpanel.lasmatasdesantacruz.gob.do,gob.do,Could not resolve host: cpanel.lasmatasdesantacruz.gob.do
cpanel.mem.gob.do,gob.do,Could not resolve host: cpanel.mem.gob.do
cpanel.moncion.gob.do,gob.do,Could not resolve host: cpanel.moncion.gob.do
cpanel.montecristi.gob.do,gob.do,Could not resolve host: cpanel.montecristi.gob.do
cpanel.orquestasinfonicanacional.gob.do,gob.do,Could not resolve host: cpanel.orquestasinfonicanacional.gob.do
cpanel.sabanadelamar.gob.do,gob.do,Could not resolve host: cpanel.sabanadelamar.gob.do
cpanel.srselvalle.gob.do,gob.do,Connection timed out after 3001 milliseconds
cpanel.srsnorc2.gob.do,gob.do,Could not resolve host: cpanel.srsnorc2.gob.do
cpanel.srsvaldesia.gob.do,gob.do,Could not resolve host: cpanel.srsvaldesia.gob.do
cpanel.srsviii.gob.do,gob.do,Could not resolve host: cpanel.srsviii.gob.do
cpanel.tc.gob.do,gob.do,Could not resolve host: cpanel.tc.gob.do
cpanel.unabom.gob.do,gob.do,Connection timed out after 3002 milliseconds
creditopublico.gob.do,gob.do,Could not resolve host: creditopublico.gob.do
csae.minerd.gob.do,gob.do,Connection timed out after 3001 milliseconds
csae.see.gob.do,gob.do,Resolving timed out after 3001 milliseconds
csav.minerd.gob.do,gob.do,Could not resolve host: csav.minerd.gob.do
csav.see.gob.do,gob.do,Could not resolve host: csav.see.gob.do
csrp.minerd.gob.do,gob.do,Connection timed out after 3002 milliseconds
csrp.see.gob.do,gob.do,Resolving timed out after 3001 milliseconds
csrp2.minerd.gob.do,gob.do,Could not resolve host: csrp2.minerd.gob.do
csrp2.see.gob.do,gob.do,Could not resolve host: csrp2.see.gob.do
cswc.minerd.gob.do,gob.do,Connection timed out after 3001 milliseconds
cswc.see.gob.do,gob.do,Could not resolve host: cswc.see.gob.do
culturaciudadana.gob.do,gob.do,Could not resolve host: culturaciudadana.gob.do
cumbreimv.siv.gob.do,gob.do,Could not resolve host: cumbreimv.siv.gob.do
cumbrepoderjudicialrd.gob.do,gob.do,Could not resolve host: cumbrepoderjudicialrd.gob.do
cwa.minerd.gob.do,gob.do,Could not resolve host: cwa.minerd.gob.do
dajabon.gob.do,gob.do,Could not resolve host: dajabon.gob.do
datos.gob.do,gob.do,200
desarrollobarrial.gob.do,gob.do,Could not resolve host: desarrollobarrial.gob.do
descargas.sib.gob.do,gob.do,Could not resolve host: descargas.sib.gob.do
dev-002.mem.gob.do,gob.do,Could not resolve host: dev-002.mem.gob.do
dgcp.gob.do,gob.do,200
dgdc.gob.do,gob.do,200
dgm.gob.do,gob.do,200
dialin.ambiente.gob.do,gob.do,Could not resolve host: dialin.ambiente.gob.do
dialin.digepres.gob.do,gob.do,Could not resolve host: dialin.digepres.gob.do
dialin.inapa.gob.do,gob.do,Could not resolve host: dialin.inapa.gob.do
dialin.minerd.gob.do,gob.do,Connection timed out after 3002 milliseconds
dialin.see.gob.do,gob.do,Could not resolve host: dialin.see.gob.do
dicat.gob.do,gob.do,Could not resolve host: dicat.gob.do
dicom.gob.do,gob.do,Could not resolve host: dicom.gob.do
digecitss.gob.do,gob.do,Could not resolve host: digecitss.gob.do
digeig.gob.do,gob.do,200
digemaps.gob.do,gob.do,Could not resolve host: digemaps.gob.do
digemaps.msp.gob.do,gob.do,404
digepisalud.gob.do,gob.do,Could not resolve host: digepisalud.gob.do
digepres.gob.do,gob.do,301
dintel.gob.do,gob.do,Could not resolve host: dintel.gob.do
distritomunicipallacaleta.gob.do,gob.do,Could not resolve host: distritomunicipallacaleta.gob.do
djurada.camaradecuentas.gob.do,gob.do,Could not resolve host: djurada.camaradecuentas.gob.do
dni.gob.do,gob.do,Could not resolve host: dni.gob.do
dpca.gob.do,gob.do,Could not resolve host: dpca.gob.do
dpp-mitur.gob.do,gob.do,Could not resolve host: dpp-mitur.gob.do
dservice.pasaportes.gob.do,gob.do,Could not resolve host: dservice.pasaportes.gob.do
educacionfinanciera.sib.gob.do,gob.do,Could not resolve host: educacionfinanciera.sib.gob.do
eis.msp.gob.do,gob.do,Connection timed out after 3002 milliseconds
eiti.mem.gob.do,gob.do,Could not resolve host: eiti.mem.gob.do
eitird.mem.gob.do,gob.do,200
elvalle.gob.do,gob.do,Could not resolve host: elvalle.gob.do
embadomjp.gob.do,gob.do,Could not resolve host: embadomjp.gob.do
embajadausa.gob.do,gob.do,Could not resolve host: embajadausa.gob.do
embdomhonduras.gob.do,gob.do,Could not resolve host: embdomhonduras.gob.do
enap.gob.do,gob.do,Could not resolve host: enap.gob.do
encuesta.mapre.gob.do,gob.do,Could not resolve host: encuesta.mapre.gob.do
encuestas.mem.gob.do,gob.do,200
estebania.gob.do,gob.do,Could not resolve host: estebania.gob.do
exch.one.gob.do,gob.do,Could not resolve host: exch.one.gob.do
festivaldecineinfantil.gob.do,gob.do,Could not resolve host: festivaldecineinfantil.gob.do
fiscaliadeldistrito.gob.do,gob.do,Could not resolve host: fiscaliadeldistrito.gob.do
fiscaliadn.gob.do,gob.do,Could not resolve host: fiscaliadn.gob.do
fiscalialavega.gob.do,gob.do,Could not resolve host: fiscalialavega.gob.do
fiscaliapuertoplata.gob.do,gob.do,Could not resolve host: fiscaliapuertoplata.gob.do
fiscaliasantiago.gob.do,gob.do,Could not resolve host: fiscaliasantiago.gob.do
fiscaliasantodomingo.gob.do,gob.do,Could not resolve host: fiscaliasantodomingo.gob.do
fonper.gob.do,gob.do,200
formalizate.gob.do,gob.do,200
foro.mem.gob.do,gob.do,526
fs.minerd.gob.do,gob.do,Connection timed out after 3002 milliseconds
fse.minerd.gob.do,gob.do,Could not resolve host: fse.minerd.gob.do
gabinetedigital.gob.do,gob.do,Could not resolve host: gabinetedigital.gob.do
gabinetesocial.gob.do,gob.do,470
gccdicrim.gob.do,gob.do,Could not resolve host: gccdicrim.gob.do
glin.gob.do,gob.do,Could not resolve host: glin.gob.do
gobernaciondesanchezramirez.gob.do,gob.do,Could not resolve host: gobernaciondesanchezramirez.gob.do
gobernaciondesantiago.gob.do,gob.do,Could not resolve host: gobernaciondesantiago.gob.do
gobiernoabierto.gob.do,gob.do,247
hospitallagunasalada.gob.do,gob.do,Could not resolve host: hospitallagunasalada.gob.do
hospitalmarcelinovelez.gob.do,gob.do,200
hospitalmarcelinovelez.hospitalmarvesa.gob.do,gob.do,Could not resolve host: hospitalmarcelinovelez.hospitalmarvesa.gob.do
hospitalmoscosopuello.gob.do,gob.do,200
hospitalsemmasd.gob.do,gob.do,Could not resolve host: hospitalsemmasd.gob.do
