field,text
country_name,"none"
government_type,"parliamentary republic"
capital,"Sarajevo"
chief_of_state,"Chairperson of the Presidency Zeljko KOMSIC (chairperson since 16 July 2025; presidency member since 20 November 2018 - Croat seat); Denis BECIROVIC (presidency member since 16 November 2022 - Bosniak seat); Zeljka CVIJANOVIC (presidency member since 16 November 2022 - Serb seat)"
head_of_government,"Chairperson of the Council of Ministers Borjana KRISTO (since 25 January 2023)"
judicial_highest_courts,"Bosnia and Herzegovina (BiH) Constitutional Court (consists of 9 members); Court of BiH (consists of 44 national judges and 7 international judges organized into 3 divisions - Administrative, Appellate, and Criminal, which includes a War Crimes Chamber)"
constitution_history,"14 December 1995 (constitution included as part of the Dayton Peace Accords)"
