subdomain,parent_domain,http_status
admin.d8.education.gov.lc,gov.lc,"SSL certificate problem: certificate has expired"
archive.stlucia.gov.lc,gov.lc,"200"
assets.education.gov.lc,gov.lc,"Connection timed out after 3001 milliseconds"
asycuda.customs.gov.lc,gov.lc,"Connection timed out after 3001 milliseconds"
autodiscover.commerce.gov.lc,gov.lc,"SSL: no alternative certificate subject name matches target hostname 'autodiscover.commerce.gov.lc'"
autodiscover.finance.gov.lc,gov.lc,"400"
aw.customs.gov.lc,gov.lc,"Connection timed out after 3001 milliseconds"
bigblue.education.gov.lc,gov.lc,"200"
bookbursary.education.gov.lc,gov.lc,"200"
calendar.education.gov.lc,gov.lc,"SSL certificate problem: certificate has expired"
camdu.education.gov.lc,gov.lc,"SSL certificate problem: certificate has expired"
cars.education.gov.lc,gov.lc,"Connection timed out after 3002 milliseconds"
cle.education.gov.lc,gov.lc,"SSL certificate problem: certificate has expired"
cloud.education.gov.lc,gov.lc,"SSL certificate problem: certificate has expired"
cmc.education.gov.lc,gov.lc,"SSL certificate problem: certificate has expired"
commerce.gov.lc,gov.lc,"200"
cpanel.commerce.gov.lc,gov.lc,"SSL: no alternative certificate subject name matches target hostname 'cpanel.commerce.gov.lc'"
cpanel.externalaffairs.gov.lc,gov.lc,"200"
cpanel.finance.gov.lc,gov.lc,"500"
cpcalendars.commerce.gov.lc,gov.lc,"SSL: no alternative certificate subject name matches target hostname 'cpcalendars.commerce.gov.lc'"
cpcalendars.finance.gov.lc,gov.lc,"500"
cpcontacts.commerce.gov.lc,gov.lc,"SSL: no alternative certificate subject name matches target hostname 'cpcontacts.commerce.gov.lc'"
cpcontacts.finance.gov.lc,gov.lc,"500"
crm.externalaffairs.gov.lc,gov.lc,"SSL certificate problem: certificate has expired"
customs.gov.lc,gov.lc,"200"
cxcreg.education.gov.lc,gov.lc,"200"
d2.education.gov.lc,gov.lc,"SSL certificate problem: certificate has expired"
d8.education.gov.lc,gov.lc,"SSL certificate problem: certificate has expired"
dashboard.education.gov.lc,gov.lc,"Connection timed out after 3001 milliseconds"
db.commerce.gov.lc,gov.lc,"500"
demo.education.gov.lc,gov.lc,"SSL certificate problem: certificate has expired"
demorest.education.gov.lc,gov.lc,"SSL certificate problem: certificate has expired"
demosis.education.gov.lc,gov.lc,"Connection timed out after 3001 milliseconds"
dev.msea.commerce.gov.lc,gov.lc,"Could not resolve host: dev.msea.commerce.gov.lc"
docs.externalaffairs.gov.lc,gov.lc,"Could not resolve host: docs.externalaffairs.gov.lc"
ecm.externalaffairs.gov.lc,gov.lc,"Could not resolve host: ecm.externalaffairs.gov.lc"
education.gov.lc,gov.lc,"301"
elections.gov.lc,gov.lc,"Connection timed out after 3001 milliseconds"
electoral.gov.lc,gov.lc,"Connection timed out after 3002 milliseconds"
emis.education.gov.lc,gov.lc,"TLS connect error: error:0A0000C6:SSL routines::packet length too long"
equip.education.gov.lc,gov.lc,"404"
exagram.education.gov.lc,gov.lc,"200"
exagramtest.education.gov.lc,gov.lc,"Connection timed out after 3000 milliseconds"
externalaffairs.gov.lc,gov.lc,"200"
fcs.education.gov.lc,gov.lc,"SSL certificate problem: certificate has expired"
finance.gov.lc,gov.lc,"200"
gcom.education.gov.lc,gov.lc,"SSL certificate problem: certificate has expired"
gender.education.gov.lc,gov.lc,"Connection timed out after 3001 milliseconds"
gw01.externalaffairs.gov.lc,gov.lc,"Could not resolve host: gw01.externalaffairs.gov.lc"
hodcal.education.gov.lc,gov.lc,"SSL certificate problem: certificate has expired"
home.externalaffairs.gov.lc,gov.lc,"Connection timed out after 3000 milliseconds"
intern.education.gov.lc,gov.lc,"SSL certificate problem: certificate has expired"
ird.gov.lc,gov.lc,"SSL: no alternative certificate subject name matches target hostname 'ird.gov.lc'"
