subdomain,http_status
cloud01.fda.gov.ph,"Could not resolve host: cloud01.fda.gov.ph"
alimodianwd.gov.ph,"200"
clearpass.pcso.gov.ph,"Could not resolve host: clearpass.pcso.gov.ph"
batac.gov.ph,"200"
braulioedujali.gov.ph,"200"
balangawater.gov.ph,"200"
agrihackathon.philrice.gov.ph,"Could not resolve host: agrihackathon.philrice.gov.ph"
congress.gov.ph,"403"
cabatuan-isabela.gov.ph,"200"
autodiscover.dfa.gov.ph,"Could not resolve host: autodiscover.dfa.gov.ph"
autodiscover.cagwait.gov.ph,"Could not resolve host: autodiscover.cagwait.gov.ph"
calumpit.gov.ph,"200"
clearpass02.pcso.gov.ph,"Could not resolve host: clearpass02.pcso.gov.ph"
baybaycity.gov.ph,"200"
clearpass01.pcso.gov.ph,"Could not resolve host: clearpass01.pcso.gov.ph"
comelec.gov.ph,"403"
cityfinance.cagayandeoro.gov.ph,"SSL certificate problem: unable to get local issuer certificate"
coseram.caraga.dilg.gov.ph,"Could not resolve host: coseram.caraga.dilg.gov.ph"
ceza.gov.ph,"200"
cpanel.alegriacebu.gov.ph,"Could not resolve host: cpanel.alegriacebu.gov.ph"
cityofsanpedrolaguna.gov.ph,"302"
cpanel.aleosan.gov.ph,"SSL: no alternative certificate subject name matches target hostname 'cpanel.aleosan.gov.ph'"
aleosan.gov.ph,"301"
bulusan.gov.ph,"Could not resolve host: bulusan.gov.ph"
cpanel.aparriwaterdistrict.gov.ph,"TLS connect error: error:0A000126:SSL routines::unexpected eof while reading"
cpanel.apayao.gov.ph,"Could not resolve host: cpanel.apayao.gov.ph"
ckwd.gov.ph,"200"
benguet.gov.ph,"Could not resolve host: benguet.gov.ph"
cpanel.balambancebu.gov.ph,"Could not resolve host: cpanel.balambancebu.gov.ph"
cpanel.asturiascebu.gov.ph,"Could not resolve host: cpanel.asturiascebu.gov.ph"
autodiscover.silang.gov.ph,"Could not resolve host: autodiscover.silang.gov.ph"
cpanel.alimodianwd.gov.ph,"200"
cpanel.balo-i.gov.ph,"Could not resolve host: cpanel.balo-i.gov.ph"
cpanel.bacnotan.gov.ph,"Could not resolve host: cpanel.bacnotan.gov.ph"
claims.bohol.gov.ph,"301"
cotabatoprov.gov.ph,"200"
cpanel.bacarra.gov.ph,"526"
akma.asti.dost.gov.ph,"Connection timed out after 3000 milliseconds"
antique.gov.ph,"Resolving timed out after 3001 milliseconds"
api.dma-sandbox.apps.gov.ph,"Resolving timed out after 3001 milliseconds"
api.gov.ph,"Resolving timed out after 3000 milliseconds"
cpanel.bongaomunicipal.gov.ph,"Could not resolve host: cpanel.bongaomunicipal.gov.ph"
api.irsis.bir.gov.ph,"Resolving timed out after 3001 milliseconds"
aringay.gov.ph,"Resolving timed out after 3000 milliseconds"
assets.asti.dost.gov.ph,"Connection timed out after 3002 milliseconds"
cpanel.calumpit.gov.ph,"Could not resolve host: cpanel.calumpit.gov.ph"
cpanel.balaoanwaterdistrict.gov.ph,"Could not resolve host: cpanel.balaoanwaterdistrict.gov.ph"
autodiscover.blog.mlang.gov.ph,"Resolving timed out after 3000 milliseconds"
autodiscover.dilasag-aurora.gov.ph,"Resolving timed out after 3000 milliseconds"
autodiscover.ecenter.mlang.gov.ph,"Resolving timed out after 3000 milliseconds"
autodiscover.hinatuan.gov.ph,"Resolving timed out after 3000 milliseconds"
cpanel.cab.gov.ph,"200"
autodiscover.marinduque.gov.ph,"Resolving timed out after 3001 milliseconds"
autodiscover.malacanang.gov.ph,"Resolving timed out after 3001 milliseconds"
autodiscover.mlang.gov.ph,"Resolving timed out after 3001 milliseconds"
autodiscover.philhealth.gov.ph,"Resolving timed out after 3000 milliseconds"
autodiscover.pids.gov.ph,"Resolving timed out after 3000 milliseconds"
autodiscover.sanjosedi.gov.ph,"Resolving timed out after 3000 milliseconds"
autodiscover.talaingod.gov.ph,"Resolving timed out after 3000 milliseconds"
autodiscover.treasury.gov.ph,"Resolving timed out after 3000 milliseconds"
