qid,label
Q131323,Misrata
Q132409,Nalut
Q209393,Ghat
Q209778,Murqub
Q221503,Zawiya
Q25632,Jabal al Gharbi District
Q25931,Butnan District
Q26000,Al Wahat District
Q26023,Marj District
Q26124,Derna District
Q26132,Sabha District
Q26153,Zawiya District
Q26161,Nuqat al Khams District
Q26417,Sirte District
Q27659,Nalut District
Q32837,Tripoli District
Q32841,Jabal al Akhdar
Q32845,Misrata District
Q329060,Jafara
Q3579,Tripoli
Q40816,Benghazi
Q48200,Kufra District
Q48232,Wadi al Shatii District
Q48233,Wadi al Hayaa District
Q48236,Ghat District
Q48239,Murzuq District
Q48247,Jufra
