qid,label
Q167764,Zavkhan Province
Q18827,Darkhan-Uul Province
Q191792,Bayan-Ölgii Province
Q192942,Uvs Province
Q192945,Govi-Altai Province
Q194098,Khovd Province
Q207795,Dornod Province
Q207809,Arkhangai Province
Q209774,Bulgan Province
Q211835,Dundgovi Province
Q213272,Dornogovi Province
Q23430,Ulaanbaatar
Q234680,Selenge Province
Q234710,Orkhon Province
Q234713,Övörkhangai Province
Q235579,Ömnögovi Province
Q236333,Govisümber Province
Q239040,Khentii Province
Q244788,Khövsgöl Province
Q244804,Sükhbaatar Province
Q276195,Töv Province
Q276200,Bayankhongor Province
