subdomain,http_status
ministeriodecultura.gob.cu,Connection timed out after 3000 milliseconds
minjus.gob.cu,Could not resolve host: minjus.gob.cu
minrex.gob.cu,Connection timed out after 3001 milliseconds
mintur.gob.cu,SSL certificate problem: unable to get local issuer certificate
misantaclara.gob.cu,Connection timed out after 3000 milliseconds
misiones.minrex.gob.cu,SSL certificate problem: certificate has expired
moa.gob.cu,Operation timed out after 3000 milliseconds with 0 bytes received
monitoreo.tsp.gob.cu,Connection timed out after 3000 milliseconds
nube.hidro.gob.cu,SSL: no alternative certificate subject name matches target hostname 'nube.hidro.gob.cu'
nube.vc.hidro.gob.cu,Could not resolve host: nube.vc.hidro.gob.cu
nubeonat.onat.gob.cu,Resolving timed out after 3000 milliseconds
nuestroremedios.gob.cu,Could not resolve host: nuestroremedios.gob.cu
ods.mep.gob.cu,Connection timed out after 3001 milliseconds
onat-meet.onat.gob.cu,Resolving timed out after 3000 milliseconds
onat-root.onat.gob.cu,Resolving timed out after 3000 milliseconds
onfet.mitrans.gob.cu,Connection timed out after 3000 milliseconds
osri.gob.cu,Could not resolve host: osri.gob.cu
otro.mined.gob.cu,Resolving timed out after 3002 milliseconds
owncloud.grm.hidro.gob.cu,Could not resolve host: owncloud.grm.hidro.gob.cu
padit.mep.gob.cu,Connection timed out after 3002 milliseconds
palmasoriano.gob.cu,Could not resolve host: palmasoriano.gob.cu
palmira.gob.cu,Connection timed out after 3002 milliseconds
playa.gob.cu,301
plaza.gob.cu,301
pop3.inass.gob.cu,Connection timed out after 3002 milliseconds
portuspatris.gob.cu,Connection timed out after 3002 milliseconds
praeco.tsp.gob.cu,Connection timed out after 3001 milliseconds
preger.mitrans.gob.cu,Connection timed out after 3001 milliseconds
presidencia.gob.cu,SSL: no alternative certificate subject name matches target hostname 'presidencia.gob.cu'
progem.tsp.gob.cu,Connection timed out after 3000 milliseconds
proxy.tsp.gob.cu,Could not resolve host: proxy.tsp.gob.cu
proxycentos.tsp.gob.cu,Could not resolve host: proxycentos.tsp.gob.cu
redisla.gob.cu,Could not resolve host: redisla.gob.cu
redpinar.gob.cu,301
regla.gob.cu,301
repocentos.tsp.gob.cu,Connection timed out after 3000 milliseconds
repoubuntu.tsp.gob.cu,Connection timed out after 3000 milliseconds
repxos.tsp.gob.cu,Connection timed out after 3001 milliseconds
riocauto.gob.cu,301
rmail.mtss.gob.cu,Connection timed out after 3001 milliseconds
rodas.gob.cu,Could not resolve host: rodas.gob.cu
rsgia.hidro.gob.cu,503
saguadetanamo.gob.cu,Connection timed out after 3002 milliseconds
salud.msp.gob.cu,Could not resolve host: salud.msp.gob.cu
sanluis.gob.cu,Could not resolve host: sanluis.gob.cu
sanmigueldelpadron.gob.cu,301
santiago.gob.cu,Connection timed out after 3002 milliseconds
segundofrente.gob.cu,Could not resolve host: segundofrente.gob.cu
sgia.hidro.gob.cu,200
smtp.inass.gob.cu,Could not resolve host: smtp.inass.gob.cu
somoscifuentes.gob.cu,Connection timed out after 3001 milliseconds
somosencrucijada.gob.cu,Could not resolve host: somosencrucijada.gob.cu
somosmanicaragua.gob.cu,Connection timed out after 3001 milliseconds
sonat1.onat.gob.cu,403
songolamaya.gob.cu,Could not resolve host: songolamaya.gob.cu
soycamajuani.gob.cu,Connection timed out after 3002 milliseconds
soyvillaclara.gob.cu,Connection timed out after 3001 milliseconds
taguasco.gob.cu,Connection timed out after 3002 milliseconds
test2.mep.gob.cu,Could not resolve host: test2.mep.gob.cu
test5.mep.gob.cu,Could not resolve host: test5.mep.gob.cu
tl.apppmy.gob.cu,Could not resolve host: tl.apppmy.gob.cu
tramites.mined.gob.cu,Resolving timed out after 3001 milliseconds
tratadosinternos.minrex.gob.cu,SSL: no alternative certificate subject name matches target hostname 'tratadosinternos.minrex.gob.cu'
trinidad.gob.cu,Operation timed out after 3000 milliseconds with 0 bytes received
tsp.gob.cu,Failed to connect to tsp.gob.cu port 443 after 542 ms: Could not connect to server
tspproxy.tsp.gob.cu,Could not resolve host: tspproxy.tsp.gob.cu
tunabrava.gob.cu,Operation timed out after 3000 milliseconds with 0 bytes received
turn.tsp.gob.cu,Could not resolve host: turn.tsp.gob.cu
turnvoxes.minjus.gob.cu,Could not resolve host: turnvoxes.minjus.gob.cu
vcon.mtss.gob.cu,Connection timed out after 3002 milliseconds
vialidad.mitrans.gob.cu,Connection timed out after 3001 milliseconds
video.grm.hidro.gob.cu,Could not resolve host: video.grm.hidro.gob.cu
videochat.tsp.gob.cu,Could not resolve host: videochat.tsp.gob.cu
videoconf.minrex.gob.cu,Could not resolve host: videoconf.minrex.gob.cu
videoconf.vc.hidro.gob.cu,Could not resolve host: videoconf.vc.hidro.gob.cu
videoconferencia.ipf.gob.cu,Could not resolve host: videoconferencia.ipf.gob.cu
videoconferencia.mintur.gob.cu,Could not resolve host: videoconferencia.mintur.gob.cu
voip.tsp.gob.cu,Could not resolve host: voip.tsp.gob.cu
vuceregulaciones-admin.mincex.gob.cu,Could not resolve host: vuceregulaciones-admin.mincex.gob.cu
vuceregulaciones.mincex.gob.cu,SSL certificate problem: unable to get local issuer certificate
vuinex.mincex.gob.cu,Could not resolve host: vuinex.mincex.gob.cu
webmail.apppmy.gob.cu,Could not resolve host: webmail.apppmy.gob.cu
webmail.ca.hidro.gob.cu,Could not resolve host: webmail.ca.hidro.gob.cu
webmail.goblh.gob.cu,Could not resolve host: webmail.goblh.gob.cu
webmail.grm.hidro.gob.cu,Could not resolve host: webmail.grm.hidro.gob.cu
webmail.inder.gob.cu,200
www.2.tsp.gob.cu,Could not resolve host: www.2.tsp.gob.cu
www.500.ch.gob.cu,Could not resolve host: www.500.ch.gob.cu
www.abreus.gob.cu,Could not resolve host: www.abreus.gob.cu
