qid,label
Q1166,Michigan
Q11703,United States Virgin Islands
Q1183,Puerto Rico
Q1204,Illinois
Q1207,North Dakota
Q1211,South Dakota
Q1212,Montana
Q1214,Wyoming
Q1221,Idaho
Q1223,Washington
Q1227,Nevada
Q1261,Colorado
Q1370,Virginia
Q1371,West Virginia
Q1384,New York
Q1387,Rhode Island
Q1391,Maryland
Q1393,Delaware
Q1397,Ohio
Q1400,Pennsylvania
Q1408,New Jersey
Q1415,Indiana
Q1428,Georgia
Q1439,Texas
Q1454,North Carolina
Q1456,South Carolina
Q1494,Mississippi
Q1509,Tennessee
Q1522,New Mexico
Q1527,Minnesota
Q1537,Wisconsin
Q1546,Iowa
Q1553,Nebraska
Q1558,Kansas
Q1581,Missouri
Q1588,Louisiana
Q1603,Kentucky
Q1612,Arkansas
Q1649,Oklahoma
Q16551,Vermont
Q16635,Guam
Q16641,American Samoa
Q16644,Northern Mariana Islands
Q173,Alabama
Q3551781,District of Columbia
Q724,Maine
Q759,New Hampshire
Q771,Massachusetts
Q779,Connecticut
Q782,Hawaii
Q797,Alaska
Q812,Florida
Q816,Arizona
Q824,Oregon
Q829,Utah
Q99,California
