domain,label,level,name
gov.ng,abiastate,central-1,Abia State
gov.ng,adamawastate,central-1,Adamawa State
gov.ng,akwaibomstate,central-1,Akwa Ibom State
gov.ng,anambrastate,central-1,Anambra State
gov.ng,bauchistate,central-1,Bauchi State
gov.ng,bayelsastate,central-1,Bayelsa State
gov.ng,benuestate,central-1,Benue State
gov.ng,bornostate,central-1,Borno State
gov.ng,crossriverstate,central-1,Cross River State
gov.ng,deltastate,central-1,Delta State
gov.ng,ebonyistate,central-1,Ebonyi State
gov.ng,edostate,central-1,Edo State
gov.ng,ekitistate,central-1,Ekiti State
gov.ng,enugustate,central-1,Enugu State
gov.ng,gombestate,central-1,Gombe State
gov.ng,imostate,central-1,Imo State
gov.ng,jigawastate,central-1,Jigawa State
gov.ng,kadunastate,central-1,Kaduna State
gov.ng,kanostate,central-1,Kano State
gov.ng,katsinastate,central-1,Katsina State
gov.ng,kebbistate,central-1,Kebbi State
gov.ng,kogistate,central-1,Kogi State
gov.ng,kwarastate,central-1,Kwara State
gov.ng,lagosstate,central-1,Lagos State
gov.ng,nasarawastate,central-1,Nasarawa State
gov.ng,nigerstate,central-1,Niger State
gov.ng,ogunstate,central-1,Ogun State
gov.ng,ondostate,central-1,Ondo State
gov.ng,osunstate,central-1,Osun State
gov.ng,oyostate,central-1,Oyo State
gov.ng,plateaustate,central-1,Plateau State
gov.ng,riversstate,central-1,Rivers State
gov.ng,sokotostate,central-1,Sokoto State
gov.ng,tarabastate,central-1,Taraba State
gov.ng,yobestate,central-1,Yobe State
gov.ng,zamfarastate,central-1,Zamfara State
gov.ng,lg,local,Local government areas (LGA de Lagos — hôtes <lga>.lg.gov.ng)
