field,text
country_name,"none"
government_type,"parliamentary republic"
capital,"Budapest"
chief_of_state,"President Tamas SULYOK (since 5 March 2024)"
head_of_government,"Prime Minister Viktor ORBAN (since 29 May 2010)"
judicial_highest_courts,"Curia or Supreme Judicial Court (consists of the president, vice president, department heads, and has a maximum of 113 judges, and is organized into civil, criminal, and administrative-labor departments; Constitutional Court (consists of 15 judges, including the court president and vice president)"
constitution_history,"previous 1949 (heavily amended in 1989 following the collapse of communism); latest approved 18 April 2011, signed 25 April 2011, effective 1 January 2012"
