field,text
country_name,"Argentine Republic"
government_type,"presidential republic"
capital,"Buenos Aires"
chief_of_state,"President Javier Gerardo MILEI (since 10 December 2023)"
head_of_government,"President Javier Gerardo MILEI (since 10 December 2023)"
judicial_highest_courts,"Supreme Court or Corte Suprema (consists of the court president, vice president, 2 judges, 1 vacancy)"
constitution_history,"several previous; latest effective 11 May 1853"
