hostname,score,sources,label,level,http_status,mx
parliament.go.ke,8,wikidata;wikidata;wikidata;wikidata,National Assembly | Parliament of Kenya | Senate of Kenya,central,200,0 parliament-go-ke.mail.protection.outlook.com.
education.go.ke,7,wikidata;wikidata,"Ministry of Education, Science and Technology",central,200,5 mx3.govmail.ke.; 5 mx4.govmail.ke.; 5 mx2.govmail.ke.; 5 mx1.govmail.ke.
health.go.ke,7,wikidata;wikidata,Ministry of Health,central,200,0 mx2.govmail.ke.; 0 mx1.govmail.ke.; 0 mx3.govmail.ke.; 0 mx4.govmail.ke.
ict.go.ke,7,wikidata;wikidata,"Ministry Of Information, Communications And The Digital Economy",central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,1 aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.
interior.go.ke,7,wikidata;wikidata,Ministry of Interior and National Administration,central,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching interior.go.ke found.,5 mx1.govmail.ke.; 5 mx2.govmail.ke.; 5 mx3.govmail.ke.
kilimo.go.ke,7,wikidata;wikidata,Ministry of Agriculture and Livestock Development,central,200,5 mx1.govmail.ke.; 5 mx3.govmail.ke.; 5 mx2.govmail.ke.
knls.ac.ke,7,wikidata;wikidata,"Kenya National Library Service | Kenya National Library Service, Nairobi Area",,301,10 alt3.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 1 aspmx.l.google.com.
labour.go.ke,7,wikidata;wikidata,"Ministry of Labour, Social Security and Services",central,200,0 mx3.govmail.ke.; 0 mx1.govmail.ke.; 0 mx2.govmail.ke.
mfa.go.ke,7,wikidata;wikidata,Ministry of Foreign and Diaspora Affairs of the Republic of Kenya,central,200,0 mx1.govmail.ke.; 0 mx2.govmail.ke.; 0 mx3.govmail.ke.; 0 mx4.govmail.ke.
mining.go.ke,7,wikidata;wikidata,Ministry of Mining,central,200,5 mx1.govmail.ke.; 5 mx3.govmail.ke.; 5 mx2.govmail.ke.
mod.go.ke,7,wikidata;wikidata,Ministry of Defence,central,301,5 tembo.mod.go.ke.
sportsheritage.go.ke,7,wikidata;wikidata,"Ministry of Sports, Culture and the Arts",central,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching sportsheritage.go.ke found.,0 sportsheritage-go-ke.mail.protection.outlook.com.
transport.go.ke,7,wikidata;wikidata,Ministry of roads and transport,central,200,0 mx3.govmail.ke.; 0 mx1.govmail.ke.; 0 mx2.govmail.ke.
treasury.go.ke,7,wikidata;wikidata,Ministry of Finance,central,200,5 mx2.govmail.ke.; 5 mx3.govmail.ke.; 5 mx1.govmail.ke.; 5 mx4.govmail.ke.
judiciary.go.ke,6,wikidata,Supreme Court of Kenya,central,200,5 mail.judiciary.go.ke.
mygov.go.ke,6,un_desa,UN/DESA national portal,,200,10 mail.mygov.go.ke.
ca.go.ke,4,wikidata,Communications Authority of Kenya,,307,0 ca-go-ke.mail.protection.outlook.com.
centralbank.go.ke,4,wikidata,Central Bank of Kenya,,301,5 mx2.hc1852-57.eu.iphmx.com.; 5 mx1.hc1852-57.eu.iphmx.com.
cma.or.ke,4,wikidata,Capital Markets Authority,,301,10 cma-or-ke.mail.protection.outlook.com.
costaricanembassy.co.ke,4,wikidata,embassy of Costa Rica in Kenya,central,200,0 costaricanembassy.co.ke.
cue.or.ke,4,wikidata,Commission for University Education,,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 cue-or-ke.mail.protection.outlook.com.
cwsk.go.ke,4,wikidata,Child Welfare Society of Kenya,,500,10 mail.cwsk.go.ke.
eacc.go.ke,4,wikidata,Ethics and Anti-Corruption Commission,,302,0 rat-02.safaricombusiness.co.ke.; 0 rat-01.safaricombusiness.co.ke.
epra.go.ke,4,wikidata,Energy and Petroleum Regulatory Authority,,HttpConnectTimeoutException: HTTP connect timed out,0 epra-go-ke.mail.protection.outlook.com.
gdc.co.ke,4,wikidata,Geothermal Development Company,central,301,0 gdc-co-ke.mail.protection.outlook.com.
icta.go.ke,4,wikidata,Information and Communication Technology Authority,,200,0 mx4.govmail.ke.; 0 mx1.govmail.ke.; 0 mx2.govmail.ke.; 0 mx3.govmail.ke.
irrigationauthority.go.ke,4,wikidata,National Irrigation Authority,,301,0 irrigationauthority-go-ke.mail.protection.outlook.com.
kcaa.or.ke,4,wikidata,Kenya Civil Aviation Authority,,200,0 kcaa-or-ke.mail.protection.outlook.com.
kcgs.go.ke,4,wikidata,Kenya Coast Guard Service,,200,5 mx1.govmail.ke.; 5 mx2.govmail.ke.; 5 mx3.govmail.ke.
kenha.co.ke,4,wikidata,Kenya National Highway Authority,central,200,15 smtp01.safaricombusiness.co.ke.; 5 rat-01.safaricombusiness.co.ke.; 0 kenha-co-ke.mail.protection.outlook.com.; 20 smtp02.safaricombusiness.co.ke.; 10 rat-02.safaricombusiness.co.ke.
kenyafisheriesservice.go.ke,4,wikidata,Kenya Fisheries Service,,ConnectException,none
kenyapolice.go.ke,4,wikidata,Kenya Police,,200,5 mx2.govmail.ke.; 5 mx3.govmail.ke.; 5 mx1.govmail.ke.
kephis.go.ke,4,wikidata,Kenya Plant Health Inspectorate Services,,200,none
khrc.or.ke,4,wikidata,Kenya Human Rights Commission,,200,0 khrc-or-ke.mail.protection.outlook.com.
klb.co.ke,4,wikidata,Kenya Literature Bureau,,200,0 klb-co-ke.mail.protection.outlook.com.
klrc.go.ke,4,wikidata,Kenya Law Reform Commission,,HttpTimeoutException: request timed out,0 mail.klrc.go.ke.
knbs.or.ke,4,wikidata,Kenya National Bureau of Statistics,central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,10 alt3.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 1 aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.
kra.go.ke,4,wikidata,Kenya Revenue Authority,,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching kra.go.ke found.,dig error
ksa.go.ke,4,wikidata,Kenya Space Agency,,200,0 ksa-go-ke.mail.protection.outlook.com.
ksg.ac.ke,4,wikidata,Kenya School of Government,,200,10 alt4.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 1 aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.
landcommission.go.ke,4,wikidata,National Land Commission,,200,5 rat-02.safaricombusiness.co.ke.; 0 spamtitan.konza.ke.; 5 mail.landcommission.go.ke.; 5 rat-01.safaricombusiness.co.ke.; 15 rt1.maxider.com.
meteo.go.ke,4,wikidata,Kenya Meteorological Department,,200,0 email.meteo.go.ke.; 10 mail.meteo.go.ke.
mozambiquehighcommission.co.ke,4,wikidata,"High Commission of Mozambique, Nairobi",central,200,0 mozambiquehighcommission.co.ke.
nacc.or.ke,4,wikidata,National Aids Control Council,,403,none
nacosti.go.ke,4,wikidata,"National Commission for Science, Technology and Innovation",,301,0 nacosti-go-ke.mail.protection.outlook.com.
nairobi.mfa.gov.hu,4,wikidata,Embassy of Hungary to Kenya,central,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,none
ndma.go.ke,4,wikidata,National Drought Management Authority,,200,40 alt4.aspmx.l.google.com.; 20 alt1.aspmx.l.google.com.; 10 aspmx.l.google.com.; 40 alt3.aspmx.l.google.com.; 30 alt2.aspmx.l.google.com.
nema.go.ke,4,wikidata,National Environment Management Authority,,200,1 mail.nema.go.ke.
nrf.go.ke,4,wikidata,National Research Fund Kenya,,HttpConnectTimeoutException: HTTP connect timed out,0 nrf-go-ke.mail.protection.outlook.com.
ombudsman.go.ke,4,wikidata,Commission on Administrative Justice,,200,0 ombudsman-go-ke.mail.protection.outlook.com.
posta.co.ke,4,wikidata,Postal Corporation of Kenya,,200,0 mx-in-01.posta.co.ke.; 5 mx-in-02.posta.co.ke.
publicservice.go.ke,4,wikidata,Public Service Commission,,301,5 mail.publicservice.go.ke.
rba.go.ke,4,wikidata,Retirement Benefits Authority of Kenya,,403,10 rba-go-ke.mail.protection.outlook.com.
unesco.go.ke,4,wikidata,Kenya National Commission for UNESCO,,200,0 unesco-go-ke.mail.protection.outlook.com.
wajir.go.ke,4,wikidata,Wajir County Government,,200,5 smtp02.safaricombusiness.co.ke.; 0 rat-01.safaricombusiness.co.ke.; 0 rat-02.safaricombusiness.co.ke.; 5 smtp01.safaricombusiness.co.ke.
waterfund.go.ke,4,wikidata,Water Services Trust Fund,,200,0 waterfund-go-ke.mail.protection.outlook.com.
