subdomain,http_status,mx
api.sgeg.sg.gov.cn,Connection timed out after 3002 milliseconds,none
api.tjgaj.gov.cn,Could not resolve host: api.tjgaj.gov.cn,none
api.zhiji.gov.cn,Connection timed out after 3002 milliseconds,none
app.chinatax.gov.cn,Could not resolve host: app.chinatax.gov.cn,none
app.csrc.gov.cn,Could not resolve host: app.csrc.gov.cn,none
app.dg.gov.cn,Resolving timed out after 3000 milliseconds,dig error
app.dtdjzx.gov.cn,403,none
app.fjxzjd.gov.cn,Could not resolve host: app.fjxzjd.gov.cn,none
app.fyjky.gov.cn,Could not resolve host: app.fyjky.gov.cn,none
app.gd-info.gov.cn,Could not resolve host: app.gd-info.gov.cn,none
app.gdep.gov.cn,Could not resolve host: app.gdep.gov.cn,none
app.gtjzh.gov.cn,Could not resolve host: app.gtjzh.gov.cn,none
app.gzgjj.gov.cn,Connection timed out after 3001 milliseconds,none
app.hlbrga.gov.cn,Resolving timed out after 3000 milliseconds,none
app.hpjy.gov.cn,Could not resolve host: app.hpjy.gov.cn,none
app.huiyang.gov.cn,Could not resolve host: app.huiyang.gov.cn,none
app.hyx.gov.cn,TLS connect error: error:0A000126:SSL routines::unexpected eof while reading,none
app.jsxzhrss.gov.cn,Connection timed out after 3000 milliseconds,none
app.lgxc.gov.cn,Could not resolve host: app.lgxc.gov.cn,none
app.liangjiang.gov.cn,Could not resolve host: app.liangjiang.gov.cn,none
app.masgjj.gov.cn,Could not resolve host: app.masgjj.gov.cn,none
app.mirror.gov.cn,Resolving timed out after 3000 milliseconds,none
app.nbmsa.gov.cn,Could not resolve host: app.nbmsa.gov.cn,none
app.nsjc.gov.cn,Could not resolve host: app.nsjc.gov.cn,none
app.qingdao.gov.cn,Connection timed out after 3000 milliseconds,none
app.qjqzx.gov.cn,Could not resolve host: app.qjqzx.gov.cn,none
app.sdjcgafj.gov.cn,403,none
app.sdtax.gov.cn,Could not resolve host: app.sdtax.gov.cn,none
app.stc.gov.cn,Could not resolve host: app.stc.gov.cn,none
app.szswjw.gov.cn,Could not resolve host: app.szswjw.gov.cn,none
app.tjcaw.gov.cn,Could not resolve host: app.tjcaw.gov.cn,none
app.tjgaj.gov.cn,Could not resolve host: app.tjgaj.gov.cn,none
app.tjlottery.gov.cn,Could not resolve host: app.tjlottery.gov.cn,none
app.xmhrss.gov.cn,Could not resolve host: app.xmhrss.gov.cn,none
app.yngs.gov.cn,Could not resolve host: app.yngs.gov.cn,none
app.ywrl.gov.cn,Could not resolve host: app.ywrl.gov.cn,none
app.zhiji.gov.cn,Connection timed out after 3001 milliseconds,none
app.zjlsfx.gov.cn,Resolving timed out after 3000 milliseconds,none
app.zmws.gov.cn,Could not resolve host: app.zmws.gov.cn,none
app.zztour.gov.cn,Resolving timed out after 3000 milliseconds,none
appitf.sme.sipac.gov.cn,403,none
apply.pdxxh.gov.cn,Could not resolve host: apply.pdxxh.gov.cn,none
apply.szsti.gov.cn,Could not resolve host: apply.szsti.gov.cn,none
apply.sztb.gov.cn,Could not resolve host: apply.sztb.gov.cn,none
appoa.zgwj.gov.cn,Resolving timed out after 3002 milliseconds,none
appservice.jl.gov.cn,Could not resolve host: appservice.jl.gov.cn,none
aqtyj.gov.cn,Could not resolve host: aqtyj.gov.cn,none
as.hda.gov.cn,Could not resolve host: as.hda.gov.cn,none
atestsc.mot.gov.cn,Connection timed out after 3000 milliseconds,none
auction.rmfysszc.gov.cn,Could not resolve host: auction.rmfysszc.gov.cn,none
audit.bjkw.gov.cn,Could not resolve host: audit.bjkw.gov.cn,none
auth.tjgaj.gov.cn,Could not resolve host: auth.tjgaj.gov.cn,none
authorb.shunde.gov.cn,403,none
autodiscover.bjnac.gov.cn,Could not resolve host: autodiscover.bjnac.gov.cn,none
autodiscover.ckzx.czj.sh.gov.cn,Resolving timed out after 3001 milliseconds,none
autodiscover.fjkl.gov.cn,Could not resolve host: autodiscover.fjkl.gov.cn,none
autodiscover.gdd.gov.cn,Could not resolve host: autodiscover.gdd.gov.cn,none
autodiscover.gmjd.gov.cn,Could not resolve host: autodiscover.gmjd.gov.cn,none
autodiscover.gzcc.gov.cn,Resolving timed out after 3001 milliseconds,none
autodiscover.hrajj.gov.cn,Could not resolve host: autodiscover.hrajj.gov.cn,none
autodiscover.sditds.gov.cn,Could not resolve host: autodiscover.sditds.gov.cn,none
autodiscover.shmh.gov.cn,Could not resolve host: autodiscover.shmh.gov.cn,none
autodiscover.sz.msa.gov.cn,Could not resolve host: autodiscover.sz.msa.gov.cn,none
autodiscover.thnet.gov.cn,Resolving timed out after 3000 milliseconds,none
autodiscover.zzcbdj.hazz.hrss.gov.cn,Resolving timed out after 3000 milliseconds,none
autopay.ggfw.hzcgw.gov.cn,Could not resolve host: autopay.ggfw.hzcgw.gov.cn,none
avas.cs.mfa.gov.cn,Could not resolve host: avas.cs.mfa.gov.cn,none
b.gxdx.gov.cn,Could not resolve host: b.gxdx.gov.cn,none
b.tmfda.gov.cn,Could not resolve host: b.tmfda.gov.cn,none
b.ts.gxdx.gov.cn,Could not resolve host: b.ts.gxdx.gov.cn,none
baidu.yngs.gov.cn,Could not resolve host: baidu.yngs.gov.cn,none
baihualin.triph.gov.cn,Could not resolve host: baihualin.triph.gov.cn,none
bbs.dingcheng.gov.cn,Could not resolve host: bbs.dingcheng.gov.cn,none
bbs.shunde.gov.cn,Could not resolve host: bbs.shunde.gov.cn,none
bbs.yizheng.gov.cn,Could not resolve host: bbs.yizheng.gov.cn,dig error
bda.gov.cn,Resolving timed out after 3000 milliseconds,none
beian.gov.cn,Could not resolve host: beian.gov.cn,10 mxbiz2.qq.com.; 5 mxbiz1.qq.com.
beian.hlbrga.gov.cn,Could not resolve host: beian.hlbrga.gov.cn,none
beian.shca.gov.cn,Could not resolve host: beian.shca.gov.cn,none
beiwan.gov.cn,Could not resolve host: beiwan.gov.cn,none
bigdata.gxst.gov.cn,Could not resolve host: bigdata.gxst.gov.cn,none
binhai.gov.cn,Could not resolve host: binhai.gov.cn,none
biz.jnfda.gov.cn,Connection timed out after 3001 milliseconds,none
bj.zybh.gov.cn,Could not resolve host: bj.zybh.gov.cn,none
bjab.gov.cn,Could not resolve host: bjab.gov.cn,none
bjcoc.gov.cn,Could not resolve host: bjcoc.gov.cn,none
bjcs.gov.cn,Could not resolve host: bjcs.gov.cn,none
bjcxylapp.bjrs.gov.cn,Could not resolve host: bjcxylapp.bjrs.gov.cn,none
bjcxylxc.bjrs.gov.cn,Could not resolve host: bjcxylxc.bjrs.gov.cn,none
bjedu.gov.cn,Could not resolve host: bjedu.gov.cn,none
bjgjj.gov.cn,Could not resolve host: bjgjj.gov.cn,none
bjhi.gov.cn,Could not resolve host: bjhi.gov.cn,none
bjjfy.gov.cn,Could not resolve host: bjjfy.gov.cn,none
bjld.gov.cn,Could not resolve host: bjld.gov.cn,none
bjlsj.gov.cn,Could not resolve host: bjlsj.gov.cn,none
bjnac.gov.cn,Could not resolve host: bjnac.gov.cn,none
bjpta.gov.cn,Resolving timed out after 3000 milliseconds,none
bjrbj.gov.cn,Could not resolve host: bjrbj.gov.cn,none
bjrd.gov.cn,Could not resolve host: bjrd.gov.cn,5 mx.beijing.gov.cn.
bjsdyjgw.gov.cn,Could not resolve host: bjsdyjgw.gov.cn,none
bjsjwzglxt.bjab.gov.cn,Could not resolve host: bjsjwzglxt.bjab.gov.cn,none
bjsports.gov.cn,Could not resolve host: bjsports.gov.cn,none
bjsybx.bjrs.gov.cn,Could not resolve host: bjsybx.bjrs.gov.cn,none
blzq.gov.cn,Resolving timed out after 3000 milliseconds,none
blzqjjjc.gov.cn,Could not resolve host: blzqjjjc.gov.cn,none
bm.chenghua.gov.cn,Could not resolve host: bm.chenghua.gov.cn,none
bmfwpt.hnzzjj.gov.cn,Could not resolve host: bmfwpt.hnzzjj.gov.cn,none
bnpo.gov.cn,Could not resolve host: bnpo.gov.cn,20 mxbiz2.qq.com.; 10 mxbiz1.qq.com.
booking.jnqmzj.gov.cn,Could not resolve host: booking.jnqmzj.gov.cn,none
boshe.bwzf.gov.cn,Could not resolve host: boshe.bwzf.gov.cn,none
bsfw.fjqz-l-tax.gov.cn,Could not resolve host: bsfw.fjqz-l-tax.gov.cn,none
bsfw.sxga.gov.cn,Could not resolve host: bsfw.sxga.gov.cn,none
bugs.jnfda.gov.cn,Could not resolve host: bugs.jnfda.gov.cn,none
buy.gxdx.gov.cn,Could not resolve host: buy.gxdx.gov.cn,none
bw.gov.cn,Could not resolve host: bw.gov.cn,none
bxgd.chinasarft.gov.cn,Could not resolve host: bxgd.chinasarft.gov.cn,none
bzjzfp.gov.cn,Could not resolve host: bzjzfp.gov.cn,none
bzszgh.gov.cn,Could not resolve host: bzszgh.gov.cn,none
c.gxdx.gov.cn,Could not resolve host: c.gxdx.gov.cn,none
c.tmfda.gov.cn,Could not resolve host: c.tmfda.gov.cn,none
c.ts.gxdx.gov.cn,Could not resolve host: c.ts.gxdx.gov.cn,none
c.zs.gov.cn,Connection timed out after 3001 milliseconds,none
ca.gxdx.gov.cn,Could not resolve host: ca.gxdx.gov.cn,none
ca.nbcs.gov.cn,Could not resolve host: ca.nbcs.gov.cn,none
ca.rapp.hzfc.gov.cn,Could not resolve host: ca.rapp.hzfc.gov.cn,none
caac.gov.cn,Could not resolve host: caac.gov.cn,none
carz.smda.gov.cn,Could not resolve host: carz.smda.gov.cn,none
cas.dtdj.gov.cn,Could not resolve host: cas.dtdj.gov.cn,none
caspb.gov.cn,Could not resolve host: caspb.gov.cn,none
cbj.sh.gov.cn,405,none
cc.119.gov.cn,Could not resolve host: cc.119.gov.cn,none
ccad.gov.cn,Could not resolve host: ccad.gov.cn,none
cdcredit.gov.cn,Could not resolve host: cdcredit.gov.cn,none
cddx.gov.cn,Connection timed out after 3000 milliseconds,none
cdepb.gov.cn,Could not resolve host: cdepb.gov.cn,none
cdfgj.gov.cn,Could not resolve host: cdfgj.gov.cn,none
cdgh.gov.cn,Could not resolve host: cdgh.gov.cn,none
cdgxj.gov.cn,Could not resolve host: cdgxj.gov.cn,none
cdgzw.gov.cn,Could not resolve host: cdgzw.gov.cn,none
cdn.jzghmsa.gov.cn,Could not resolve host: cdn.jzghmsa.gov.cn,none
cdn.yunji.gov.cn,Could not resolve host: cdn.yunji.gov.cn,none
cdsga.gov.cn,Could not resolve host: cdsga.gov.cn,none
cdta.gov.cn,Could not resolve host: cdta.gov.cn,none
cdzfgjj.gov.cn,Could not resolve host: cdzfgjj.gov.cn,none
ced.jsszhrss.gov.cn,Could not resolve host: ced.jsszhrss.gov.cn,none
cegn.gov.cn,Could not resolve host: cegn.gov.cn,none
cela.gov.cn,Could not resolve host: cela.gov.cn,none
cert.ebs.gov.cn,Could not resolve host: cert.ebs.gov.cn,none
cfgh.gov.cn,Could not resolve host: cfgh.gov.cn,none
cg.fjxczj.gov.cn,Could not resolve host: cg.fjxczj.gov.cn,none
cgs.gov.cn,Could not resolve host: cgs.gov.cn,none
chat.lsrenkou.gov.cn,Could not resolve host: chat.lsrenkou.gov.cn,none
chatbot.jxwater.gov.cn,Could not resolve host: chatbot.jxwater.gov.cn,none
chemjob.gov.cn,Resolving timed out after 3002 milliseconds,none
chengducredit.gov.cn,Could not resolve host: chengducredit.gov.cn,none
china-xmftz.gov.cn,Could not resolve host: china-xmftz.gov.cn,none
china.gxdx.gov.cn,Could not resolve host: china.gxdx.gov.cn,none
chinalab.gov.cn,Could not resolve host: chinalab.gov.cn,none
chzz.nasg.gov.cn,Could not resolve host: chzz.nasg.gov.cn,none
ciep.gov.cn,TLS connect error: error:0A0000C6:SSL routines::packet length too long,5 mxn.mxhichina.com.; 10 mxw.mxhichina.com.
cis.jnfda.gov.cn,Could not resolve host: cis.jnfda.gov.cn,none
citrix.grmc.gov.cn,Could not resolve host: citrix.grmc.gov.cn,none
citycard.qyta.gov.cn,Could not resolve host: citycard.qyta.gov.cn,none
civiccenter.szsti.gov.cn,Could not resolve host: civiccenter.szsti.gov.cn,none
cj.bjwmb.gov.cn,Connection timed out after 3001 milliseconds,none
cjhy.gov.cn,Could not resolve host: cjhy.gov.cn,none
cjmsa.gov.cn,Resolving timed out after 3000 milliseconds,none
cjpolice.gov.cn,Could not resolve host: cjpolice.gov.cn,none
ckzx.czj.sh.gov.cn,Connection timed out after 3002 milliseconds,none
cloud.dmfy.gov.cn,Could not resolve host: cloud.dmfy.gov.cn,none
cloud.hbzljd.gov.cn,Could not resolve host: cloud.hbzljd.gov.cn,none
