domain,level,name
12333sh.gov.cn,central-1,Shanghai 12333 social security hotline
12333zjg.gov.cn,local,Zhangjiagang 12333 social security hotline
ah.gov.cn,central-1,Anhui
ahga.gov.cn,central-1,Anhui Public Security Department
ahjinzhai.gov.cn,local,Jinzhai county (Anhui)
ahnw.gov.cn,central-1,Anhui Agriculture Network
ahsz.gov.cn,local,Suzhou city (Anhui)
ahwjw.gov.cn,central-1,Anhui Health and Family Planning Commission
ahzwfw.gov.cn,central-1,Anhui Government Services
aihami.gov.cn,local,Hami city (Xinjiang)
anshantiyu.gov.cn,local,Anshan Sports Bureau
aqtyj.gov.cn,local,Anqing Sports Bureau
baic.gov.cn,central-1,Beijing Administration for Industry and Commerce
baoan.gov.cn,local,Bao'an district (Shenzhen)
bda.gov.cn,local,Beijing Economic-Technological Development Area
beichuan.gov.cn,local,Beichuan county (Sichuan)
beihai.gov.cn,local,Beihai city (Guangxi)
beijing.gov.cn,central-1,Beijing
binhai.gov.cn,local,Binhai New Area (Tianjin)
bjcg.gov.cn,central-1,Beijing Urban Management Law Enforcement Bureau
bjchfp.gov.cn,central-1,Beijing Health and Family Planning Commission
bjcourt.gov.cn,central-1,Beijing Courts
bjdfz.gov.cn,central-1,Beijing Local Chronicles Office
bjedu.gov.cn,central-1,Beijing Education Commission
bjeit.gov.cn,central-1,Beijing Economy and Information Technology Commission
bjfao.gov.cn,central-1,Beijing Foreign Affairs Office
bjft.gov.cn,local,Fengtai district (Beijing)
bjggzyfw.gov.cn,central-1,Beijing Public Resources Trading Service
bjgjj.gov.cn,central-1,Beijing Housing Provident Fund
bjgzw.gov.cn,central-1,Beijing SASAC
bjhd.gov.cn,local,Haidian district (Beijing)
bjipo.gov.cn,central-1,Beijing Intellectual Property Office
bjjtgl.gov.cn,central-1,Beijing Traffic Management Bureau
bjjtw.gov.cn,central-1,Beijing Commission of Transport
bjkw.gov.cn,central-1,Beijing Science and Technology Commission
bjld.gov.cn,central-1,Beijing Labor and Social Security Bureau
bjlsj.gov.cn,central-1,Beijing Grain Bureau
bjmzj.gov.cn,central-1,Beijing Civil Affairs Bureau
bjpta.gov.cn,central-1,Beijing Personnel Testing Authority
bjrbj.gov.cn,central-1,Beijing Human Resources and Social Security Bureau
bjrd.gov.cn,central-1,Beijing Municipal People's Congress
bjrs.gov.cn,central-1,Beijing Personnel Bureau
bjsports.gov.cn,central-1,Beijing Sports Bureau
bjwh.gov.cn,central-1,Beijing Culture Bureau
bjwmb.gov.cn,central-1,Capital Civilization Office (Beijing)
bjxch.gov.cn,local,Xicheng district (Beijing)
blzq.gov.cn,local,Bairin Left Banner (Inner Mongolia)
blzqjjjc.gov.cn,local,Bairin Left Banner discipline inspection
cdcredit.gov.cn,local,Chengdu credit platform
cddrc.gov.cn,local,Chengdu Development and Reform Commission
cddx.gov.cn,local,Chengdu Local Taxation Bureau
cdepb.gov.cn,local,Chengdu Environmental Protection Bureau
cdfgj.gov.cn,local,Chengdu Housing Administration Bureau
cdgh.gov.cn,local,Chengdu Planning Bureau
cdgzw.gov.cn,local,Chengdu SASAC
cdhrss.gov.cn,local,Chengdu Human Resources and Social Security Bureau
cdsga.gov.cn,local,Chengdu Public Security Bureau
cdsgjj.gov.cn,local,Chengdu Housing Provident Fund
cdta.gov.cn,local,Chengdu Tourism Administration
cdzfgjj.gov.cn,local,Chengdu Housing Provident Fund (variant)
cfzwfw.gov.cn,local,Chifeng government services (Inner Mongolia)
chancheng.gov.cn,local,Chancheng district (Foshan)
changzhou.gov.cn,local,Changzhou city (Jiangsu)
chengdu.gov.cn,local,Chengdu city (Sichuan)
chengducredit.gov.cn,local,Chengdu credit platform (variant)
chenghua.gov.cn,local,Chenghua district (Chengdu)
chengxinhaikou.gov.cn,local,Haikou credit platform (Hainan)
china-shftz.gov.cn,local,Shanghai Free Trade Zone
china-xmftz.gov.cn,local,Xiamen Free Trade Zone
conghuajj.gov.cn,local,Conghua district family planning (Guangzhou)
cq-l-tax.gov.cn,central-1,Chongqing Local Taxation
cq.gov.cn,central-1,Chongqing
cqdx.gov.cn,central-1,Chongqing Local Taxation Bureau
cqga.gov.cn,central-1,Chongqing Public Security Bureau
cqhrss.gov.cn,central-1,Chongqing Human Resources and Social Security Bureau
cqjcy.gov.cn,central-1,Chongqing People's Procuratorate
cqwater.gov.cn,central-1,Chongqing Water Resources Bureau
cs12333.gov.cn,local,Changsha 12333 social security hotline
csggzy.gov.cn,local,Changsha public resources trading
cshrss.gov.cn,local,Changsha Human Resources and Social Security Bureau
czcourt.gov.cn,local,Changzhou courts (Jiangsu)
czgabmfw.gov.cn,local,Changzhi public security services (Shanxi)
czhrss.gov.cn,local,Changzhou Human Resources and Social Security Bureau
daqing.gov.cn,local,Daqing city (Heilongjiang)
deyang.gov.cn,local,Deyang city (Sichuan)
dezhou.gov.cn,local,Dezhou city (Shandong)
dg.gov.cn,local,Dongguan city (Guangdong)
dgaic.gov.cn,local,Dongguan Administration for Industry and Commerce
dgsi.gov.cn,local,Dongguan Social Insurance
dingcheng.gov.cn,local,Dingcheng district (Changde)
dl-l-tax.gov.cn,local,Dalian Local Taxation
dlftz.gov.cn,local,Dalian Free Trade Zone
dtgabmfw.gov.cn,local,Datong public security services (Shanxi)
fengxian.gov.cn,local,Fengxian district (Shanghai)
fj.gov.cn,central-1,Fujian (former portal domain)
fj12345.gov.cn,central-1,Fujian 12345 service hotline
fjdrc.gov.cn,central-1,Fujian Development and Reform Commission
fjhfpc.gov.cn,central-1,Fujian Health and Family Planning Commission
fjqz-l-tax.gov.cn,local,Quanzhou Local Taxation (Fujian)
fjrs.gov.cn,central-1,Fujian Personnel Department
fjsf.gov.cn,central-1,Fujian Department of Justice
fjxf.gov.cn,central-1,Fujian Petition (Xinfang) Bureau
fjxm110.gov.cn,local,Xiamen 110 public security (Fujian)
fjylbz.gov.cn,central-1,Fujian Medical Security Bureau
foshan.gov.cn,local,Foshan city (Guangdong)
foshanepb.gov.cn,local,Foshan Environmental Protection Bureau
fq.gov.cn,local,Fuqing city (Fujian)
fsfda.gov.cn,local,Foshan Food and Drug Administration
fsgjj.gov.cn,local,Foshan Housing Provident Fund
fshrss.gov.cn,local,Foshan Human Resources and Social Security Bureau
fssi.gov.cn,local,Foshan Social Insurance
fthr.gov.cn,local,Futian district human resources (Shenzhen)
fujian.gov.cn,central-1,Fujian
funan.gov.cn,local,Funan county (Anhui)
fuqing.gov.cn,local,Fuqing city (Fujian)
fuzhou.gov.cn,local,Fuzhou city (Fujian)
fz12315.gov.cn,local,Fuzhou 12315 hotline (Fujian)
gansu.gov.cn,central-1,Gansu
gd.gov.cn,central-1,Guangdong
gdczt.gov.cn,central-1,Guangdong Department of Finance
gdda.gov.cn,central-1,Guangdong Archives
gdei.gov.cn,central-1,Guangdong Economy and Information Commission
gdep.gov.cn,central-1,Guangdong Environmental Protection Department
gdepb.gov.cn,central-1,Guangdong Environmental Protection Bureau
gdfda.gov.cn,central-1,Guangdong Food and Drug Administration
gdga.gov.cn,central-1,Guangdong Public Security Department
gdgpo.gov.cn,central-1,Guangdong Government Procurement Office
gdqts.gov.cn,central-1,Guangdong Quality and Technical Supervision
gdsf.gov.cn,central-1,Guangdong Department of Justice
gdta.gov.cn,central-1,Guangdong Tourism Administration
gdwst.gov.cn,central-1,Guangdong Health Department
getdd.gov.cn,local,Guangzhou Economic and Technological Development District
glga.gov.cn,local,Guilin Public Security Bureau
glrsj.gov.cn,local,Guilin Human Resources and Social Security Bureau
gov.cn,central,
gs12333.gov.cn,central-1,Gansu 12333 social security hotline
guanghan.gov.cn,local,Guanghan city (Sichuan)
guizhou.gov.cn,central-1,Guizhou
gxaudit.gov.cn,central-1,Guangxi Audit Office
gxdlr.gov.cn,central-1,Guangxi Department of Land and Resources
gxdx.gov.cn,central-1,Guangxi Local Taxation Bureau
gxfgjj.gov.cn,central-1,Guangxi Housing Provident Fund
gxhrss.gov.cn,central-1,Guangxi Human Resources and Social Security Department
gxi.gov.cn,central-1,Guangxi (former portal domain)
gxrd.gov.cn,central-1,Guangxi People's Congress
gxst.gov.cn,central-1,Guangxi Science and Technology Department
gxwater.gov.cn,central-1,Guangxi Water Resources Department
gxxf.gov.cn,central-1,Guangxi Petition (Xinfang) Bureau
gxzf.gov.cn,central-1,Guangxi
gyaic.gov.cn,local,Guiyang Administration for Industry and Commerce
gytour.gov.cn,local,Guiyang Tourism
gz.gov.cn,local,Guangzhou city (Guangdong)
gzcourt.gov.cn,local,Guangzhou courts
gzgjj.gov.cn,local,Guangzhou Housing Provident Fund
gzjjzd.gov.cn,local,Guangzhou traffic police
ha-l-tax.gov.cn,central-1,Henan Local Taxation
haagri.gov.cn,central-1,Henan Department of Agriculture
hahrss.gov.cn,central-1,Henan Human Resources and Social Security Department
haikou.gov.cn,local,Haikou city (Hainan)
haimen.gov.cn,local,Haimen city (Jiangsu)
