hostname,score,sources,label,level
gov.hnedu.cn,8,wikidata;wikidata,Hunan Provincial Department of Education,central-1
al.gov.mo,7,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Legislative Assembly of Macau,central-1
amcm.gov.mo,7,wikidata;wikidata,Monetary Authority of Macao,central-1
amcm.macau.gov.mo,7,wikidata;wikidata,Monetary Authority of Macao,central-1
ca.gov.mo,7,wikidata;wikidata,Commission of Audit,central-1
cedb.gov.hk,7,wikidata;wikidata,Commerce and Economic Development Bureau,central-1
cmab.gov.hk,7,wikidata;wikidata,Constitutional and Mainland Affairs Bureau,central-1
csb.gov.hk,7,wikidata;wikidata,Civil Service Bureau,central-1
cstb.gov.hk,7,wikidata;wikidata,"Culture, Sports and Tourism Bureau, Hong Kong",central-1
ctt.gov.mo,7,wikidata;wikidata,Macao Post and Telecommunications Bureau,central-1
customs.gov.hk,7,wikidata;wikidata;wikidata;wikidata,Customs and Excise Department,central-1
devb.gov.hk,7,wikidata;wikidata,Development Bureau,central-1
dsasg.gov.mo,7,wikidata;wikidata,Direcção dos Serviços para os Assuntos da Sede do Governo,central-1
dsat.gov.mo,7,wikidata;wikidata,Transport Bureau,central-1
dscc.gov.mo,7,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Cartography and Cadastre Bureau,central-1
dsec.gov.mo,7,wikidata;wikidata,Statistics and Census Service,central-1
dsedt.gov.mo,7,wikidata;wikidata;wikidata;wikidata,Economic and Technological Development Bureau,central-1
dsi.gov.mo,7,wikidata;wikidata,Identification Services Bureau,central-1
dsop.gov.mo,7,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Direcção dos Serviços de Obras Públicas,central-1
dspa.gov.mo,7,wikidata;wikidata,Environmental Protection Bureau,central-1
edb.gov.hk,7,wikidata;wikidata,Education Bureau,central-1
eeb.gov.hk,7,wikidata;wikidata,"Environment and Ecology Bureau, the government of the Hong Kong Administrative Region of the People's Republic of China",central-1
fsm.gov.mo,7,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Fire Services Bureau | Public Security Police Force | Escola Superior das Forças de Segurança de Macau,central-1
fstb.gov.hk,7,wikidata;wikidata,Financial Services and the Treasury Bureau,central-1
gov.hk,7,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Government of Hong Kong,central-1
gsef.gov.mo,7,wikidata;wikidata,Secretariat for Economy and Finance,central-1
healthbureau.gov.hk,7,wikidata;wikidata;wikidata,Primary Healthcare Commission | Health Bureau,central-1
hyab.gov.hk,7,wikidata;wikidata,Home and Youth Affairs Bureau,central-1
iam.gov.mo,7,wikidata;wikidata,Municipal Affairs Bureau,central-1
ias.gov.mo,7,wikidata;wikidata,Social Welfare Bureau,central-1
icm.gov.mo,7,wikidata;wikidata,Cultural Affairs Bureau,central-1
ihm.gov.mo,7,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Housing Bureau,central-1
imprensa.macau.gov.mo,7,wikidata;wikidata,Government Printing Bureau,central-1
itib.gov.hk,7,wikidata;wikidata,"Innovation, Technology and lndustry Bureau",central-1
judiciary.gov.hk,7,wikidata;wikidata;wikidata,Court of First Instance of the High Court | District Court | Court of Appeal of the High Court,central-1
lcsd.gov.hk,7,wikidata;wikidata,Music Office | Leisure and Cultural Services Department,central-1
legco.gov.hk,7,wikidata;wikidata,Legislative Council of Hong Kong,central-1
lwb.gov.hk,7,wikidata;wikidata,Labour and Welfare Bureau,central-1
macaotourism.gov.mo,7,wikidata;wikidata,Macao Government Tourism Office,central-1
marine.gov.mo,7,wikidata;wikidata,Marine and Water Bureau,central-1
pj.gov.mo,7,wikidata;wikidata,Judiciary Police,central-1
