domain,level,source,name
12333sh.gov.cn,central-1,manual,Shanghai 12333 social security hotline
ah.gov.cn,central-1,manual,Anhui
ahga.gov.cn,central-1,manual,Anhui Public Security Department
ahnw.gov.cn,central-1,manual,Anhui Agriculture Network
ahwjw.gov.cn,central-1,manual,Anhui Health and Family Planning Commission
ahzwfw.gov.cn,central-1,manual,Anhui Government Services
baic.gov.cn,central-1,manual,Beijing Administration for Industry and Commerce
beijing.gov.cn,central-1,manual,Beijing
bjcg.gov.cn,central-1,manual,Beijing Urban Management Law Enforcement Bureau
bjchfp.gov.cn,central-1,manual,Beijing Health and Family Planning Commission
bjcourt.gov.cn,central-1,manual,Beijing Courts
bjdfz.gov.cn,central-1,manual,Beijing Local Chronicles Office
bjedu.gov.cn,central-1,manual,Beijing Education Commission
bjeit.gov.cn,central-1,manual,Beijing Economy and Information Technology Commission
bjfao.gov.cn,central-1,manual,Beijing Foreign Affairs Office
bjggzyfw.gov.cn,central-1,manual,Beijing Public Resources Trading Service
bjgjj.gov.cn,central-1,manual,Beijing Housing Provident Fund
bjgzw.gov.cn,central-1,manual,Beijing SASAC
bjipo.gov.cn,central-1,manual,Beijing Intellectual Property Office
bjjtgl.gov.cn,central-1,manual,Beijing Traffic Management Bureau
bjjtw.gov.cn,central-1,manual,Beijing Commission of Transport
bjkw.gov.cn,central-1,manual,Beijing Science and Technology Commission
bjld.gov.cn,central-1,manual,Beijing Labor and Social Security Bureau
bjlsj.gov.cn,central-1,manual,Beijing Grain Bureau
bjmzj.gov.cn,central-1,manual,Beijing Civil Affairs Bureau
bjpta.gov.cn,central-1,manual,Beijing Personnel Testing Authority
bjrbj.gov.cn,central-1,manual,Beijing Human Resources and Social Security Bureau
bjrd.gov.cn,central-1,manual,Beijing Municipal People's Congress
bjrs.gov.cn,central-1,manual,Beijing Personnel Bureau
bjsports.gov.cn,central-1,manual,Beijing Sports Bureau
bjwh.gov.cn,central-1,manual,Beijing Culture Bureau
bjwmb.gov.cn,central-1,manual,Capital Civilization Office (Beijing)
cq-l-tax.gov.cn,central-1,manual,Chongqing Local Taxation
cq.gov.cn,central-1,manual,Chongqing
cqdx.gov.cn,central-1,manual,Chongqing Local Taxation Bureau
cqga.gov.cn,central-1,manual,Chongqing Public Security Bureau
cqhrss.gov.cn,central-1,manual,Chongqing Human Resources and Social Security Bureau
cqjcy.gov.cn,central-1,manual,Chongqing People's Procuratorate
cqwater.gov.cn,central-1,manual,Chongqing Water Resources Bureau
fj.gov.cn,central-1,manual,Fujian (former portal domain)
fj12345.gov.cn,central-1,manual,Fujian 12345 service hotline
fjdrc.gov.cn,central-1,manual,Fujian Development and Reform Commission
fjhfpc.gov.cn,central-1,manual,Fujian Health and Family Planning Commission
fjrs.gov.cn,central-1,manual,Fujian Personnel Department
fjsf.gov.cn,central-1,manual,Fujian Department of Justice
fjxf.gov.cn,central-1,manual,Fujian Petition (Xinfang) Bureau
fjylbz.gov.cn,central-1,manual,Fujian Medical Security Bureau
fujian.gov.cn,central-1,manual,Fujian
gansu.gov.cn,central-1,manual,Gansu
gd.gov.cn,central-1,manual,Guangdong
gdczt.gov.cn,central-1,manual,Guangdong Department of Finance
gdda.gov.cn,central-1,manual,Guangdong Archives
gdei.gov.cn,central-1,manual,Guangdong Economy and Information Commission
