hostname,score,sources,label,level
en.npc.gov.cn.cdurl.cn,8,wikidata;wikidata;wikidata,Standing Committee of the National People's Congress | National People's Congress,central
aacm.gov.mo,7,wikidata;wikidata,Civil Aviation Authority of Macau,central
bjast.ac.cn,7,wikidata;wikidata,Beijing Academy of Science and Technology,
caas.cn,7,wikidata;wikidata,Chinese Academy of Agricultural Sciences,
china.usembassy-china.org.cn,7,wikidata;wikidata,"Embassy of the United States, Beijing | Consulate General of the United States, Shanghai",central
chinacdc.cn,7,wikidata;wikidata;wikidata,National Institute for Radiological Protection | Chinese Center for Disease Control and Prevention | National Institute for Viral Disease Control and Prevention,
draemp.gov.mo,7,wikidata;wikidata,Office of the Macau Special Administrative Region in Beijing,central
hkpl.gov.hk,7,wikidata;wikidata,Hong Kong Central Library,
istic.ac.cn,7,wikidata;wikidata,Institute of Scientific and Technical Information of China,
itc.gov.hk,7,wikidata;wikidata,Standards and Calibration Laboratory | Innovation and Technology Commission,
maldivesembassy.cn,7,wikidata;wikidata,"Embassy of Maldives, Beijing",central
mofaic.gov.ae,7,wikidata;wikidata,"Consulate General of the United Arab Emirates, Shanghai | Consulate General of the United Arab Emirates, Guangzhou",
smg.gov.mo,7,wikidata;wikidata,Macao Meteorological and Geophysical Bureau,
tid.gov.hk,7,wikidata;wikidata,Trade and Industry Department,
ccac.org.mo,6,wikidata;wikidata,Commission Against Corruption,
mzv.sk,6,wikidata;wikidata,embassy of Slovakia in China | Q126477683,central
norway.no,6,wikidata;wikidata,"Consulate General of Norway in Guangzhou | Embassy of Norway, Beijing",central
swedenabroad.se,6,wikidata;wikidata,"Consulate General of Sweden, Hong Kong | General Consulate of Sweden Shanghai",
12379.cn,4,wikidata,Q125252164,
4io.org.cn,4,wikidata,Fourth Institute of Oceanography,
81.cn,4,wikidata,Central Military Commission,
abs.ac.cn,4,wikidata,Academy of Broadcasting Science,
admwing.gov.hk,4,wikidata,Administration Wing,
ah.sgcc.com.cn,4,wikidata,State Grid Anhui Electric Power Company Electric Power Science Research Institute,
archsd.gov.hk,4,wikidata,Architectural Services Department,
bahamasembassy.cn,4,wikidata,embassy of the Bahamas in China,central
bjo.gov.hk,4,wikidata,Office of the Government of the Hong Kong Special Administrative Region in Beijing,
bjygzx.org.cn,4,wikidata,Beijing Hospitals Authority,
caae.com.cn,4,wikidata,Chinese Academy of Agricultural Engineering,
cae.ac.cn,4,wikidata,Chinese Aeronautical Establishment,
caep.org.cn,4,wikidata,Chinese Academy for Environmental Planning,
caf.ac.cn,4,wikidata,Chinese Academy of Forestry,
cah.cass.cn,4,wikidata,Q55718243,
caict.ac.cn,4,wikidata,China Academy of Information and Communications Technology,
casc.org.cn,4,wikidata,China Accounting Standards Committee,
cccme.cn,4,wikidata,China Chamber of Commerce for Import and Export of Machinery and Electronic Products,
ccgc.cn,4,wikidata,China National Administration of Coal Geology,
cdctj.com.cn,4,wikidata,Tianjin Centers for Disease Control and Prevention,
cedd.gov.hk,4,wikidata,Civil Engineering and Development Department,
censtatd.gov.hk,4,wikidata,Census and Statistics Department,
china-epc.cn,4,wikidata,Sino-Japan Friendship Center for Environmental Protection (Environmental Development Center of the Ministry of Ecology and Environment),
chinaaids.cn,4,wikidata,"National Center for AIDS/STD Control and Prevention,China CDC",
chinanutri.cn,4,wikidata,National Institute for Nutrition and Health,
chinawch.org.cn,4,wikidata,"National Center for Women and Children’s Health, China CDC",
cjh.com.cn,4,wikidata,Changjiang Water Resources Commission,
cnterm.cn,4,wikidata,China National Committee for Terms in Sciences and Technologies,
crsri.cn,4,wikidata,Changjiang River Scientific Research Institute,
crtdc.org.cn,4,wikidata,China Rural Technology Development Center,
csc.edu.cn,4,wikidata,China Scholarship Council,
cstcs.org.cn,4,wikidata,Chinese Society for Tropical Crops,
cstec.org.cn,4,wikidata,China Science and Technology Exchange Center,
customsmuseum.cn,4,wikidata,Canton Custom House,
cutech.edu.cn,4,wikidata,"Ministry of Education, Science and Technology Development Center",
dicp.cas.cn,4,wikidata,Dalian Institute of Chemical Physics,
digitalpolicy.gov.hk,4,wikidata,Digital Policy Office,
ecf.gov.hk,4,wikidata,Environment and Conservation Fund,
emb-costarica.cn,4,wikidata,embassy of Costa Rica in China,central
embolchina.cn,4,wikidata,embassy of Bolivia in China,central
en.caams.org.cn,4,wikidata,Chinese Academy of Agricultural Mechanization Sciences,
en.caf.ac.cn,4,wikidata,Chinese Academy of Forestry,
en.cfsa.net.cn,4,wikidata,China National Centre for Food Safety Risk Assessment,
en.chinacdc.cn,4,wikidata,Chinese Center for Disease Control and Prevention,
en.cibr.ac.cn,4,wikidata,Chinese Institute for Brain Research,
en.ipm-gba.org.cn,4,wikidata,Greater Bay Area Institute of Precision Medicine,
en.jaas.ac.cn,4,wikidata,Jiangsu Academy of Agricultural Sciences,
eng.chinamil.com.cn,4,wikidata,Chinese People's Armed Police Force,
english.dicp.cas.cn,4,wikidata,Dalian Institute of Chemical Physics,
english.gzb.cas.cn,4,wikidata,Guangdong Academy of Science,
english.sim.cas.cn,4,wikidata,State Key Laboratory of Transducer Technology,
eri.org.cn,4,wikidata,National Development and Reform Commission Energy Research Institute,
fjcdc.com.cn,4,wikidata,Fujian Center for Disease Control and Prevention,
fmcoprc.gov.mo,4,wikidata,Office of the Commissioner of the Ministry of Foreign Affairs of the People's Republic of China in the Macao Special Administrative Region,
ftcdc.cn,4,wikidata,Beijing Fengtai Disease Prevention and Control Center,
gdaas.cn,4,wikidata,Guangdong Academy of Agricultural Sciences,
gfs.gov.hk,4,wikidata,Government Flying Service,
gmgs.com.cn,4,wikidata,Guangzhou Marine Geological Survey,
greenfood.org.cn,4,wikidata,China Green Food Development Center,
grs.gov.hk,4,wikidata,Government Records Service,
