hostname,http_status,mx
affaires-religieuses.tn,302,5 mx6email.ingw.tn.; 5 mx5email.ingw.tn.
afi.nat.tn,301,0 afi-nat-tn.mail.protection.outlook.com.
agriculture.tn,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,50 mx6email.ingw.tn.; 10 mx5email.ingw.tn.
ambdz.tn,ConnectException,0 mx02.ingw.orange.tn.; 0 mx04.ingw.orange.tn.; 0 mx01.ingw.orange.tn.; 0 mx03.ingw.orange.tn.
anged.nat.tn,ConnectException,0 mx20.gnet.tn.; 0 mx10.gnet.tn.
anm.nat.tn,301,5 mx4email.ingw.tn.; 5 mx3email.ingw.tn.
anme.nat.tn,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 mx3.topnetpro.com.; 0 mx2.topnetpro.com.; 0 mx1.topnetpro.com.
anpe.nat.tn,301,0 mx2.topnetpro.com.; 0 mx3.topnetpro.com.; 0 mx1.topnetpro.com.
anpr.tn,301,1 mx1.ovh.net.; 100 mxb.ovh.net.; 5 mx2.ovh.net.
apal.nat.tn,ConnectException,0 mx20.gnet.tn.; 0 mx10.gnet.tn.
apia.com.tn,301,0 mx20.gnet.tn.; 0 mx10.gnet.tn.
archives.nat.tn,ConnectException,0 mx6email.ingw.tn.; 0 mx5email.ingw.tn.
arp.tn,200,0 arp-tn.mail.protection.outlook.com.
atct.tn,301,20 mta1.atct.tn.; 10 mta2.atct.tn.
bibliotheque.nat.tn,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching bibliotheque.nat.tn found.,10 mx1email.ingw.tn.; 50 mx2email.ingw.tn.
cassation.tn,ConnectException,none
ccicentre.org.tn,HttpTimeoutException: request timed out,0 cp4.tn.oxa.host.
ccitunis.org.tn,200,10 mail.ccitunis.org.tn.
cdn.tn,HttpConnectTimeoutException: HTTP connect timed out,10 mx1email.ingw.tn.; 50 mx2email.ingw.tn.
cepex.nat.tn,ConnectException,10 mx1email.ingw.tn.; 50 mx2email.ingw.tn.
cetiba.tn,SSLHandshakeException: (certificate_unknown) PKIX path building failed: sun.security.provider.certpath.SunCertPathBuilderException: unable to find valid certification path to requested target,0 mx3.topnet.tn.; 0 mx1.topnet.tn.; 0 mx2.topnet.tn.
cetime.ind.tn,ConnectException,0 mx02.ingw.orange.tn.; 0 mx01.ingw.orange.tn.; 0 mx04.ingw.orange.tn.; 0 mx03.ingw.orange.tn.
cettex.com.tn,ConnectException,0 mx1.topnet.tn.; 0 mx2.topnet.tn.; 0 mx3.topnet.tn.
citet.nat.tn,HttpConnectTimeoutException: HTTP connect timed out,0 mx10.gnet.tn.; 0 mx20.gnet.tn.
cmf.tn,200,0 mx1.topnetpro.com.; 0 mx2.topnetpro.com.
cnam.nat.tn,ConnectException,10 mx01.ingw.orange.tn.; 0 smtp.cnam.nat.tn.; 10 mx02.ingw.orange.tn.; 10 mx04.ingw.orange.tn.; 10 mx03.ingw.orange.tn.
cnccleather.nat.tn,ConnectException,50 mx2email.ingw.tn.; 10 mx1email.ingw.tn.
cni.nat.tn,ConnectException,10 mx1email.ingw.tn.; 50 mx2email.ingw.tn.
cnrd.tn,301,50 mx5email.ingw.tn.; 10 mx6email.ingw.tn.
