subdomain,mx
pmamtfp.gouv.bj,none
pmepe.gouv.bj,10 mail.gouv.bj.
premar.gouv.bj,none
preprodmtfp.gouv.bj,none
presencepublic.gouv.bj,none
prh.sante.gouv.bj,none
projetsfnda.agriculture.gouv.bj,none
prtgmonit.gouv.bj,none
pspdb.dev.gouv.bj,none
pspdb.plan.gouv.bj,none
public-api.centresurveillancesanitaire.gouv.bj,none
public.centresurveillancesanitaire.gouv.bj,none
rdopa.agriculture.gouv.bj,none
recrutement.rna.agriculture.gouv.bj,none
reformesbenin.gouv.bj,none
ressource-eau.gouv.bj,none
ressources-eau.gouv.bj,none
rh.sante.gouv.bj,none
rhformation.sante.gouv.bj,none
rhsante.formation.gouv.bj,none
rhsante.gouv.bj,none
rna.agriculture.gouv.bj,none
s4b.bai.gouv.bj,none
s4badmin.bai.gouv.bj,none
sanctionpublic.gouv.bj,none
sanipriva.gouv.bj,none
sante.gouv.bj,0 sante-gouv-bj.mail.protection.outlook.com.
sgg.gouv.bj,25 mail2.sgg.gouv.bj.; 10 mail.gouv.bj.
sgifd.gouv.bj,none
sgm.agriculture.gouv.bj,none
sida.enseignementsuperieur.gouv.bj,none
sidoffe-ng.social.gouv.bj,none
sig-ssrd.gouv.bj,none
sig-ssrdtest.gouv.bj,none
sigcfs.gouv.bj,none
sige.gouv.bj,none
sigec.justice.gouv.bj,none
sigodd.gouv.bj,none
sigtit.gouv.bj,none
simrhmasm.social.gouv.bj,none
sip.bai.gouv.bj,none
sipages.justice.gouv.bj,none
sipec-ae.anatt.gouv.bj,none
sipec.anatt.gouv.bj,none
sisefnda.agriculture.gouv.bj,none
sitetest.agriculture.gouv.bj,none
snigs.gouv.bj,none
social.gouv.bj,10 mail.gouv.bj.
soutienpme.gouv.bj,none
sso.guce.gouv.bj,none
staging.guce.gouv.bj,none
stpcnos.agriculture.gouv.bj,none
suivi-pag.gouv.bj,none
suivi-tnt.gouv.bj,none
suivitnt.gouv.bj,none
svdl.gouv.bj,none
sygecmsp.gouv.bj,none
sysformation.gouv.bj,none
task.gouv.bj,none
tbourses.enseignementsuperieur.gouv.bj,none
tcommerce.gouv.bj,none
tdecentralisation.gouv.bj,none
tdiplomatie.gouv.bj,none
temp.anapi.gouv.bj,none
temp.ask.gouv.bj,none
temp.dei.gouv.bj,none
temp.fonds.jeunesse.gouv.bj,none
temp.justice.gouv.bj,none
tempenseignementsecondaire.gouv.bj,none
tenseignementsecondaire.gouv.bj,none
tenseignementsuperieur.gouv.bj,none
test-ecodepermis.anatt.gouv.bj,none
test-sipec-ae.anatt.gouv.bj,none
test-sipec.anatt.gouv.bj,none
testmrs.gouv.bj,none
tmesodd.plan.gouv.bj,none
