field,value
region,Africa
subregion,Southern Africa
languages,Xhosa; Southern Sotho; Tsonga; Southern Ndebele; Venda; Swazi; English; Afrikaans; Northern Sotho; Zulu; Tswana
currencies,ZAR
population,63100945
capital,Pretoria; Bloemfontein; Cape Town
gdp_per_capita,6267
gdp_year,2024
