qid,label
Q117714,Anambra State
Q130626,Borno State
Q145793,Zamfara State
Q320852,Abia State
Q337514,Adamawa State
Q376241,Gombe State
Q3817714,Enugu State
Q387745,Kogi State
Q424388,Akwa Ibom State
Q429908,Benue State
Q463959,Taraba State
Q464953,Kwara State
Q503905,Oyo State
Q503910,Delta State
Q503923,Rivers State
Q503928,Plateau State
Q503932,Niger State
Q503936,Bauchi State
Q503941,Sokoto State
Q506808,Ebonyi State
Q509300,Federal Capital Territory
Q532153,Bayelsa State
Q534917,Ekiti State
Q657821,Katsina State
Q682571,Kano State
Q682691,Jigawa State
Q682704,Edo State
Q682721,Osun State
Q682777,Yobe State
Q739676,Cross River State
Q748523,Kebbi State
Q815913,Lagos State
Q836645,Nasarawa State
Q836654,Ondo State
Q836657,Ogun State
Q842939,Imo State
Q878284,Kaduna State
