subdomain,mx
cpanel.bauchistate.gov.ng,none
cpanel.beninowena.gov.ng,none
cpanel.bornosirs.bo.gov.ng,none
cpanel.bsiec.be.gov.ng,none
cpanel.ccb.gov.ng,none
cpanel.corbon.gov.ng,none
cpanel.cpn.gov.ng,none
cpanel.crossriversmartcity.gov.ng,none
cpanel.crsg-itm.gov.ng,none
cpanel.dtac.gov.ng,none
cpanel.dtechboard.gov.ng,none
cpanel.dthrbn.gov.ng,none
cpanel.edha.gov.ng,none
cpanel.edojudiciary.gov.ng,none
cpanel.emdi.gov.ng,none
cpanel.fctseb.gov.ng,none
cpanel.fhamortgage.gov.ng,none
cpanel.fmcjalingo.gov.ng,none
cpanel.fmtc.gov.ng,none
cpanel.fmti.gov.ng,none
cpanel.fnphbenin.gov.ng,none
cpanel.fnphyaba.gov.ng,none
cpanel.houseofassembly.ab.gov.ng,none
cpanel.houseofassembly.im.gov.ng,none
cpanel.ibejulekki.lg.gov.ng,none
cpanel.igandoikotunlcda.lg.gov.ng,none
cpanel.igbogbobayekulcda.lg.gov.ng,none
cpanel.ijedelcda.lg.gov.ng,none
cpanel.imofirstlady.gov.ng,none
cpanel.imostate.gov.ng,none
cpanel.investbayelsa.by.gov.ng,none
cpanel.investinbauchi.bu.gov.ng,none
cpanel.ipcr.gov.ng,none
cpanel.irs.kg.gov.ng,none
cpanel.irs.kw.gov.ng,none
cpanel.itf.gov.ng,none
cpanel.jigawastate.gov.ng,none
cpanel.katmowa.kt.gov.ng,none
cpanel.katsinastate.gov.ng,none
cpanel.kogistate.gov.ng,none
cpanel.kosipa.gov.ng,none
cpanel.lagoshoms.gov.ng,none
cpanel.lagosjustice.lg.gov.ng,none
cpanel.lagosresidents.gov.ng,none
cpanel.lasiec.gov.ng,none
cpanel.lasrab.gov.ng,none
cpanel.lrb.on.gov.ng,none
cpanel.moest.be.gov.ng,none
cpanel.moh.yb.gov.ng,none
cpanel.most.dl.gov.ng,none
cpanel.mst.gm.gov.ng,none
cpanel.nabda.gov.ng,none
cpanel.nacetem.gov.ng,none
cpanel.naptip.gov.ng,none
cpanel.nbrri.gov.ng,none
cpanel.ncac.gov.ng,none
cpanel.ncat.gov.ng,none
cpanel.ncne.gov.ng,none
cpanel.ncwd.gov.ng,none
cpanel.neco.gov.ng,none
cpanel.newmap.gov.ng,none
cpanel.nhrc.gov.ng,none
cpanel.nicnadr.gov.ng,none
cpanel.nigeriakhartoum.gov.ng,none
cpanel.nigeriarights.gov.ng,none
cpanel.niia.gov.ng,none
cpanel.nitr.gov.ng,none
cpanel.niwa.gov.ng,none
cpanel.nmcn.gov.ng,none
cpanel.nodec.gov.ng,none
cpanel.npbs.gov.ng,none
cpanel.npf.rv.gov.ng,none
cpanel.nsrmea.gov.ng,none
cpanel.nysc.gov.ng,none
cpanel.obubra.cr.gov.ng,none
cpanel.ogfza.gov.ng,none
cpanel.ojodu.lg.gov.ng,none
cpanel.ondoweb.ondostate.gov.ng,none
cpanel.oot.lg.gov.ng,none
cpanel.osag.yb.gov.ng,none
cpanel.osun.gov.ng,none
cpanel.oyostate.gov.ng,none
cpanel.oyshia.oy.gov.ng,none
cpanel.pencom.gov.ng,none
cpanel.population.gov.ng,none
cpanel.rea.gov.ng,none
cpanel.registry.gov.ng,none
cpanel.rrslagos.gov.ng,none
cpanel.rsdt.gov.ng,none
cpanel.rshpda.gov.ng,none
cpanel.senate.gov.ng,none
cpanel.specialduties.eb.gov.ng,none
cpanel.zamfara.gov.ng,none
cpn.gov.ng,none
cportal.fhamortgage.gov.ng,none
cras.pencom.gov.ng,none
crossriversmartcity.gov.ng,none
crossriverstate.gov.ng,none
crsg-itm.gov.ng,none
crshis.crossriverstate.gov.ng,none
ctda.dl.gov.ng,none
culture-tourism.senate.gov.ng,none
culture.deltastate.gov.ng,none
customs.gov.ng,none
dashboard.nphcda.gov.ng,none
data.edostate.gov.ng,none
data.osag.yb.gov.ng,none
database.rea.gov.ng,none
defence.senate.gov.ng,none
deltastate.gov.ng,0 deltastate.gov.ng.
demo.kadsiec.kd.gov.ng,none
demo.osunjudiciary.gov.ng,none
deputygovernor.lagosstate.gov.ng,none
dev.natlotregcom.gov.ng,none
dialin.enugustate.gov.ng,none
dialin.firs.gov.ng,none
dialin.ncc.gov.ng,none
dialin.sec.gov.ng,none
dic.gov.ng,none
dicon.gov.ng,0 mail.dicon.gov.ng.
dida.deltastate.gov.ng,none
digiteamnigeria.gov.ng,none
dmo.gov.ng,10 mx3.dmo.gov.ng.; 0 mx1.dmo.gov.ng.; 5 mx2.dmo.gov.ng.
dmsma.deltastate.gov.ng,none
dpr.gov.ng,0 dpr-gov-ng.mail.protection.outlook.com.
drts.gov.ng,0 25.qservers.net.
drugs.senate.gov.ng,none
dscsti2017.most.dl.gov.ng,none
dsiec.gov.ng,none
dss.gov.ng,10 mail.dss.gov.ng.; 100 mail1.dss.gov.ng.
dsstcw.most.dl.gov.ng,none
dtac.gov.ng,none
dtca.gov.ng,none
dtechboard.gov.ng,none
dthrbn.gov.ng,none
dtsg.deltastate.gov.ng,none
dvis.lg.gov.ng,0 dvis.lg.gov.ng.
ead.gov.ng,none
eagle.cbn.gov.ng,none
eas.nimc.gov.ng,none
ecitibiz.interior.gov.ng,none
ecoplan.deltastate.gov.ng,none
edgesrv.nass.gov.ng,none
edgh-exch01.edostate.gov.ng,none
edgh-exch02.edostate.gov.ng,none
edha.gov.ng,none
edms.nitda.gov.ng,none
edojudiciary.gov.ng,none
edostate.gov.ng,10 mail.edostate.gov.ng.
education.crossriverstate.gov.ng,none
education.senate.gov.ng,none
eduportal.mlscn.gov.ng,none
efiling.firs.gov.ng,none
efilingtrn.firs.gov.ng,none
efilinguat.firs.gov.ng,none
egbedore.os.gov.ng,none
egov.enugustate.gov.ng,none
egunjobi-bankole.egbedore.os.gov.ng,none
eirs.gov.ng,0 eirs.gov.ng.
ejigbo.os.gov.ng,none
ekiti.ekitistate.gov.ng,none
ekitistate.gov.ng,none
ekitistatebpp.gov.ng,none
ekofm.lagosstate.gov.ng,none
elearning.nils.gov.ng,none
electoral-matters.senate.gov.ng,none
email.cbn.gov.ng,none
email.pencom.gov.ng,none
emdi.gov.ng,none
employment.senate.gov.ng,none
energy.deltastate.gov.ng,none
enugustate.gov.ng,none
environment.deltastate.gov.ng,none
environment.senate.gov.ng,none
eoadeyemi.egbedore.os.gov.ng,none
erc.nimc.gov.ng,dig error
erp.osg.cr.gov.ng,none
escac.en.gov.ng,none
establishment.senate.gov.ng,none
ethics.senate.gov.ng,none
euc.nsa.gov.ng,none
exch-cas-hub-um.nddc.gov.ng,none
exch1.nass.gov.ng,none
faan.gov.ng,none
fawande-oyewole.egbedore.os.gov.ng,none
fct.senate.gov.ng,none
fctedusec.gov.ng,0 fctedusec.gov.ng.
fctscholarshipboard.gov.ng,none
fctseb.gov.ng,none
fctubeb.gov.ng,none
fctwb.gov.ng,none
fedcivilservice.gov.ng,none
federal-character.senate.gov.ng,none
ferma.gov.ng,none
fgnzbb.gov.ng,none
fgpc.zamfara.gov.ng,none
fha.gov.ng,none
fhahomes.fhamortgage.gov.ng,none
fhamortgage.gov.ng,none
fhaportal.fhamortgage.gov.ng,none
fhc.gov.ng,none
fimapp.nass.gov.ng,none
finance.deltastate.gov.ng,none
finance.kanostate.gov.ng,none
finance.osunstate.gov.ng,none
finance.pfm.yb.gov.ng,none
finance.senate.gov.ng,none
financialreportingcouncil.gov.ng,none
firs-hq-um-01.internal.firs.gov.ng,none
fmard.gov.ng,none
fmcjalingo.gov.ng,none
fmcumuahia.gov.ng,40 mail.fmcumuahia.gov.ng.; 0 mx1.fmcumuahia.gov.ng.; 20 mx2.fmcumuahia.gov.ng.; 30 mx3.fmcumuahia.gov.ng.
fmf-exchange-01.fmf.gov.ng,none
fmf.gov.ng,none
fmic.gov.ng,none
fmtc.gov.ng,none
fmti.gov.ng,none
fnphbenin.gov.ng,none
fnphyaba.gov.ng,0 fnphyaba.gov.ng.
foreign-affairs.senate.gov.ng,none
forms.irs.kw.gov.ng,none
formstest.irs.kw.gov.ng,none
frb.pfm.yb.gov.ng,none
fsrcc.gov.ng,none
gas.senate.gov.ng,none
gat-ng.kastelea.kd.gov.ng,none
gateway.pppra.gov.ng,none
gifmis.gov.ng,none
gifmismail.gifmis.gov.ng,none
gisportal.rmrdc.gov.ng,none
gombeirs.gov.ng,none
gov.ng,none
grk1-ext-asa-1.eagle.cbn.gov.ng,none
hcb.kt.gov.ng,none
health.crossriverstate.gov.ng,none
health.deltastate.gov.ng,none
health.senate.gov.ng,none
help.wecaondo.on.gov.ng,none
heritage.ncmm.gov.ng,none
hfr.health.gov.ng,none
higheredu.deltastate.gov.ng,none
hmb.moh.yb.gov.ng,none
houseofassembly.ab.gov.ng,none
houseofassembly.im.gov.ng,none
houseofassembly.os.gov.ng,none
housing.deltastate.gov.ng,none
housing.senate.gov.ng,none
housingfinance.gov.ng,none
iart.gov.ng,none
ibejulekki.lg.gov.ng,none
ibraheem-hussein.egbedore.os.gov.ng,none
ice.niwa.gov.ng,none
ictinnovation.gov.ng,none
ictmart.gov.ng,none
idjis.lagosjudiciary.gov.ng,none
ifenorth.gov.ng,none
igandoikotunlcda.lg.gov.ng,none
igbogbobayekulcda.lg.gov.ng,none
igia.im.gov.ng,none
ijedelcda.lg.gov.ng,none
imail.ncdmb.gov.ng,none
imofirstlady.gov.ng,none
imojudiciary.gov.ng,0 imojudiciary.gov.ng.
imostate.gov.ng,none
industries.senate.gov.ng,none
information.deltastate.gov.ng,none
information.senate.gov.ng,none
intelligence.senate.gov.ng,none
interior.senate.gov.ng,none
