subdomain,parent_domain,http_status
4ebellevue-tabarre.gouv.ht,gouv.ht,"Could not resolve host: 4ebellevue-tabarre.gouv.ht"
academiediplomatiquejeanpricemars.gouv.ht,gouv.ht,"Could not resolve host: academiediplomatiquejeanpricemars.gouv.ht"
agero.lnbtp.gouv.ht,gouv.ht,"200"
agriculture.gouv.ht,gouv.ht,"200"
agriculturequarantaine.gouv.ht,gouv.ht,"SSL certificate problem: certificate has expired"
aith.officedespostesdhaiti.gouv.ht,gouv.ht,"Could not resolve host: aith.officedespostesdhaiti.gouv.ht"
alfabetizasyon.gouv.ht,gouv.ht,"Could not resolve host: alfabetizasyon.gouv.ht"
alphabetisation.gouv.ht,gouv.ht,"Could not resolve host: alphabetisation.gouv.ht"
ambassadehaitird.gouv.ht,gouv.ht,"Could not resolve host: ambassadehaitird.gouv.ht"
anap.gouv.ht,gouv.ht,"200"
anarse.gouv.ht,gouv.ht,"Operation timed out after 3000 milliseconds with 0 bytes received"
archivesnationales.gouv.ht,gouv.ht,"Could not resolve host: archivesnationales.gouv.ht"
autodiscover.4ebellevue-tabarre.gouv.ht,gouv.ht,"Could not resolve host: autodiscover.4ebellevue-tabarre.gouv.ht"
autodiscover.academiediplomatiquejeanpricemars.gouv.ht,gouv.ht,"Could not resolve host: autodiscover.academiediplomatiquejeanpricemars.gouv.ht"
autodiscover.agriculturequarantaine.gouv.ht,gouv.ht,"Could not resolve host: autodiscover.agriculturequarantaine.gouv.ht"
autodiscover.ambassadehaitird.gouv.ht,gouv.ht,"Could not resolve host: autodiscover.ambassadehaitird.gouv.ht"
autodiscover.archivesnationales.gouv.ht,gouv.ht,"Could not resolve host: autodiscover.archivesnationales.gouv.ht"
autodiscover.bhda.gouv.ht,gouv.ht,"Could not resolve host: autodiscover.bhda.gouv.ht"
autodiscover.bmpad.gouv.ht,gouv.ht,"400"
autodiscover.cgmiami.gouv.ht,gouv.ht,"Could not resolve host: autodiscover.cgmiami.gouv.ht"
autodiscover.ciat.gouv.ht,gouv.ht,"SSL: no alternative certificate subject name matches target hostname 'autodiscover.ciat.gouv.ht'"
autodiscover.cscca.gouv.ht,gouv.ht,"200"
autodiscover.douane.gouv.ht,gouv.ht,"302"
autodiscover.dzf.gouv.ht,gouv.ht,"400"
autodiscover.ema.gouv.ht,gouv.ht,"Could not resolve host: autodiscover.ema.gouv.ht"
autodiscover.forumcivitax.gouv.ht,gouv.ht,"Could not resolve host: autodiscover.forumcivitax.gouv.ht"
autodiscover.incah-haiti.gouv.ht,gouv.ht,"SSL: no alternative certificate subject name matches target hostname 'autodiscover.incah-haiti.gouv.ht'"
autodiscover.lnbtp.gouv.ht,gouv.ht,"Could not resolve host: autodiscover.lnbtp.gouv.ht"
autodiscover.mae.gouv.ht,gouv.ht,"400"
autodiscover.mci.gouv.ht,gouv.ht,"Could not resolve host: autodiscover.mci.gouv.ht"
