subdomain,mx
delphos.munialajuela.go.cr,none
denuncias1311.go.cr,none
deportes.munibarva.go.cr,none
dev.procomer.go.cr,none
dgt.hacienda.go.cr,none
dialin.aya.go.cr,none
dialin.cne.go.cr,none
dialin.comex.go.cr,none
dialin.hacienda.go.cr,none
dialin.ice.go.cr,none
dialin.inec.go.cr,none
dialin.muni-carta.go.cr,none
dialin.recope.go.cr,none
dialin.senasa.go.cr,none
dialin.sinac.go.cr,none
dircultura.go.cr,none
dnn.go.cr,none
dnp.go.cr,none
docs-minae.go.cr,none
docs.sarapiqui.go.cr,none
dota.go.cr,none
drep.go.cr,none
drive.cne.go.cr,none
edge.ifam.go.cr,none
educa.hacienda.go.cr,none
email.rree.go.cr,none
emb-broke-01.intranet.mep.go.cr,none
emm.inder.go.cr,none
en.agenda-azul.go.cr,none
encuesta-act-costarica.go.cr,none
energia.go.cr,none
entiempo.go.cr,none
escazu.go.cr,none
evento.crn.go.cr,none
expedientesmideplan.go.cr,10 alt4.aspmx.l.google.com.; 1 aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.
fedeheredia.go.cr,none
firmadigital.go.cr,none
firmador.mgp.go.cr,none
firmador.micitt.go.cr,none
firmador.mopt.go.cr,none
flores.go.cr,none
fonafifo.go.cr,none
fondoincentivos.go.cr,none
fondoscti.go.cr,none
fondospinn.go.cr,none
formacion.pyme.go.cr,none
foro.cne.go.cr,none
fr.fondospinn.go.cr,none
fr1.fondospinn.go.cr,none
fr2.fondospinn.go.cr,none
fs.ice.go.cr,none
ftp.sinirube.go.cr,none
fuerzacostarica.go.cr,none
gateway.recope.go.cr,none
gdweb.crearempresa.go.cr,none
gestordocumental.municarrillo.go.cr,none
glp-minae.go.cr,none
glpi.meic.go.cr,none
go.cr,none
gobierno-digital.go.cr,none
gobierno.go.cr,none
gobiernoabierto.go.cr,none
gobiernolocalosa.go.cr,none
guacimo.go.cr,none
hacienda.go.cr,none
heredia.go.cr,10 heredia-go-cr.mail.protection.outlook.com.
hst.go.cr,none
iafa.go.cr,none
iag.hacienda.go.cr,none
iccloud.ice.go.cr,none
icd.go.cr,none
icp.go.cr,none
ida.go.cr,none
ifam.go.cr,20 NAM11-BN8-obe.outbound.protection.outlook.com.; 0 ifam-go-cr.mail.protection.outlook.com.; 10 mail-bn8nam11on2099.outbound.protection.outlook.com.
impulsocostarica.go.cr,none
inamu.go.cr,none
incopesca.go.cr,none
inder.go.cr,10 primary.us.email.fireeyecloud.com.; 30 alt2.us.email.fireeyecloud.com.; 40 alt3.us.email.fireeyecloud.com.; 20 alt1.us.email.fireeyecloud.com.
infocoop.go.cr,none
informacion.meic.go.cr,none
inta.go.cr,none
intranet.cne.go.cr,none
intranet.cnfl.go.cr,none
intranet.ctp.go.cr,none
intranet.meic.go.cr,none
intranet.mep.go.cr,none
intranet.procomer.go.cr,none
intranet.sfe.go.cr,none
intranetcgr.cgr.go.cr,none
japdeva.go.cr,none
judesur.go.cr,none
junta.infocoop.go.cr,none
juventudes.go.cr,none
lacomet.go.cr,10 aspmx3.googlemail.com.; 1 aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.; 10 aspmx2.googlemail.com.
lanoticia.go.cr,none
lared.procomer.go.cr,none
launion.go.cr,none
leyfatca.go.cr,none
lirica.go.cr,none
lync.sinac.go.cr,none
lyncdiscover.aya.go.cr,none
lyncdiscover.cne.go.cr,none
lyncdiscover.comex.go.cr,none
lyncdiscover.hacienda.go.cr,none
lyncdiscover.ice.go.cr,none
lyncdiscover.inec.go.cr,none
lyncdiscover.muni-carta.go.cr,none
lyncdiscover.recope.go.cr,none
lyncdiscover.senasa.go.cr,none
lyncdiscover.sinac.go.cr,none
lyncdiscoverinternal.sinac.go.cr,none
lyncedgepool01.intranet.aya.go.cr,none
lyncpool01.intranet.aya.go.cr,none
lyncwebext.aya.go.cr,none
mail.911.go.cr,none
mail.agenda-azul.go.cr,none
mail.atenasmuni.go.cr,none
mail.bagaces.go.cr,none
mail.cenarec.go.cr,none
mail.cnp.go.cr,none
mail.cnrv.go.cr,none
mail.colorado.go.cr,none
mail.comex.go.cr,none
mail.confluencias.go.cr,none
mail.consultaindigena.go.cr,none
mail.correos.go.cr,none
mail.costaricapropone.go.cr,none
mail.crn.go.cr,none
mail.csv.go.cr,none
mail.ctp.go.cr,none
mail.da.go.cr,none
mail.daj-minae.go.cr,0 daj-minae.go.cr.
mail.docs-minae.go.cr,none
mail.dota.go.cr,none
mail.flores.go.cr,none
mail.fonafifo.go.cr,none
mail.glp-minae.go.cr,0 glp-minae.go.cr.
mail.ict.go.cr,none
mail.ifam.go.cr,none
mail.incop.go.cr,none
mail.japdeva.go.cr,none
mail.judesur.go.cr,none
mail.meic.go.cr,none
mail.micit.go.cr,none
mail.munialajuelita.go.cr,none
mail.munialvarado.go.cr,none
mail.munibarva.go.cr,none
mail.municanas.go.cr,none
mail.municipalidadcorredores.go.cr,none
mail.municoya.go.cr,none
mail.munileco.go.cr,none
mail.munisantodomingo.go.cr,none
mail.muniturrialba.go.cr,none
mail.nandayure.go.cr,none
mail.nicoya.go.cr,none
mail.osn.go.cr,none
mail.pai.go.cr,none
mail.presidencia.go.cr,none
mail.sanramon.go.cr,none
mail.senasa.go.cr,none
mail.sepse.go.cr,none
mail.sfe.go.cr,none
mail.simacr.go.cr,dig error
mail.sinac.go.cr,none
mail.sinirube.go.cr,none
mail.tejiendodesarrollo.go.cr,none
mail.tilaran.go.cr,none
mail.tribunalambiental.go.cr,none
mail.turrialba.go.cr,dig error
mail.turrubares.go.cr,none
mapa.presidencia.go.cr,none
mapas.aresep.go.cr,none
mcj.go.cr,none
meet.aya.go.cr,none
meet.cne.go.cr,none
meet.comex.go.cr,none
meet.hacienda.go.cr,none
meet.ice.go.cr,none
meet.inec.go.cr,none
meet.muni-carta.go.cr,none
meet.recope.go.cr,none
meet.senasa.go.cr,none
