hostname,http_status,mx
dmi.dk,301,10 mx04.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx07.statens-it.dk.
dnir.dk,302,none
domaeneklager.dk,301,10 domaeneklager-dk.mail.protection.outlook.com.
dsn.dk,200,10 mx07.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx08.statens-it.dk.
dst.dk,302,5 srvcse1.dst.dk.; 5 srvcse2.dst.dk.
en.bygst.dk,200,none
en.digst.dk,200,none
en.kfst.dk,200,none
en.stps.dk,200,none
eng.hjemst.dk,200,none
eng.mst.dk,200,none
eng.naturstyrelsen.dk,200,none
english.slks.dk,SSLHandshakeException: (certificate_unknown) No subject alternative DNS name matching english.slks.dk found.,none
ens.dk,200,10 mx03.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx08.statens-it.dk.
erhvervsfremmebestyrelsen.dk,200,none
erhvervsstyrelsen.dk,200,none
euro.who.int,HttpConnectTimeoutException: HTTP connect timed out,none
familieretshuset.dk,200,10 mx05.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx08.statens-it.dk.
fanke.dk,200,0 fanke-dk.mail.protection.outlook.com.
fauk.dk,301,100 mailgate.mil.dk.; 10 mail21.surftown.dk.
fbbr.dk,200,10 mx2-dk.centerasecurity.dk.; 20 mx3-dk.centerasecurity.dk.; 10 mx1-dk.centerasecurity.dk.
fe-ddis.dk,301,0 feddis-dk0e.v-v1.mx.microsoft.
finanstilsynet.dk,301,8 ftsmail2.ftnet.dk.; 32767 ms31466271.msv1.invalid.; 8 ftsmail1.ftnet.dk.; 32767 ms13643762.msv1.invalid.
fiskeristyrelsen.dk,302,10 mx05.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx07.statens-it.dk.
fmi.dk,301,10 relay1.netnames.net.; 20 relay2.netnames.net.
foedevarestyrelsen.dk,200,10 mx03.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx08.statens-it.dk.
forbrugerombudsmanden.dk,200,10 mx06.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx03.statens-it.dk.
forsvaret.dk,301,10 smtp1.speednames.com.; 20 smtp2.speednames.com.
forsyningstilsynet.dk,200,10 mx04.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx06.statens-it.dk.
fstyr.dk,301,10 mx07.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx03.statens-it.dk.
gaeldst.dk,200,10 gaeldst-dk.b-v1.mx.microsoft.
gribskov.dk,200,15 mx12.electric.net.; 15 mx6.electric.net.
gst.dk,200,10 mx02.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx05.statens-it.dk.
handelskammer.dk,302,0 handelskammer-dk.mail.protection.outlook.com.
havarikommissionen.dk,200,10 dk.mx1.mailanyone.net.; 30 dk.mx3.mailanyone.net.
hbr.dk,200,30 hbr-dk.mx3.mailanyone.net.
hjemst.dk,200,10 mx04.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx05.statens-it.dk.
hvu.dk,301,10 mx.tdcwebmore.dk.
itti.dk,200,10 itti-dk.l-v1.mx.microsoft.
joannahuset.dk,301,0 joannahuset-dk.mail.protection.outlook.com.
jobsqd.com,301,1 aspmx.l.google.com.; 10 alt4.aspmx.l.google.com.; 10 alt3.aspmx.l.google.com.; 5 alt2.aspmx.l.google.com.; 5 alt1.aspmx.l.google.com.
kb.dk,301,10 mx06.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx04.statens-it.dk.
kfst.dk,200,10 mx04.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx03.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx08.statens-it.dk.
klimadatastyrelsen.dk,HttpConnectTimeoutException: HTTP connect timed out,none
kulturvaerdier.kb.dk,HttpConnectTimeoutException: HTTP connect timed out,none
kyst.dk,HttpConnectTimeoutException: HTTP connect timed out,10 mx02.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx01.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx03.statens-it.dk.
lfst.dk,HttpConnectTimeoutException: HTTP connect timed out,10 mx01.statens-it.dk.; 10 mx05.statens-it.dk.; 10 mx06.statens-it.dk.; 10 mx02.statens-it.dk.; 10 mx08.statens-it.dk.; 10 mx04.statens-it.dk.; 10 mx07.statens-it.dk.; 10 mx03.statens-it.dk.
medieraadet.dk,HttpConnectTimeoutException: HTTP connect timed out,none
