type,label,website,hostname
ministry,"Ministry of Culture and Sports of Kazakhstan","http://mk.gov.kz/",mk.gov.kz
ministry,"Ministry of Culture and Sports of Kazakhstan","http://www.mks.gov.kz/eng/",mks.gov.kz
ministry,"Ministry of Culture and Sports of Kazakhstan","https://www.gov.kz/memleket/entities/mks?lang=kk",gov.kz
ministry,"Ministry of Education (Kazakhstan)","https://www.gov.kz/memleket/entities/edu?lang=en",gov.kz
ministry,"Ministry of Science and Higher Education of the Republic of Kazakhstan","https://www.gov.kz/memleket/entities/sci?lang=kk",gov.kz
ministry,"Ministry of Trade and Integration","https://primeminister.kz/ru/government/composition/sultanov",primeminister.kz
ministry,"Ministry of Tourism and Sports of the Republic of Kazakhstan","https://www.gov.kz/memleket/entities/tsm?lang=kk",gov.kz
ministry,"Ministry of Healthcare of Kazakhstan","http://www.mz.gov.kz/ru",mz.gov.kz
ministry,"Ministry of Justice of the Republic of Kazakhstan","https://www.gov.kz/memleket/entities/adilet",gov.kz
ministry,"Ministry of Energy","http://energo.gov.kz/",energo.gov.kz
ministry,"Prime Minister's Office","https://primeminister.kz",primeminister.kz
ministry,"Ministry of Defense of the Republic of Kazakhstan","http://www.mod.gov.kz/",mod.gov.kz
ministry,"Ministry of National Economy","http://economy.gov.kz/",economy.gov.kz
ministry,"Ministry of National Economy","https://www.gov.kz/memleket/entities/economy",gov.kz
ministry,"Ministry of Water Resource and Irrigation of the Republic of Kazakhstan","https://www.gov.kz/memleket/entities/water?lang=kk",gov.kz
ministry,"Ministry of Internal Affairs of Kazakhstan","http://mvd.gov.kz/",mvd.gov.kz
ministry,"Ministry of Agriculture","http://mgov.kz/",mgov.kz
ministry,"Ministry of Ecology and Natural Resources","http://www.eco.gov.kz/",eco.gov.kz
ministry,"Ministry of Ecology and Natural Resources","https://www.gov.kz/memleket/entities/ecogeo?lang=kk",gov.kz
ministry,"Ministry of Foreign Affairs of the Republic of Kazakhstan","https://www.gov.kz/memleket/entities/mfa",gov.kz
ministry,"Finance Ministry of Kazakhstan","http://www.minfin.gov.kz",minfin.gov.kz
ministry,"Finance Ministry of Kazakhstan","http://www.minfin.gov.kz/irj/portal/anonymous",minfin.gov.kz
ministry,"Ministry of Labor and Social Protection of Population of the Republic of Kazakhstan","http://www.mzsr.gov.kz/",mzsr.gov.kz
ministry,"Ministry of Digital Development, Innovation and Aerospace Industry","http://mdai.gov.kz/ru",mdai.gov.kz
constitutional_court,"Law enforcement in Kazakhstan","https://mvd.gov.kz",mvd.gov.kz
constitutional_court,"Q30972267","https://www.gov.kz/memleket/entities/sko-petropavl",gov.kz
constitutional_court,"Kokshetau City Administration","https://www.gov.kz/memleket/entities/aqmola-kokshetau?lang=ru",gov.kz
constitutional_court,"Government of Kazakhstan","http://www.government.kz/ru/",government.kz
