subdomain,http_status
acs01.zi.mail.go.th,"TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure"
apps.go.th,"301"
bangkhwan.go.th,"Could not resolve host: bangkhwan.go.th"
bangbo.go.th,"403"
bangprong.go.th,"Could not resolve host: bangprong.go.th"
amnatmu.go.th,"Could not resolve host: amnatmu.go.th"
banchang-pt.go.th,"Could not resolve host: banchang-pt.go.th"
apps.loeihospital.go.th,"Could not resolve host: apps.loeihospital.go.th"
autodiscover.mfa.go.th,"Failed to connect to autodiscover.mfa.go.th port 443 after 229 ms: Could not connect to server"
cas03.zi.mail.go.th,"TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure"
bankok-nongnakum.go.th,"Could not resolve host: bankok-nongnakum.go.th"
bangtakean.go.th,"Could not resolve host: bangtakean.go.th"
bankrang-sp.go.th,"Could not resolve host: bankrang-sp.go.th"
bangpaisao.go.th,"Could not resolve host: bangpaisao.go.th"
bangpla.go.th,"403"
banraidumnoen.go.th,"Could not resolve host: banraidumnoen.go.th"
banraiauruea.go.th,"Could not resolve host: banraiauruea.go.th"
banrakas.go.th,"Could not resolve host: banrakas.go.th"
bangsrakao.go.th,"Could not resolve host: bangsrakao.go.th"
buamat.go.th,"Could not resolve host: buamat.go.th"
buaban.go.th,"Could not resolve host: buaban.go.th"
bannkaokan.go.th,"Could not resolve host: bannkaokan.go.th"
buengkasam.go.th,"403"
buengchamaor.go.th,"403"
cas08.zi.mail.go.th,"TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure"
bungba-sao.go.th,"Could not resolve host: bungba-sao.go.th"
cas09.zi.mail.go.th,"TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure"
btfp.nbtc.go.th,"403"
admin.dol.go.th,"Failed to connect to admin.dol.go.th port 443 after 408 ms: Could not connect to server"
cas10.zi.mail.go.th,"TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure"
acs02.zi.mail.go.th,"TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure"
cas07.zi.mail.go.th,"TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure"
chompra.go.th,"403"
cgd.go.th,"Could not resolve host: cgd.go.th"
cas01.zi.mail.go.th,"TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure"
chalae.go.th,"Could not resolve host: chalae.go.th"
cas02.zi.mail.go.th,"TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure"
chonburilocal.go.th,"Could not resolve host: chonburilocal.go.th"
bangnomko.go.th,"Could not resolve host: bangnomko.go.th"
csd1.go.th,"Could not resolve host: csd1.go.th"
autodiscover.bb.go.th,"Failed to connect to autodiscover.bb.go.th port 443 after 452 ms: Could not connect to server"
dca.aviation.go.th,"Could not resolve host: dca.aviation.go.th"
cloud.forest.go.th,"403"
bb-ca01.bb.go.th,"Could not resolve host: bb-ca01.bb.go.th"
bb.go.th,"403"
citkm.parliament.go.th,"Could not resolve host: citkm.parliament.go.th"
authen.dol.go.th,"Could not resolve host: authen.dol.go.th"
autodiscover.dpe.go.th,"TLS connect error: error:0A000410:SSL routines::ssl/tls alert handshake failure"
dla.go.th,"Could not resolve host: dla.go.th"
donnanghong.go.th,"403"
doc.dtn.go.th,"Could not resolve host: doc.dtn.go.th"
banchangs.go.th,"301"
doitao.go.th,"Could not resolve host: doitao.go.th"
boi.go.th,"200"
csca.mfa.go.th,"Could not resolve host: csca.mfa.go.th"
dsimail.go.th,"Could not resolve host: dsimail.go.th"
dialin.drr.go.th,"Could not resolve host: dialin.drr.go.th"
bbt.go.th,"301"
e-meeting.dtn.go.th,"Could not resolve host: e-meeting.dtn.go.th"
bangnampriao.go.th,"403"
bb-ca02.bb.go.th,"Could not resolve host: bb-ca02.bb.go.th"
bankrupt.nbtc.go.th,"Could not resolve host: bankrupt.nbtc.go.th"
banya.go.th,"403"
chonburimots.go.th,"SSL: no alternative certificate subject name matches target hostname 'chonburimots.go.th'"
amlo.go.th,"301"
egov.go.th,"301"
egp.cgd.go.th,"Could not resolve host: egp.cgd.go.th"
elearning.mfa.go.th,"Could not resolve host: elearning.mfa.go.th"
bandon.go.th,"200"
bankrang.go.th,"301"
encondb.eppo.go.th,"Could not resolve host: encondb.eppo.go.th"
banbo.go.th,"SSL certificate problem: self-signed certificate"
banprong.go.th,"301"
extranet.aviation.go.th,"Could not resolve host: extranet.aviation.go.th"
autodiscover.obecmail.obec.go.th,"302"
eservice.dbd.go.th,"Could not resolve host: eservice.dbd.go.th"
donmong.go.th,"403"
etur.go.th,"Could not resolve host: etur.go.th"
bangduan.go.th,"SSL certificate problem: certificate has expired"
eform.dede.go.th,"Failed to connect to eform.dede.go.th port 443 after 376 ms: Could not connect to server"
forest.go.th,"200"
banchiang.go.th,"302"
bangplee.go.th,"302"
dev.egov.go.th,"302"
berkprai.go.th,"403"
epay.sso.go.th,"Could not resolve host: epay.sso.go.th"
donmeiy.go.th,"403"
gw.kkh.go.th,"Could not resolve host: gw.kkh.go.th"
chaiyaphum3.go.th,"200"
dkb-bp.go.th,"200"
homsin.go.th,"Could not resolve host: homsin.go.th"
edweb.excise.go.th,"TLS connect error: error:0A000126:SSL routines::unexpected eof while reading"
