hostname,score,sources,label,level
bundesheer.at,7,wikidata;wikidata,Abwehramt | Heeresnachrichtenamt,
bundeskriminalamt.at,7,wikidata;wikidata,Q105324455 | Federal Criminal Police Office,
geosphere.at,7,wikidata;wikidata,GeoSphere Austria | Central Institute for Meteorology and Geodynamics / GeoSphere Austria,
piaristen.at,7,wikidata;wikidata,Piarist province of Austria,
sozialministerium.at,7,wikidata;wikidata,"Federal Ministry of Labour, Social Affairs, Health, Care and Consumer Protection",central
umweltbundesamt.at,7,wikidata;wikidata;wikidata,Federal Environment Agency (Austria),
wko.at,7,wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata;wikidata,Wirtschaftskammer Niederösterreich | Vorarlberg Economic Chamber | Carinthian Chamber of Commerce | Wirtschaftskammer Wien | Wirtschaftskammer Steiermark | Wirtschaftskammer Tirol | Austrian Federal Economic Chamber | Wirtschaftskammer Oberösterreich,
euro.centre.org,6,wikidata;wikidata,European Centre for Social Welfare Policy and Research,
jesuiten.org,6,wikidata;wikidata,Jesuit Province of Central Europe,
agraroekonomik.at,4,wikidata,Federal Institute of Agricultural Economics,
aiz.at,4,wikidata,Abwasserverband Achental-Inntal-Zillertal,
algerische-botschaft.at,4,wikidata,"Embassy of Algeria, Vienna",central
at.usembassy.gov,4,wikidata,"Embassy of the United States, Vienna",central
avzirl.at,4,wikidata,Abwasserverband Zirl und Umgebung (ARA Zirl),
bda.at,4,wikidata,Bundesdenkmalamt,
becs.mfa.gov.hu,4,wikidata,Embassy of Hungary in Austria,central
bh-botschaft.at,4,wikidata,embassy of Bosnia and Herzegovina in Austria,central
biz-up.at,4,wikidata,Business Upper Austria – OÖ Wirtschaftsagentur,
bundesforste.at,4,wikidata,Austrian State Forestry Commission,
bundesgaerten.at,4,wikidata,Österreichische Bundesgärten,
bupp.at,4,wikidata,Q98446472,
burghauptmannschaft.at,4,wikidata,Burghauptmannschaft,
chinaembassy.at,4,wikidata,"Embassy of the People's Republic of China, Vienna",central
e-control.at,4,wikidata,E-Control,
egyptembassyvienna.at,4,wikidata,embassy of Egypt in Austria,central
ehg-online.at,4,wikidata,Q24574312,
embangola.at,4,wikidata,embassy of Angola in Austria,central
embnamibia.at,4,wikidata,"Embassy of Namibia, Vienna",central
feuerwehr-alberschwende.at,4,wikidata,Freiwillige Feuerwehr Alberschwende,
feuerwehr-doren.at,4,wikidata,Feuerwehr Doren,
feuerwehr-egg.at,4,wikidata,Freiwillige Feuerwehr Egg,
feuerwehr-hittisau.at,4,wikidata,Freiwillige Feuerwehr Hittisau,
feuerwehr-klagenfurt.at,4,wikidata,Q1409973,
feuerwehr-langenegg.at,4,wikidata,Freiwillige Feuerwehr Langenegg,
feuerwehr-ludesch.at,4,wikidata,Fire fighter Ludesch,
feuerwehr-silbertal.at,4,wikidata,Firefighter Silbertal,
feuerwehr.dornbirn.at,4,wikidata,Feuerwehrzentrale Dornbirn,
feuerwehr.duens.at,4,wikidata,firefighters Düns,
feuerwehr.graz.at,4,wikidata,Berufsfeuerwehr Graz,
feuerwehr.puchenau.at,4,wikidata,Freiwillige Feuerwehr Puchenau,
feuerwehrlingenau.at,4,wikidata,Q137944675,
feuerwehrschule.at,4,wikidata,Q59782523,
ff-grillenberg.at,4,wikidata,Q96708186,
ff-hernstein.at,4,wikidata,Q96708100,
ff-leonstein.at,4,wikidata,Q126951705,
ff-pachfurth.at,4,wikidata,Q134462112,
ff-wr-neudorf.at,4,wikidata,Freiwillige Feuerwehr Wiener Neudorf,
ffmaissau.at,4,wikidata,Q97157348,
ffneusiedl.at,4,wikidata,Q96708264,
forwit.at,4,wikidata,"Austrian Council for Sciences, Technology, and Innovation",
fw-rankweil.at,4,wikidata,Firefighter,
geologie.ac.at,4,wikidata,Federal Geological Office,
ghanaembassy.at,4,wikidata,embassy of Ghana in Austria,central
goeg.at,4,wikidata,Health Austria,
hk-schweiz.at,4,wikidata,Chamber of Commerce Switzerland-Austria-Liechtenstein,
innsbruck.mfa.gov.hu,4,wikidata,"Consulate General of Hungary, Innsbruck",
j1dev.agrarforschung.at,4,wikidata,Q109654118,
jordanembassy.at,4,wikidata,embassy of Jordan in Austria,central
