hostname,score,sources,label,level
vorarlberg.at,7,wikidata;wikidata;wikidata,Amt der Vorarlberger Landesregierung | District Captaincy Bregenz | Landtag of Vorarlberg,central-1
bgld-landtag.at,4,wikidata,Landtag of Burgenland,central-1
landtag.steiermark.at,4,wikidata,Landtag of Styria,central-1
lrh-ktn.at,4,wikidata,Q98815341,central-1
ooe-landtag.at,4,wikidata,Landtag of Upper Austria,central-1
eeas.europa.eu,3,wikidata,Delegation of the European Union to the International Organisations in Vienna,central-1
akbild.ac.at,4,wikidata,Academy of Fine Arts Vienna,university
boku.ac.at,4,wikidata,"University of Natural Resources and Life Sciences, Vienna",university
dieangewandte.at,4,wikidata,University of Applied Arts Vienna,university
mdw.ac.at,4,wikidata,University of Music and Performing Arts Vienna,university
meduniwien.ac.at,4,wikidata,Medical University of Vienna,university
tuwien.at,4,wikidata,TU Wien,university
uibk.ac.at,4,wikidata,University of Innsbruck,university
wu.ac.at,4,wikidata,Vienna University of Economics and Business,university
fra.europa.eu,3,wikidata,European Union Agency for Fundamental Rights,local
