field,text
country_name,"Republic of Peru"
government_type,"presidential republic"
capital,"Lima"
chief_of_state,"President José Enrique JERÍ Oré (since 10 October 2025)"
head_of_government,"President José Enrique JERÍ Oré (since 10 October 2025)"
judicial_highest_courts,"Supreme Court (consists of 16 judges and divided into civil, criminal, and constitutional-social sectors)"
constitution_history,"several previous; latest promulgated 29 December 1993, enacted 31 December 1993"
