subdomain,http_status
autodiscover.presidencia.gob.mx,"Failed to connect to autodiscover.presidencia.gob.mx port 443 after 41 ms: Could not connect to server"
autodiscover.inm.gob.mx,"Could not resolve host: autodiscover.inm.gob.mx"
autodiscover.sae.gob.mx,"Could not resolve host: autodiscover.sae.gob.mx"
autodiscover.monterrey.gob.mx,"Could not resolve host: autodiscover.monterrey.gob.mx"
autodiscover.salud.gob.mx,"Could not resolve host: autodiscover.salud.gob.mx"
admin.indebc.gob.mx,"200"
as.im.inami.gob.mx,"Could not resolve host: as.im.inami.gob.mx"
autodiscover.profepa.gob.mx,"Failed to connect to autodiscover.profepa.gob.mx port 443 after 64 ms: Could not connect to server"
autodiscover.nafin.gob.mx,"Could not resolve host: autodiscover.nafin.gob.mx"
autodiscover.issste.gob.mx,"Failed to connect to autodiscover.issste.gob.mx port 443 after 191 ms: Could not connect to server"
acambaro.gob.mx,"200"
atzompa.gob.mx,"Could not resolve host: atzompa.gob.mx"
autodiscover.inadem.gob.mx,"Could not resolve host: autodiscover.inadem.gob.mx"
autodiscover.pjenl.gob.mx,"Could not resolve host: autodiscover.pjenl.gob.mx"
autodiscover.promexico.gob.mx,"Could not resolve host: autodiscover.promexico.gob.mx"
autodiscover.pgr.gob.mx,"Could not resolve host: autodiscover.pgr.gob.mx"
autodiscover.ssc.gob.mx,"Could not resolve host: autodiscover.ssc.gob.mx"
autodiscover.profeco.gob.mx,"Could not resolve host: autodiscover.profeco.gob.mx"
autodiscover.sat.gob.mx,"Could not resolve host: autodiscover.sat.gob.mx"
autodiscover.sagarpa.gob.mx,"Could not resolve host: autodiscover.sagarpa.gob.mx"
activesync.aguascalientes.gob.mx,"302"
autodiscover.mujeresregias.gob.mx,"Could not resolve host: autodiscover.mujeresregias.gob.mx"
autodiscover.segob.gob.mx,"Could not resolve host: autodiscover.segob.gob.mx"
