subdomain,parent_domain,http_status
accm.gov.mm,gov.mm,302
admin.ipd.gov.mm,gov.mm,Connection timed out after 3001 milliseconds
admin.magway.gov.mm,gov.mm,Could not resolve host: admin.magway.gov.mm
admin.mypass.magway.gov.mm,gov.mm,Could not resolve host: admin.mypass.magway.gov.mm
admin.visa.ferd.gov.mm,gov.mm,Could not resolve host: admin.visa.ferd.gov.mm
adminybps.ycdc.gov.mm,gov.mm,Connection timed out after 3001 milliseconds
ais.gov.mm,gov.mm,200
api.ipd.gov.mm,gov.mm,Connection timed out after 3001 milliseconds
api.magway.gov.mm,gov.mm,Could not resolve host: api.magway.gov.mm
api.mypass.magway.gov.mm,gov.mm,Could not resolve host: api.mypass.magway.gov.mm
app.ayarwadydevelopment.gov.mm,gov.mm,404
app.dica.gov.mm,gov.mm,200
app.mcdc.gov.mm,gov.mm,200
app.ycdc.gov.mm,gov.mm,200
appadmin.mcdc.gov.mm,gov.mm,200
ascoja-maja.rrdhrplan.gov.mm,gov.mm,Could not resolve host: ascoja-maja.rrdhrplan.gov.mm
asean2014.gov.mm,gov.mm,Connection timed out after 3001 milliseconds
asset.mcdc.gov.mm,gov.mm,Connection timed out after 3001 milliseconds
autodiscover.customs.gov.mm,gov.mm,200
autodiscover.dca.gov.mm,gov.mm,400
autodiscover.energy.gov.mm,gov.mm,Could not resolve host: autodiscover.energy.gov.mm
autodiscover.maccs.gov.mm,gov.mm,Could not resolve host: autodiscover.maccs.gov.mm
autodiscover.magwayparliament.gov.mm,gov.mm,Resolving timed out after 3000 milliseconds
autodiscover.moee.gov.mm,gov.mm,Could not resolve host: autodiscover.moee.gov.mm
autodiscover.mohs.gov.mm,gov.mm,Connection timed out after 3001 milliseconds
autodiscover.myanmarcustoms.gov.mm,gov.mm,Could not resolve host: autodiscover.myanmarcustoms.gov.mm
autodiscover.rrdhrplan.gov.mm,gov.mm,Could not resolve host: autodiscover.rrdhrplan.gov.mm
autodiscover.ulab.gov.mm,gov.mm,Could not resolve host: autodiscover.ulab.gov.mm
ayeyarwadyregion.gov.mm,gov.mm,Could not resolve host: ayeyarwadyregion.gov.mm
ayeyarwadyregion.moee.gov.mm,gov.mm,Could not resolve host: ayeyarwadyregion.moee.gov.mm
bagoregion.gov.mm,gov.mm,200
billing.mcdc.gov.mm,gov.mm,200
bo.dica.gov.mm,gov.mm,SSL certificate problem: certificate has expired
bpi.gov.mm,gov.mm,SSL certificate problem: certificate has expired
bsi.gov.mm,gov.mm,Connection timed out after 3002 milliseconds
budget.gov.mm,gov.mm,Could not resolve host: budget.gov.mm
cbm.gov.mm,gov.mm,200
childhotline.dsw.gov.mm,gov.mm,200
chinparliament.gov.mm,gov.mm,Could not resolve host: chinparliament.gov.mm
chinstate.gov.mm,gov.mm,200
cidcyber.gov.mm,gov.mm,Failed to connect to cidcyber.gov.mm port 443 after 459 ms: Could not connect to server
cincds.gov.mm,gov.mm,Connection timed out after 3001 milliseconds
cirr.gov.mm,gov.mm,Could not resolve host: cirr.gov.mm
cirr.rrdhrplan.gov.mm,gov.mm,Could not resolve host: cirr.rrdhrplan.gov.mm
cn.tourism.gov.mm,gov.mm,Could not resolve host: cn.tourism.gov.mm
commerce.gov.mm,gov.mm,200
constitutionaltribunal.gov.mm,gov.mm,Connection timed out after 3002 milliseconds
construction.gov.mm,gov.mm,Recv failure: Connexion ré-initialisée par le correspondant
cp.mapps.gov.mm,gov.mm,Connection timed out after 3001 milliseconds
cpanel.ais.gov.mm,gov.mm,Operation timed out after 3002 milliseconds with 0 bytes received
cpanel.ayeyarwadyregion.gov.mm,gov.mm,Could not resolve host: cpanel.ayeyarwadyregion.gov.mm
cpanel.cirr.gov.mm,gov.mm,Could not resolve host: cpanel.cirr.gov.mm
cpanel.customs.gov.mm,gov.mm,Could not resolve host: cpanel.customs.gov.mm
cpanel.dca.gov.mm,gov.mm,200
cpanel.dri.gov.mm,gov.mm,SSL: no alternative certificate subject name matches target hostname 'cpanel.dri.gov.mm'
cpanel.energy.gov.mm,gov.mm,Could not resolve host: cpanel.energy.gov.mm
cpanel.maccs.gov.mm,gov.mm,Could not resolve host: cpanel.maccs.gov.mm
