hostname,mentions,evidence
acm.nl,1,Autoriteit Consument en Markt
acoi.nl,1,Adviescollege Openbaarheid en Informatiehuishouding
adviescollege-rpa.nl,1,Adviescollege Rechtspositie Politieke Ambtsdragers
adviescollegengt.nl,1,Adviescollege Nederlandse Gebarentaal
adviescollegeregeldruk.nl,1,Adviescollege toetsing regeldruk
adviescollegeveiligheidgroningen.nl,1,Adviescollege Veiligheid Groningen
adviescommissievolkenrecht.nl,1,Commissie van advies inzake volkenrechtelijke vraagstukken
adviesraadinternationalevraagstukken.nl,1,Adviesraad internationale vraagstukken
adviesraadmigratie.nl,1,Adviesraad Migratie
afm.nl,1,Stichting Autoriteit Financiële Markten
anwb.nl,1,Koninklijke Nederlandse Toeristenbond ANWB
architectenregister.nl,1,Bureau Architectenregister
argonaut.nl,1,Argonaut Advies B.V.
asr.nl,1,ASR Wlz-uitvoerder B.V.
atkm.nl,1,Autoriteit online Terroristisch en Kinderpornografisch Materiaal
atr-regeldruk.nl,1,Adviescollege toetsing regeldruk
autoriteitnvs.nl,1,Autoriteit Nucleaire Veiligheid en Stralingsbescherming
autoriteitpersoonsgegevens.nl,1,Autoriteit Persoonsgegevens
awti.nl,1,"Adviesraad voor wetenschap, technologie en innovatie"
bkd.eu,1,Stichting Bloembollenkeuringsdienst
blikopwerk.nl,1,Stichting Blik op Werk
bonairechamber.com,1,Kamer van Koophandel en Nijverheid Bonaire
bureauft.nl,1,Bureau Financieel Toezicht
cbg-meb.nl,1,College ter Beoordeling van Geneesmiddelen
cbr.nl,1,Centraal Bureau Rijvaardigheidsbewijzen
cbs.nl,7,"Bedrijfsvoering en strategie | CBS communicatie en nieuws | Centraal Bureau voor de Statistiek | Dataservices, research en innovatie | Economie, be..."
ccmo.nl,2,Centrale Commissie Mensgebonden Onderzoek | Medisch-ethische toetsingscommissies
cea.nl,1,Commissie Eindtermen Accountantsopleiding
centralecommissiedierproeven.nl,1,Centrale Commissie Dierproeven
cibg.nl,1,CIBG
ciz.nl,1,CIZ
cjib.nl,1,Centraal Justitieel Incassobureau
coa.nl,1,Centraal Orgaan opvang asielzoekers
cokz.nl,1,Stichting Controle Orgaan Kwaliteits Zaken
collegesanering.nl,1,College Sanering Zorginstellingen
ctgb.nl,1,College voor de toelating van gewasbeschermingsmiddelen en biociden
cultuurparticipatie.nl,1,Stichting Fonds voor Cultuurparticipatie
curriculumcommissie.nl,2,Curriculumcommissie
cvdm.nl,1,Commissariaat voor de Media
cvta.nl,1,College van toezicht collectieve beheersorganisaties auteurs- en naburige rechten
cvte.nl,1,College voor Toetsen en Examens
cz-zorgkantoor.nl,2,CZ zorgkantoor B.V. | Uitvoerders Wet langdurige zorg
defensie.nl,2,Defensie | Inspecteur-Generaal der Krijgsmacht
dictu.nl,1,Dienst ICT Uitvoering
dingtiid.frl,1,Orgaan voor de Friese taal
dji.nl,1,Dienst Justitiële Inrichtingen
dnb.nl,1,De Nederlandsche Bank
donorgegevens.nl,1,College donorgegevens kunstmatige bevruchting
dopingautoriteit.nl,1,Dopingautoriteit
duo.nl,1,Dienst Uitvoering Onderwijs
dus-i.nl,1,Tijdelijke adviescommissie regionaal investeringsfonds mbo 2019–2022
eentegeneenzaamheid.nl,1,Wetenschappelijke Adviescommissie ‘Eén tegen eenzaamheid’
eerstekamer.nl,1,Eerste Kamer der Staten-Generaal
emissieautoriteit.nl,1,Nederlandse Emissieautoriteit
ewnederland.nl,2,Edelmetaal Waarborg Nederland B.V. | Waarborginstellingen
fgzpt.nl,1,Commissie Registratie en Toezicht
filmfonds.nl,1,Stichting Nederlands Fonds voor de Film
fmhaaglanden.nl,1,FMHaaglanden
fondspodiumkunsten.nl,1,Stichting Nederlands Fonds voor Podiumkunsten
forensischinstituut.nl,1,Nederlands Forensisch Instituut
gemhofvanjustitie.org,1,"Gemeenschappelijk Hof van Justitie van Aruba, Curaçao, Sint Maarten en van Bonaire, Sint Eustatius en Saba"
gezondheidsraad.nl,1,Gezondheidsraad
groeneerkenningen.nl,1,Stichting Groene Erkenningen
hetcak.nl,1,CAK
hogeraad.nl,2,Hoge Raad der Nederlanden | Parket bij de Hoge Raad
hoogpkb.nl,1,FMMU Advies B.V.
huisvoorklokkenluiders.nl,1,Huis voor Klokkenluiders
huurcommissie.nl,2,Dienst van de Huurcommissie | Huurcommissie
ibki.nl,1,Innovam Branche Kwalificatie Instituut
igj.nl,1,Inspectie Gezondheidszorg en Jeugd
ijmond.loodswezen.nl,2,Regionale Loodsencorporatie Amsterdam-IJmond | Regionale Loodsencorporaties
ilent.nl,1,Inspectie Leefomgeving en Transport
ind.nl,1,Immigratie- en Naturalisatiedienst
inspectie-jenv.nl,1,Inspectie Justitie en Veiligheid
inspectie-oe.nl,1,Inspectie Overheidsinformatie en Erfgoed
inspectiebtd.nl,1,"Inspectie belastingen, toeslagen en douane"
ivd.nl,1,Inspectie Veiligheid Defensie
jokesmitprijs.nl,1,Jury Joke Smitprijs
josbrinkprijs.nl,1,Jury Jos Brinkprijs
justid.nl,1,Justitiële Informatiedienst
justis.nl,1,Justis
justitieleictorganisatie.nl,1,Justitiële ICT Organisatie
kadaster.nl,1,Dienst voor het kadaster en de openbare registers
kamervoordebinnenvisserij.nl,1,Kamer voor de Binnenvisserij
kansspelautoriteit.nl,1,Kansspelautoriteit
kb.nl,1,Koninklijke Bibliotheek
kcb.nl,1,Stichting Kwaliteits-Controle-Bureau
keurmerk.nl,1,Keurmerkinstituut jeugdzorg
kiesraad.nl,1,Kiesraad
knaw.nl,1,Koninklijke Nederlandse Akademie van Wetenschappen
knb.nl,1,Gecombineerde Commissie Vennootschapsrecht
knmg.nl,2,"Registratiecommissie Geneeskundig Specialisten | Registratiecommissies KNMG, KNMP, KNMT, FGzPt en V&VN"
knmi.nl,1,Koninklijk Nederlands Meteorologisch Instituut
knmp.nl,1,Specialisten Registratie Commissie - Kamers Openbare Farmacie en Ziekenhuisfarmacie
knmt.nl,1,Registratiecommissie Tandheelkundige Specialismen
kvk.nl,1,Kamer van Koophandel
lbio.nl,1,Landelijk Bureau Inning Onderhoudsbijdragen
letterenfonds.nl,1,Stichting Nederlands Letterenfonds
