qid,label
Q16928358,Harare Province
Q24045859,Bulawayo Province
Q456556,Midlands Province
Q456562,Matabeleland North Province
Q457189,Mashonaland West Province
Q465847,Manicaland Province
Q465853,Mashonaland East Province
Q498351,Masvingo Province
Q498355,Matabeleland South Province
Q596156,Mashonaland Central Province
