subdomain,http_status
cpcontacts.mhadm.gov.ss,"Could not resolve host: cpcontacts.mhadm.gov.ss"
mail.mohest.gov.ss,"200"
mop.gov.ss.bastrading.co.uk,"Could not resolve host: mop.gov.ss.bastrading.co.uk"
ftp.mwri.gov.ss,"SSL: no alternative certificate subject name matches target hostname 'ftp.mwri.gov.ss'"
helpdesk.boss.gov.ss,"403"
mopaudits.gov.ss.bastrading.co.uk,"Could not resolve host: mopaudits.gov.ss.bastrading.co.uk"
mohest.gov.ss,"200"
nc-ph-3574.boss.gov.ss,"Could not resolve host: nc-ph-3574.boss.gov.ss"
autodiscover.mopaudits.gov.ss,"Could not resolve host: autodiscover.mopaudits.gov.ss"
autodiscover.sspf.gov.ss,"Could not resolve host: autodiscover.sspf.gov.ss"
mail.nphl.moh.gov.ss,"Could not resolve host: mail.nphl.moh.gov.ss"
nec.gov.ss,"Could not resolve host: nec.gov.ss"
mom.gov.ss,"200"
nra.eservices.gov.ss,"Could not resolve host: nra.eservices.gov.ss"
mail.sspf.gov.ss,"SSL: no alternative certificate subject name matches target hostname 'mail.sspf.gov.ss'"
cirt.gov.ss,"200"
cpcalendars.ssprc.gov.ss,"401"
nra.gov.ss,"200"
mail.statehouse.gov.ss,"SSL: no alternative certificate subject name matches target hostname 'mail.statehouse.gov.ss'"
nca.gov.ss,"301"
ppc.gov.ss,"Could not resolve host: ppc.gov.ss"
cpcontacts.ssprc.gov.ss,"401"
mgcsw.gov.ss,"200"
moh.gov.ss,"SSL certificate problem: certificate has expired"
cpanel.ssprc.gov.ss,"200"
nbs.gov.ss,"Could not resolve host: nbs.gov.ss"
sslmis.mol.gov.ss,"200"
sentry.etax.nra.gov.ss,"Could not resolve host: sentry.etax.nra.gov.ss"
mopaudits.gov.ss,"Could not resolve host: mopaudits.gov.ss"
rrc.gov.ss,"Could not resolve host: rrc.gov.ss"
mop.eservices.gov.ss,"200"
services.rrc.gov.ss,"Could not resolve host: services.rrc.gov.ss"
mwri.gov.ss,"SSL certificate problem: certificate has expired"
non-tax.nra.gov.ss,"SSL certificate problem: certificate has expired"
mys.gov.ss,"200"
mombasa.customs.nra.gov.ss,"503"
pheoc.moh.gov.ss,"Could not resolve host: pheoc.moh.gov.ss"
fiu.gov.ss,"503"
nc-ph-5332.nec.gov.ss,"200"
nbs.eservices.gov.ss,"200"
mol.gov.ss,"200"
new.sspf.gov.ss,"Could not resolve host: new.sspf.gov.ss"
mail.mopaudits.gov.ss,"Could not resolve host: mail.mopaudits.gov.ss"
access.ssma.gov.ss,"Could not resolve host: access.ssma.gov.ss"
presidency.gov.ss,"Could not resolve host: presidency.gov.ss"
autodiscover.mhadm.gov.ss,"Could not resolve host: autodiscover.mhadm.gov.ss"
mofp.gov.ss,"200"
staging.etax.eservices.gov.ss,"200"
test.brs.eservices.gov.ss,"Could not resolve host: test.brs.eservices.gov.ss"
npc.eservices.gov.ss,"200"
staging.ecustoms.nra.gov.ss,"302"
npgs.eservices.gov.ss,"200"
staging2.nec.gov.ss,"Could not resolve host: staging2.nec.gov.ss"
test.boss.gov.ss,"Could not resolve host: test.boss.gov.ss"
parking.eservices.gov.ss,"200"
pesaflow.eservices.gov.ss,"200"
new.nac.gov.ss,"403"
test2.nec.gov.ss,"Could not resolve host: test2.nec.gov.ss"
securiport.eservices.gov.ss,"200"
mail.mhadm.gov.ss,"Could not resolve host: mail.mhadm.gov.ss"
newssnbs.ssnbs.gov.ss,"200"
sscaa.eservices.gov.ss,"200"
webdisk.meaca.gov.ss,"Could not resolve host: webdisk.meaca.gov.ss"
warrap.gov.ss,"Could not resolve host: warrap.gov.ss"
webdisk.modva.gov.ss,"Could not resolve host: webdisk.modva.gov.ss"
